baseline_index,building_type,vintage_name,measure_id,lighting_scaling_factor,lighting_fraction_radiant,lighting_fraction_visible,lighting_return_air_fraction,elec_equipment_load_scaling_factor,elec_equipment_fraction_radiant,elec_equipment_fraction_latent,elec_equipment_fraction_lost,exhaust_fans_occ_control_enabled,dcv_enabled,fan_motor_eff,pump_motor_eff,boiler_reset,hw_boiler_flow_mode,hw_boiler_curve,hw_boiler_reset_enabled,hw_boiler_reset_highsupplytemp,hw_boiler_reset_outsidehighsupplytemp,hw_boiler_reset_lowsupplytemp,hw_boiler_reset_outsidelowsupplytemp,occ_stbck_enabled,occ_stbck_tolerance,occ_stbck_heat_setback,occ_stbck_heat_setpoint,occ_stbck_cool_setback,occ_stbck_cool_setpoint,infiltration_flow_per_exterior_area,cold_deck_reset_enabled,cold_deck_reset_max_supply_air_temp,cold_deck_reset_min_supply_air_temp,pump_speed_type,pump_control_type,pump_motor_eff,cost_per_building,cost_per_building_dcv,cost_per_building_exhaustfans,cost_per_building_plugreduce,cost_per_building_lightreduce,cost_per_building_fansandpumps,cost_per_boiler_reset,cost_per_occ_temp_setback,infil_cost_per_building,cost_per_cold_deck_reset,cost_per_building_recommissioning
1.0,Barracks,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0002,true,20.0,13.0,NA,NA,NA,397597.0,64275.0,4523.0,21281.0,92265.0,10200.0,957.0,36806.0,122012.0,10864.0,34414.0
2.0,Fire Hall,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0003,true,20.0,13.0,NA,NA,NA,124528.0,8668.0,2261.0,2750.0,15765.0,6120.0,957.0,5066.0,67418.0,3621.0,11902.0
3.0,Food Service,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0002,true,20.0,13.0,NA,NA,NA,259055.0,7713.0,6784.0,2554.0,111667.0,10636.0,957.0,4417.0,83796.0,14485.0,16046.0
4.0,Food Service,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0002,true,20.0,13.0,NA,NA,NA,175259.0,7713.0,6784.0,2554.0,111667.0,10636.0,957.0,4417.0,0.0,14485.0,16046.0
5.0,Hangar,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0003,true,20.0,13.0,NA,NA,NA,408060.0,65989.0,3769.0,21849.0,133713.0,6855.0,957.0,37788.0,96777.0,7243.0,33120.0
6.0,Hangar,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0003,true,20.0,13.0,NA,NA,NA,408060.0,65989.0,3769.0,21849.0,133713.0,6855.0,957.0,37788.0,96777.0,7243.0,33120.0
7.0,Hangar,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0003,true,20.0,13.0,NA,NA,NA,400107.0,65989.0,3769.0,21849.0,133713.0,6855.0,957.0,37788.0,88824.0,7243.0,33120.0
8.0,Maintenance Shop,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0003,true,20.0,13.0,NA,NA,NA,160260.0,9427.0,2261.0,3121.0,45581.0,5266.0,957.0,5398.0,74019.0,3621.0,10609.0
9.0,Maintenance Shop,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0003,true,20.0,13.0,NA,NA,NA,153381.0,9427.0,2261.0,3121.0,45581.0,5266.0,957.0,5398.0,67140.0,3621.0,10609.0
10.0,Maintenance Shop-Small,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,true,true,0.92,0.92,true,LeavingSetpointModulated,atmospheric,true,82.0,-25.0,40.0,20.0,true,0.05,17.0,22.0,99.0,24.0,0.0003,true,20.0,13.0,NA,NA,NA,102017.0,7713.0,754.0,2554.0,24169.0,4516.0,957.0,4417.0,47106.0,3621.0,6210.0
