Reference Info,1959-pre,1960-1979,1980-2004,2005-2014
fan_motor_eff,0.75,0.823,0.879,0.879
fan_total_eff,0.75,0.75,0.75,0.8
cop,2.5,2.5,3.0,3.5
pump_eff,0.7,0.7,0.7,0.7
