baseline_index,building_type,vintage_name,measure_id,infiltration_flow_per_exterior_area,occ_stbck_enabled,occ_stbck_tolerance,occ_stbck_heat_setback,occ_stbck_heat_setpoint,occ_stbck_cool_setback,occ_stbck_cool_setpoint,pump_speed_type,pump_control_type,pump_motor_eff,cost_per_building,infil_cost_per_building
1.0,Barracks,1959-pre,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,195624.0,158818.0
2.0,Fire Hall,1959-pre,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,72484.0,67418.0
3.0,Food Service,1959-pre,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,88213.0,83796.0
4.0,Food Service,2005-2014,NA,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,4417.0,0.0
5.0,Hangar,1959-pre,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,134565.0,96777.0
6.0,Hangar,1960-1979,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,134565.0,96777.0
7.0,Hangar,1980-2004,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,126612.0,88824.0
8.0,Maintenance Shop,1959-pre,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,79417.0,74019.0
9.0,Maintenance Shop,1980-2004,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,72538.0,67140.0
10.0,Maintenance Shop-Small,1959-pre,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,51523.0,47106.0
11.0,Maintenance Shop-Small,1960-1979,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,51523.0,47106.0
12.0,Maintenance Shop-Small,1980-2004,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,47617.0,43200.0
13.0,Office,1959-pre,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,79519.0,54491.0
14.0,Office,1960-1979,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,79519.0,54491.0
15.0,Office,1980-2004,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,74929.0,49901.0
16.0,Office-Small,1960-1979,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,44808.0,36956.0
17.0,Office-Small,1980-2004,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,41404.0,33552.0
18.0,Office-Small,2005-2014,NA,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,7852.0,0.0
19.0,Recreation Center,1980-2004,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,128554.0,112850.0
20.0,Storage Building,1959-pre,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,37850.0,37359.0
21.0,Storage Building,1960-1979,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,37850.0,37359.0
22.0,Storage Building,1980-2004,infil_reduce_plus_setback,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,34016.0,33525.0
23.0,Storage Building,2005-2014,NA,0.0003,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,491.0,0.0
24.0,Training Building,1959-pre,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,136565.0,116444.0
25.0,Training Building,1980-2004,infil_reduce_plus_setback,0.0002,true,0.05,17.0,22.0,99.0,24.0,NA,NA,NA,123924.0,103803.0
