sim_annual_output_index,baseline_id,building_name ,vintage_name ,measure_id ,Simulation Total Capitol Costs $,Total Floor Area M2,Conditioned Floor Area M2,Electricity-Heating KWh,Natural Gas-Heating KWh,Electricity-Cooling KWh,Electricity-Water Systems KWh,Natural Gas-Water Systems KWh,Electricity-Interior Lighting KWh,Electricity-Interior Equipment KWh,District Heating-Interior Equipment KWh,Electricity-Fans KWh,Electricity-Pumps KWh,Electricity-Heat Recovery KWh
1.0,1.0,Barracks,1959-pre,air_temp_reset_enabled,10547.57,5495.7245916,3894.8,0.0,692733.88752,19336.12658,0.0,168544.57928,78836.17418,21772.23964,0.0,44933.36928,33155.58208,0.0
2.0,1.0,Barracks,1959-pre,baseline,0.0,5495.7245916,3894.8,0.0,660878.30648,6675.00534,0.0,168547.35706,78836.17418,21772.23964,0.0,43827.81284,29830.57942,0.0
3.0,1.0,Barracks,1959-pre,boiler_eff_upgrade,65332.04,5495.7245916,3894.8,0.0,650750.5206,8158.33986,0.0,168547.35706,78836.17418,21772.23964,0.0,44933.36928,30508.35774,0.0
4.0,1.0,Barracks,1959-pre,boiler_reset,929.13,5495.7245916,3894.8,0.0,432303.12362,8158.33986,0.0,168547.35706,78836.17418,21772.23964,0.0,44933.36928,775.00062,0.0
5.0,1.0,Barracks,1959-pre,cooling_cop_3_0,14818.45,5495.7245916,3894.8,0.0,650750.5206,5827.78244,0.0,168547.35706,78836.17418,21772.23964,0.0,44933.36928,30508.35774,0.0
6.0,1.0,Barracks,1959-pre,dcv_enabled,62402.91,5495.7245916,3894.8,0.0,628542.1695,9147.22954,0.0,168547.35706,78836.17418,21772.23964,0.0,44933.36928,30230.57974,0.0
7.0,1.0,Barracks,1959-pre,ecm_cold_deck_reset_control,10547.57,5495.7245916,3894.8,0.0,649131.07486,16533.34656,0.0,168541.8015,78836.17418,21772.23964,0.0,44933.36928,31044.46928,0.0
8.0,1.0,Barracks,1959-pre,economizers_enabled,4121.36,5495.7245916,3894.8,0.0,650686.63166,6297.22726,0.0,168547.35706,78836.17418,21772.23964,0.0,44933.36928,30430.5799,0.0
9.0,1.0,Barracks,1959-pre,elec_reduce,186935.92,5495.7245916,3894.8,0.0,658981.08274,6866.67216,0.0,168547.35706,55183.37748,21772.23964,0.0,43994.47964,23702.79674,0.0
10.0,1.0,Barracks,1959-pre,envelope_ecm_roof,225514.56,5495.7245916,3894.8,0.0,647361.629,8127.78428,0.0,168547.35706,78836.17418,21772.23964,0.0,44802.81362,30361.1354,0.0
11.0,1.0,Barracks,1959-pre,envelope_ecm_wall,497905.83,5495.7245916,3894.8,0.0,617806.0498,8238.89548,0.0,168547.35706,78836.17418,21772.23964,0.0,44083.3686,29366.69016,0.0
12.0,1.0,Barracks,1959-pre,envelope_ecm_windows,367166.99,5495.7245916,3894.8,0.0,588850.47108,8930.5627,0.0,168547.35706,78836.17418,21772.23964,0.0,43397.25694,28463.91166,0.0
13.0,1.0,Barracks,1959-pre,fans_to_variable,3029.13,5495.7245916,3894.8,0.0,651189.40984,8127.78428,0.0,168547.35706,78836.17418,21772.23964,0.0,44580.59122,30513.9133,0.0
14.0,1.0,Barracks,1959-pre,hrv_enabled,263559.22,5495.7245916,3894.8,0.0,601394.92556,9186.11846,0.0,168547.35706,78836.17418,21772.23964,0.0,44933.36928,30208.3575,13138.8994
15.0,1.0,Barracks,1959-pre,infil_reduce,118458.25,5495.7245916,3894.8,0.0,309661.35884,13633.34424,0.0,168544.57928,78836.17418,21772.23964,0.0,40450.03236,19622.23792,0.0
