Air Leakage (Infiltration) Rate Assumptions,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Units are  = m3/s/m2,,,,,,,,,,,,,
Infiltration Building Type,2005-2014,1980-2004,1960-1979,pre-1960,,,,,,,,,
Warehouses (Storage Bldgs),3a,8.0,2202.6,17620.8,0.05842166418325082,1.5 (0.80),,1.0 (0.75) ,,0.66 (0.45),,0.40 (0.30),
Motel Type Residences,4a,2.0,4497.6,8995.2,0.02982353546156689,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
University Dormitory Type ,4b,5.0,2814.6,14073.0,0.04665895305836788,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Sleeping barracks,4c,4.0,710.0,2840.0,0.009416004170096269,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Fitness & Rec. - Multi-gym,5a,2.0,3119.1,6238.2,0.020682717328836107,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Fitness & Rec. - Arena,5b,1.0,3414.4,3414.4,0.0113204241684425,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Fitness & Rec. - Pool,5c,1.0,3042.2,3042.2,0.010086397143051713,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Offices,6a,14.0,3549.7,49695.799999999996,0.1647661479000951,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Food Services,7a,3.0,4701.9,14105.699999999999,0.04676736972610103,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Infrastructure (former Garage & Process Enclosures),8a,2.0,808.1,1616.2,0.0053585020914470385,1.5 (0.80),,1.0 (0.75) ,,0.66 (0.45),,0.40 (0.30),
Workshops,9a,20.0,2696.1,53922.0,0.17877809044363768,1.5 (0.80),,1.0 (0.75) ,,0.66 (0.45),,0.40 (0.30),
Medical Facilities,10a,1.0,3344.5,3344.5,0.011088671108058792,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Retail Bldgs,11a,2.0,1576.9,3153.8,0.010456406321003385,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Religious Bldgs,12.0,1.0,1169.2,1169.2,0.0038764760829847035,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Control Tower,13a,1.0,1294.0,1294.0,0.004290249787360765,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
Fire Hall,13b,1.0,1146.54,1146.54,0.0038013469792894986,1.5 (0.80),,1.0 (0.75) ,,0.66 (0.45),,0.40 (0.30),
Museum,14.0,1.0,8643.7,8643.7,0.02865813917079617,1.0 (0.70),,0.60 (0.50),,0.44 (0.35),,0.27 (0.20),
,,83.0,,301614.14,1.0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: Values Taken and Adapted from: (1) U.S. Army Corps of Engineers "" Building Air Tightness: Army Requirements and Case Studies (New Construction and Retrofit Projects)""",,,,,,,,,,,,,
"7th Annual Workshop, Energy Efficient Technologies for Buildings and Communities, Jan 28, 2011 Las Vegas",,,,,,,,,,,,,
"(2) ""Air Barrier Test Results and Trends: Experience from 100+ Buildings"" Pie Forensic Consultants, presented at Energy Efficient Technologies for Buildings and Communities, Jan 28, 2011 Las Vegas",,,,,,,,,,,,,
"(3) ""Efficient Technologies to Reduce Building Energy Use and Meet Federal Requirements, Alexender Zhivov, U.S. Army Corps of Engineers",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mobile/Pre-Fabricated  archetype,0.27 ACH (0.20 L/s/m2) ,,,,,,,,,,,,
