baseline_index,,building_type,vintage_name,measure_id,base_model_rel_path,weather_file_rel_path,building_source,building_floor_area,actual_floor_area,library_file,heating_schedule_name,cooling_schedule_name,default_construction_set_name,ext_wall_rsi,ext_floor_rsi,ext_roof_rsi,ground_floor_rsi,ground_wall_rsi,ground_roof_rsi,fixed_window_rsi,operable_window_rsi,door_construction_rsi,glass_door_rsi,overhead_door_rsi,infiltration_building_type,infiltration_flow_per_exterior_area,cop,fan_volume_type,fan_motor_eff,fan_total_eff,pump_motor_eff,pump_speed_type,pump_control_type,erv_enabled,economizer_control_type,economizer_control_action_type,economizer_maximum_limit_dry_bulb_temperature,economizer_maximum_limit_enthalpy,economizer_maximum_limit_dewpoint_temperature,economizer_minimum_limit_dry_bulb_temperature,dcv_enabled,heating_sizing_factor,cooling_sizing_factor,zone_heating_sizing_factor,zone_cooling_sizing_factor,shw_setpoint_sched_name,shw_heating_type,shw_thermal_eff,hw_boiler_fuel_type,hw_boiler_design_water_outlet_temperature,hw_boiler_thermal_eff,lighting_fraction_radiant,lighting_fraction_visible,lighting_return_air_fraction,elec_equipment_fraction_radiant,elec_equipment_fraction_latent,elec_equipment_fraction_lost,cost_per_building
NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
1.0,4c,Barracks,1959-pre,baseline,resources/barracks.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,B45,5495.724592,3989.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,3.170130327580134,6.516379006692498,6.516379006692498,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.2817893624515675,0.2817893624515675,0.7044734061289186,0.2817893624515675,1.7611835153222966,Motel Type Residences,0.0007,2.5,NA,0.75,0.75,0.7,VariableSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.72,0.18,0.0,0.3,0.0,0.0,0.0
2.0,13b,Fire Hall,1959-pre,baseline,resources/fire_hall.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,Trenton FH B19,911.7335331,911.7335331,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,3.170130327580134,6.516379006692498,6.516379006692498,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.2817893624515675,0.2817893624515675,0.7044734061289186,0.2817893624515675,1.7611835153222966,Fire Hall,0.0008,2.5,NA,0.75,0.75,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.42,0.18,0.0,0.3,0.0,0.0,0.0
3.0,7a,Food Service,1959-pre,baseline,resources/food_service.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,B40,2693.605037,2568.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,3.522367030644593,4.226840436773512,4.226840436773512,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.2817893624515675,0.2817893624515675,0.7044734061289186,0.2817893624515675,1.7611835153222966,Food Services,0.0007,2.5,NA,0.75,0.75,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.42,0.18,0.0,0.3,0.0,0.0,0.0
4.0,7a,Food Service,2005-2014,baseline,resources/food_service.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,B40,2693.605037,2568.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,5.2835505459668894,4.579077139837971,4.579077139837971,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.3170130327580134,0.3170130327580134,0.7044734061289186,0.3170130327580134,1.7611835153222966,Food Services,0.0002,3.5,NA,0.879,0.8,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.72,0.18,0.0,0.4,0.3,0.0,0.0
5.0,1a,Hangar,1959-pre,baseline,resources/hangar.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,Hangar 4,6276.579848,6423.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,1.4089468122578372,2.113420218386756,2.113420218386756,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.2817893624515675,0.2817893624515675,0.7044734061289186,0.2817893624515675,1.7611835153222966,Hangars,0.0008,2.5,NA,0.75,0.75,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.42,0.18,0.0,0.3,0.0,0.0,0.0
6.0,1a,Hangar,1960-1979,baseline,resources/hangar.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,Hangar 4,6276.579848,6423.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,2.113420218386756,1.7611835153222966,1.7611835153222966,1.056710109193378,1.056710109193378,1.056710109193378,0.2817893624515675,0.2817893624515675,0.528355054596689,0.2817893624515675,1.4089468122578372,Hangars,0.00075,2.5,NA,0.823,0.75,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.42,0.18,0.0,0.3,0.0,0.0,0.0
7.0,1a,Hangar,1980-2004,baseline,resources/hangar.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,Hangar 4,6276.579848,6423.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,3.522367030644593,3.170130327580134,3.170130327580134,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.3170130327580134,0.3170130327580134,0.7044734061289186,0.3170130327580134,1.7611835153222966,Hangars,0.00045,3.0,NA,0.879,0.75,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.42,0.18,0.0,0.3,0.0,0.0,0.0
8.0,9a,Maintenance Shop,1959-pre,baseline,resources/maintenance_shop.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,B581,2388.544974,1927.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,0.8805917576611483,2.113420218386756,2.113420218386756,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.2817893624515675,0.2817893624515675,0.7044734061289186,0.2817893624515675,1.7611835153222966,Workshops,0.0008,2.5,NA,0.75,0.75,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.42,0.18,0.0,0.3,0.0,0.0,0.0
9.0,9a,Maintenance Shop,1980-2004,baseline,resources/maintenance_shop.osm,resources/CAN_AB_Edmonton.711230_CWEC.epw,B581,2388.544974,1927.0,resources/btap_construction_library.osm,heating_always_20C,cooling_always_24C,DND-Concrete,3.170130327580134,4.226840436773512,4.226840436773512,1.7611835153222966,1.7611835153222966,1.7611835153222966,0.3170130327580134,0.3170130327580134,0.7044734061289186,0.3170130327580134,1.7611835153222966,Workshops,0.00045,3.0,NA,0.879,0.75,0.7,ConstantSpeed,Intermittent,false,FixedDryBulb,ModulateFlow,19.0,64000.0,0.0,-100.0,false,1.1,1.25,1.0,1.0,shw_60C,NA,NA,NA,82.0,0.8,0.42,0.18,0.0,0.3,0.0,0.0,0.0
