id,space_type_name,lighting_space_type_name,ventilation_space_type_name,electric_equipment_space_type_name
1,chapel - visually impaired,chapel_visually_impaired,public_assembly_spaces_religious_workshop,
2,recreation/common living - visually impaired,recreation_common_living_visually_impaired,hotels_motels_resorts_dormitories_multi_purpose_assembly,
3,atrium < 20 ft height,atrium_low,office_buildings_main_entry_lobbies,atrium < 20 ft height
4,atrium >= 20 ft and <= 40 ft in height,atrium_medium,office_buildings_main_entry_lobbies,atrium >= 20 ft and <= 40 ft in height
5,atrium > 40 ft height,atrium_high,office_buildings_main_entry_lobbies,atrium > 40 ft height
6,audience seating - convention center,audience_seating_convention_center,public_assembly_spaces_auditorium_seating_area,audience seating - convention center
7,audience seating - exercise center,audience_seating_exercise_center,sports_entertainment_spectator_areas,audience seating - exercise center
8,audience seating - all other,audience_seating_general,public_assembly_spaces_auditorium_seating_area,audience seating - all other
9,audience seating - auditorium,audience_seating_auditorium,public_assembly_spaces_auditorium_seating_area,audience seating - auditorium
10,audience seating - gymnasium,audience_seating_gymnasium,sports_entertainment_spectator_areas,audience seating - gymnasium
11,audience seating - sports arena,audience_seating_sports_arena,sports_entertainment_spectator_areas,audience seating - sports arena
12,audience seating - motion picture theater,audience_seating_motion_picture_theater,public_assembly_spaces_auditorium_seating_area,audience seating - motion picture theater
13,audience seating - penitentiary,audience_seating_penitentiary,public_assembly_spaces_auditorium_seating_area,
14,audience seating - performing arts theater,audience_seating_performing_arts_theater,public_assembly_spaces_auditorium_seating_area,audience seating - performing arts theater
15,audience seating - religious facility,audience_seating_religious_facility,public_assembly_spaces_auditorium_seating_area,audience seating - religious facility
16,audience seating - transportation facility,audience_seating_transportation,public_assembly_spaces_auditorium_seating_area,
17,automotive,automotive,miscellaneous_spaces_transportation_waiting,
18,banking activity,banking_activity,miscellaneous_spaces_banks_bank_lobbies,banking activity
19,classroom/lecture/training - all other,classroom_lecture_training_general,educational_facilities_classroom_old,classroom/lecture/training - all other
20,classroom/lecture/training - penitentiary,classroom_lecture_training_penitentiary,correctional_facilities_dayroom,classroom/lecture/training - penitentiary
21,classroom - laboratory or shop,laboratory_classroom,educational_facilities_university_college_laboratories,
22,classroom/lecture/training - preschool to 12th,classroom_lecture_training_general,educational_facilities_classroom_young,classroom/lecture/training - preschool to 12th
23,computer room,computer_room,miscellaneous_spaces_computer,computer room
24,conference/meeting/multipurpose,conference_meeting_multipurpose,general_conference_meeting,conference/meeting/multipurpose
25,confinement cells,confinement_cells,correctional_facilities_cell,confinement cells
26,exhibit - convention center,exhibit_convention_center,public_assembly_spaces_museums_galleries,exhibit - convention center
27,copy/print,copy_print,office_buildings_telephone_data_entry,
28,corridor for visually impaired,corridor_visually_impaired,general_conference_corridors,
29,corridor - hospital,corridor_hospital,general_conference_corridors,corridor - hospital
30,corridor - manufacturing facility,corridor_manufacturing_facility,general_conference_corridors,corridor - manufacturing facility
31,corridor - all other,corridor_general,general_conference_corridors,corridor - all other
32,courtroom,courtroom,public_assembly_spaces_courtrooms,courtroom
33,dining - all other,dining_general,food_beverage_service_restaurant_dining_rooms,dining - all other
34,dining - bar/lounge/leisure,dining_bar_lounge_leisure,food_beverage_service_bars_cocktail_lounges,dining - bar/lounge/leisure
35,dining - cafeteria/fast food,dining_cafeteria_fast_food,food_beverage_service_cafeteria_fast_food_dining,dining - cafeteria/fast food
36,dining for visually impaired,dining_visually_impaired,food_beverage_service_restaurant_dining_rooms,
37,dining - family,dining_family,food_beverage_service_restaurant_dining_rooms,dining - family
38,dining - penitentiary,dining_penitentiary,food_beverage_service_restaurant_dining_rooms,dining - penitentiary
39,dining - hotel,dining_hotel,food_beverage_service_restaurant_dining_rooms,
40,dining - motel,dining_motel,food_beverage_service_restaurant_dining_rooms,
41,dormitory - living quarters,dormitory_living_quarters,hotels_motels_resorts_dormitories_bedroom_living_room,dormitory - living quarters
42,electrical/mechanical,electrical_mechanical,miscellaneous_spaces_manufacturing_wo_hazardous_materials,electrical/mechanical
43,emergency vehicle garage,emergency_vehicle_garage,miscellaneous_spaces_transportation_waiting,emergency vehicle garage
44,firestation - sleeping quarters,firestation_sleeping_quarters,hotels_motels_resorts_dormitories_barracks_sleeping_areas,firestation - sleeping quarters
45,kitchen,kitchen,food_beverage_service_kitchen,kitchen
46,guest room,guest_room,hotels_motels_resorts_dormitories_barracks_sleeping_areas,guest room
47,gymnasium exercise area,gymnasium_exercise_area,sports_entertainment_gym_stadium,gymnasium exercise area
48,gymnasium playing area,gymnasium_playing_area,sports_entertainment_gym_stadium,gymnasium playing area
49,emergency room,emergency_room,outpatient_health_care_facilities_general_examination_room,emergency room
50,exam/treatment,exam_treatment,outpatient_health_care_facilities_general_examination_room,exam/treatment
51,imaging,imaging,outpatient_health_care_facilities_class_1_imaging_rooms,
52,medical supply,medical_supply,miscellaneous_spaces_pharmacy,
53,nursery,nursery,outpatient_health_care_facilities_psychiatric_consultation_room,
54,nurses station,nurses_station,outpatient_health_care_facilities_psychiatric_consultation_room,nurses station
55,operating room,operating_room,outpatient_health_care_facilities_general_examination_room,operating room
56,patient room,patient_room,outpatient_health_care_facilities_physical_therapy_individual_room,patient room
57,physical therapy,physical_therapy,outpatient_health_care_facilities_physical_therapy_exercise_area,physical therapy
58,recovery,recovery,outpatient_health_care_facilities_urgent_care_examination_room,
59,judges chambers,judges_chambers,public_assembly_spaces_legislative_chambers,judges chambers
60,laboratory,laboratory_all_other,educational_facilities_science_laboratories,laboratory
61,library - reading,library_reading,public_assembly_spaces_libraries,library - reading
62,library - stacks,library_stacks,public_assembly_spaces_libraries,library - stacks
63,library - cataloging,library_cataloging,public_assembly_spaces_libraries,library - cataloging
64,loading dock,loading_dock,miscellaneous_spaces_sorting_packing_light_assembly,
65,lobby - all other,lobby_general,public_assembly_spaces_lobbies,lobby - all other
66,lobby - elevator,lobby_elevator,public_assembly_spaces_lobbies,lobby - elevator
67,lobby for visually impaired,lobby_visually_impaired,public_assembly_spaces_lobbies,
68,lobby - hotel,lobby_hotel,hotels_motels_resorts_dormitories_lobbies_prefunction,lobby - hotel
69,lobby - motion picture theater,lobby_motion_picture_theater,public_assembly_spaces_lobbies,lobby - motion picture theater
70,lobby - performing arts theater,lobby_performing_arts_theater,public_assembly_spaces_lobbies,lobby - performing arts theater
71,locker room,locker_room,general_break_rooms,locker room
72,lounge/breakroom - all other,lounge_breakroom_general,general_break_rooms,lounge/breakroom - all other
73,lounge/breakroom - healthcare facility,lounge_breakroom_healthcare_facility,general_break_rooms,lounge/breakroom - healthcare facility
74,laundry/washing,laundry_washing,hotels_motels_resorts_dormitories_laundry_rooms,laundry/washing
75,detailed manufacuring,detailed_manufacuring,miscellaneous_spaces_manufacturing_wo_hazardous_materials,
76,manufacturing equipment room,manufacturing_equipment_room,miscellaneous_spaces_manufacturing_wo_hazardous_materials,manufacturing equipment room
77,manufacturing extra high bay,manufacturing_extra_high_bay,miscellaneous_spaces_manufacturing_wo_hazardous_materials,
78,manufacturing high bay,manufacturing_high_bay,miscellaneous_spaces_manufacturing_wo_hazardous_materials,
79,manufacturing low bay,manufacturing_low_bay,miscellaneous_spaces_manufacturing_wo_hazardous_materials,manufacturing low bay
80,manufacturing control,manufacturing_control,miscellaneous_spaces_manufacturing_wo_hazardous_materials,
81,museum exhibit area,museum_exhibit_area,public_assembly_spaces_museums_galleries,museum exhibit area
82,museum restoration,museum_restoration,public_assembly_spaces_museums_galleries,museum restoration
83,performing arts dressing room,performing_arts_dressing_room,retail_mall_common_areas,performing arts dressing room
84,office - enclosed <= 250 sf,office_enclosed_small,office_buildings_office_space,office - enclosed <= 250 sf
85,office - enclosed > 250 sf,office_enclosed_large,office_buildings_office_space,office - enclosed > 250 sf
86,office - open,office_open,office_buildings_office_space,office - open
87,"parking area, interior",parking_area_interior,miscellaneous_spaces_transportation_waiting,"parking area, interior"
88,pharmacy,pharmacy,miscellaneous_spaces_pharmacy,pharmacy
89,post office - sorting area,post_office_sorting_area,miscellaneous_spaces_sorting_packing_light_assembly,post office - sorting area
90,fellowship hall - religious facility,fellowship_hall_religious_facility,public_assembly_spaces_religious_workshop,fellowship hall - religious facility
91,worship/pulpit/choir area,worship_pulpit_choir_area,public_assembly_spaces_religious_workshop,worship/pulpit/choir area
92,restroom - all other,restroom_all_other,,restroom - all other
93,restroom - visually impaired,restroom_visually_impaired,,
94,retail dressing room,retail_dressing_room,retail_mall_common_areas,
95,retail mall concourse,retail_mall_concourse,retail_mall_common_areas,
96,"seating area, general",seating_area_general,public_assembly_spaces_auditorium_seating_area,"seating area, general"
97,"sports arena playing area, class I",sports_arena_playing_area_class_I,sports_entertainment_sports_arena,
98,"sports arena playing area, class II",sports_arena_playing_area_class_II,sports_entertainment_sports_arena,"sports arena playing area, class II"
99,"sports arena playing area, class III",sports_arena_playing_area_class_III,sports_entertainment_sports_arena,
100,"sports arena playing area, class IV",sports_arena_playing_area_class_IV,sports_entertainment_sports_arena,"sports arena playing area, class IV"
101,sports arena - ring sports area,sports_arena_ring_sports_area,sports_entertainment_sports_arena,
102,sports arena - court sports area,sports_arena_court_sports_area,sports_entertainment_sports_arena,
103,sports arena - indoor playing field,sports_arena_indoor_playing_field,sports_entertainment_sports_arena,
104,stairwell,stairwell,general_conference_corridors,stairwell
105,storage < 50 sf - all other,storage_ all_other_small,general_conference_storage_rooms,storage < 50 sf - all other
106,storage 50 to 1000 sf - all other,storage_ all_other_large,general_conference_storage_rooms,storage 50 to 1000 sf - all other
107,storage < 50 sf - hospital,storage_hospital_small,general_conference_storage_rooms,storage < 50 sf - hospital
108,storage 50 to 1000 sf - hospital,storage_hospital_large,general_conference_storage_rooms,storage 50 to 1000 sf - hospital
109,storage - inactive,storage_inactive,general_conference_storage_rooms,storage - inactive
110,"storage, inactive - museum",storage_inactive_museum,general_conference_storage_rooms,
111,airport concourse,airport_concourse,office_buildings_reception_areas,airport concourse
112,baggage/carousel,baggage_carousel,office_buildings_reception_areas,baggage/carousel
113,transportation ticket counter,transportation_ticket_counter,office_buildings_reception_areas,transportation ticket counter
114,vehicular maintenance,vehicular_maintenance,miscellaneous_spaces_manufacturing_wo_hazardous_materials,vehicular maintenance
