id,building_type,space_type,lighting_space_type_name,ventilation_space_type_name
1,FullServiceRestaurant,Kitchen,kitchen,food_beverage_service_kitchen
2,FullServiceRestaurant,Dining,dining_family,food_beverage_service_restaurant_dining_rooms
3,FullServiceRestaurant,Attic,,
4,HighriseApartment,Apartment,bam_multifamily,hotels_motels_resorts_dormitories_bedroom_living_room
5,HighriseApartment,Apartment_topfloor_NS,bam_multifamily,hotels_motels_resorts_dormitories_bedroom_living_room
6,HighriseApartment,Apartment_topfloor_WE,bam_multifamily,hotels_motels_resorts_dormitories_bedroom_living_room
7,HighriseApartment,Corridor,corridor_general,transient_residential_common_corridors
8,HighriseApartment,Corridor_topfloor,corridor_general,transient_residential_common_corridors
9,HighriseApartment,Office,office_enclosed_small,hotels_motels_resorts_dormitories_multi_purpose_assembly
10,Hospital,Basement,bam_hospital,outpatient_health_care_facilities_general_examination_room
11,Hospital,Corridor,corridor_hospital,general_conference_corridors
12,Hospital,Dining,dining_general,food_beverage_service_restaurant_dining_rooms
13,Hospital,ER_Exam,exam_treatment,outpatient_health_care_facilities_general_examination_room
14,Hospital,ER_NurseStn,nurses_station,outpatient_health_care_facilities_psychiatric_consultation_room
15,Hospital,ER_Trauma,emergency_room,outpatient_health_care_facilities_general_examination_room
16,Hospital,ER_Triage,emergency_room,outpatient_health_care_facilities_general_examination_room
17,Hospital,ICU_NurseStn,nurses_station,outpatient_health_care_facilities_urgent_care_examination_room
18,Hospital,ICU_Open,recovery,outpatient_health_care_facilities_urgent_care_examination_room
19,Hospital,Lab,laboratory_classroom,educational_facilities_science_laboratories
20,Hospital,Lobby,lobby_general,public_assembly_spaces_lobbies
21,Hospital,NurseStn,nurses_station,outpatient_health_care_facilities_psychiatric_consultation_room
22,Hospital,OR,operating_room,outpatient_health_care_facilities_general_examination_room
23,Hospital,PatCorridor,corridor_hospital,general_conference_corridors
24,Hospital,PatRoom,patient_room,outpatient_health_care_facilities_physical_therapy_individual_room
25,Hospital,PhysTherapy,physical_therapy,outpatient_health_care_facilities_physical_therapy_exercise_area
26,Hospital,Radiology,imaging,outpatient_health_care_facilities_class_1_imaging_rooms
27,Hospital,Kitchen,kitchen,food_beverage_service_kitchen
28,Hospital,ICU_PatRm,patient_room,outpatient_health_care_facilities_physical_therapy_individual_room
29,Hospital,Office,office_enclosed_small,office_buildings_office_space
30,Hospital,HospitalOfficeFlr1,office_enclosed_small,office_buildings_office_space
31,Hospital,HospitalOfficeFlr5,office_enclosed_small,office_buildings_office_space
32,LargeHotel,Kitchen,kitchen,food_beverage_service_kitchen
33,LargeHotel,Banquet,dining_hotel,general_conference_meeting
34,LargeHotel,Basement,bam_hotel,hotels_motels_resorts_dormitories_multi_purpose_assembly
35,LargeHotel,Cafe,dining_hotel,food_beverage_service_cafeteria_fast_food_dining
36,LargeHotel,Corridor,corridor_general,general_conference_corridors
37,LargeHotel,Corridor2,corridor_general,general_conference_corridors
38,LargeHotel,GuestRoom,guest_room,hotels_motels_resorts_dormitories_bedroom_living_room
39,LargeHotel,GuestRoom2,guest_room,hotels_motels_resorts_dormitories_bedroom_living_room
40,LargeHotel,GuestRoom3,guest_room,hotels_motels_resorts_dormitories_bedroom_living_room
41,LargeHotel,GuestRoom4,guest_room,hotels_motels_resorts_dormitories_bedroom_living_room
42,LargeHotel,Laundry,laundry_washing,hotels_motels_resorts_dormitories_laundry_rooms
43,LargeHotel,Lobby,lobby_hotel,hotels_motels_resorts_dormitories_lobbies_prefunction
44,LargeHotel,Mechanical,electrical_mechanical,general_conference_corridors
45,LargeHotel,Retail,sales,retail_sales
46,LargeHotel,Retail2,sales,retail_sales
47,LargeHotel,Storage,storage_ all_other_small,office_buildings_occupiable_storage_rooms
48,MidriseApartment,Apartment,bam_multifamily,hotels_motels_resorts_dormitories_bedroom_living_room
49,MidriseApartment,Apartment_topfloor_NS,bam_multifamily,hotels_motels_resorts_dormitories_bedroom_living_room
50,MidriseApartment,Apartment_topfloor_WE,bam_multifamily,hotels_motels_resorts_dormitories_bedroom_living_room
51,MidriseApartment,Corridor,corridor_general,transient_residential_common_corridors
52,MidriseApartment,Corridor_topfloor,corridor_general,transient_residential_common_corridors
53,MidriseApartment,Office,office_enclosed_small,office_buildings_office_space
54,Office,OfficeLarge Data Center,computer_room,miscellaneous_spaces_computer
55,Office,OfficeLarge Main Data Center,computer_room,miscellaneous_spaces_computer
