template,minimum_capacity,maximum_capacity,start_date,end_date,minimum_annual_fuel_utilization_efficiency,minimum_thermal_efficiency,minimum_combustion_efficiency,annotation
90.1-2004,0,224999,9/9/1919,9/9/2999,0.78,0.8,,Table 6.8.1E page 49
90.1-2004,225000,249999999,9/9/1919,9/9/2999,,,0.8,Table 6.8.1E page 49
90.1-2007,0,224999,9/9/1919,9/9/2999,0.78,0.8,,Table 6.8.1E page 49
90.1-2007,225000,249999999,9/9/1919,9/9/2999,,,0.8,Table 6.8.1E page 49
90.1-2010,0,224999,9/9/1919,9/9/2999,0.78,0.8,,Table 6.8.1E page 62
90.1-2010,225000,249999999,9/9/1919,9/9/2999,,0.8,,Table 6.8.1E page 62
90.1-2013,0,224999,9/9/1919,9/9/2999,0.78,0.8,,Table 6.8.1E page 72
90.1-2013,225000,249999999,9/9/1919,9/9/2999,,0.8,,Table 6.8.1E page 72
90.1-2016,0,224999,9/9/1919,9/9/2999,0.78,0.8,,Table 6.8.1E page 116
90.1-2016,225000,249999999,9/9/1919,9/9/2999,,0.8,,Table 6.8.1E page 116
90.1-2019,0,224999,9/9/1919,9/9/2999,,0.81,,Table 6.8.1-6 for > 225 ktbu/hr; Table F-4 for < 225 ktbu/hr
90.1-2019,225000,249999999,9/9/1919,9/9/2999,,0.8,,Table 6.8.1-6 for > 225 ktbu/hr; Table F-4 for < 225 ktbu/hr
