climate_index,file,country,state_province_region,city,hdd18,cdd18,latitude,longitude,elevation, climate_zone_name,climate_zone_index,fwdr
0,CAN_AB_Calgary.718770_CWEC.epw,CAN,AB,Calgary Int'l,5146,40,51.12,-114.02,1084,7a,3,0.3236
1,CAN_AB_Edmonton.711230_CWEC.epw,CAN,AB,Edmonton Stony Plain,5583,22,53.53,-114.1,723,7a,3,0.294466667
2,CAN_AB_Fort.McMurray.719320_CWEC.epw,CAN,AB,Fort McMurray,6191,65,56.65,-111.22,369,7b,4,0.253933333
3,CAN_AB_Grande.Prairie.719400_CWEC.epw,CAN,AB,Grand Prairie,5897,26,55.18,-118.88,669,7a,3,0.273533333
4,CAN_AB_Lethbridge.712430_CWEC.epw,CAN,AB,Lethbridge,4432,126,49.63,-112.8,921,6,2,0.3712
5,CAN_AB_Medicine.Hat.718720_CWEC.epw,CAN,AB,Medicine Hat,4678,199,50.02,-110.72,716,6,2,0.3548
6,CAN_BC_Abbotsford.711080_CWEC.epw,CAN,BC,Abbotsford,3134,33,49.03,-122.37,58,5,1,0.4
7,CAN_BC_Comox.718930_CWEC.epw,CAN,BC,Comox,3177,30,49.72,-124.9,24,5,1,0.4
8,CAN_BC_Cranbrook.718800_CWEC.epw,CAN,BC,Cranbrook,4645,118,49.6,-115.78,940,6,2,0.357
9,CAN_BC_Fort.St.John.719430_CWEC.epw,CAN,BC,Fort St John,5863,25,56.23,-120.73,695,7a,3,0.2758
10,CAN_BC_Kamloops.718870_CWEC.epw,CAN,BC,Kamloops,3629,287,50.7,-120.45,346,5,1,0.4
11,CAN_BC_Port.Hardy.711090_CWEC.epw,CAN,BC,Port Hardy,3712,0,50.68,-127.37,22,5,1,0.4
12,CAN_BC_Prince.George.718960_CWEC.epw,CAN,BC,Prince George,5070,15,53.88,-122.68,691,7a,3,0.328666667
13,CAN_BC_Prince.Rupert.718980_CWEC.epw,CAN,BC,Prince Rupert,4151,0,54.3,-130.43,34,6,2,0.389933333
14,CAN_BC_Sandspit.711010_CWEC.epw,CAN,BC,Sandspit,3644,0,53.25,-131.82,6,5,1,0.4
15,CAN_BC_Smithers.719500_CWEC.epw,CAN,BC,Smithers,5265,22,54.82,-127.18,523,7a,3,0.315666667
16,CAN_BC_Summerland.717680_CWEC.epw,CAN,BC,Summerland,3388,199,49.57,-119.65,479,5,1,0.4
17,CAN_BC_Vancouver.718920_CWEC.epw,CAN,BC,Vancouver Int'l,3019,4,49.18,-123.17,2,5,1,0.4
18,CAN_BC_Victoria.717990_CWEC.epw,CAN,BC,Victoria Int'l,3075,8,48.65,-123.43,19,5,1,0.4
19,CAN_MB_Brandon.711400_CWEC.epw,CAN,MB,Brandon,5912,95,49.92,-99.95,409,7a,3,0.272533333
20,CAN_MB_Churchill.719130_CWEC.epw,CAN,MB,Churchill,9114,3,58.75,-94.07,29,8,5,0.2
21,CAN_MB_The.Pas.718670_CWEC.epw,CAN,MB,The Pas,6442,106,53.97,-101.1,271,7b,4,0.2372
22,CAN_MB_Winnipeg.718520_CWEC.epw,CAN,MB,Winnipeg Int'l,5754,197,49.9,-97.23,239,7a,3,0.283066667
23,CAN_NB_Fredericton.717000_CWEC.epw,CAN,NB,Fredericton,4734,132,45.87,-66.53,20,6,2,0.351066667
24,CAN_NB_Miramichi.717440_CWEC.epw,CAN,NB,Miramichi,4921,141,47.02,-65.45,33,6,2,0.3386
25,CAN_NB_Saint.John.716090_CWEC.epw,CAN,NB,Saint John,4695,12,45.32,-65.88,109,6,2,0.353666667
26,CAN_NF_Battle.Harbour.718170_CWEC.epw,CAN,NF,Battle Harbour,6462,0,52.3,-55.83,8,7b,4,0.235866667
27,CAN_NF_Gander.718030_CWEC.epw,CAN,NF,Gander Int'l,5101,25,48.95,-54.57,151,7a,3,0.3266
28,CAN_NF_Goose.718160_CWEC.epw,CAN,NF,Goose,6558,38,53.32,-60.37,49,7b,4,0.229466667
29,CAN_NF_St.Johns.718010_CWEC.epw,CAN,NF,St John's,4886,24,47.62,-52.73,140,6,2,0.340933333
30,CAN_NF_Stephenville.718150_CWEC.epw,CAN,NF,Stephenville,4724,10,48.53,-58.55,26,6,2,0.351733333
31,CAN_NS_Greenwood.713970_CWEC.epw,CAN,NS,Greenwood,4131,128,44.98,-64.92,28,6,2,0.391266667
32,CAN_NS_Sable.Island.716000_CWEC.epw,CAN,NS,Sable Island,3860,14,43.93,-60.02,4,5,1,0.4
33,CAN_NS_Shearwater.716010_CWEC.epw,CAN,NS,Shearwater,4197,58,44.63,-63.5,51,6,2,0.386866667
34,CAN_NS_Sydney.717070_CWEC.epw,CAN,NS,Sydney,4634,51,46.17,-60.05,62,6,2,0.357733333
35,CAN_NS_Truro.713980_CWEC.epw,CAN,NS,Truro,4537,35,45.37,-63.27,40,6,2,0.3642
36,CAN_NT_Inuvik.719570_CWEC.epw,CAN,NT,Inuvik Ua,9952,17,68.3,-133.48,68,8,5,0.2
37,CAN_NU_Resolute.719240_CWEC.epw,CAN,NU,Resolute,12570,0,74.72,-94.98,67,8,5,0.2
38,CAN_ON_Kingston.716200_CWEC.epw,CAN,ON,Kingston,4287,187,44.22,-76.6,93,6,2,0.380866667
39,CAN_ON_London.716230_CWEC.epw,CAN,ON,London,4111,211,43.03,-81.15,278,6,2,0.3926
40,CAN_ON_Mount.Forest.716310_CWEC.epw,CAN,ON,Mount Forest,4578,121,43.98,-80.75,415,6,2,0.361466667
41,CAN_ON_Muskoka.716300_CWEC.epw,CAN,ON,Muskoka,4774,97,44.97,-79.3,282,6,2,0.3484
42,CAN_ON_North.Bay.717310_CWEC.epw,CAN,ON,North Bay,5341,103,46.35,-79.43,371,7a,3,0.3106
43,CAN_ON_Ottawa.716280_CWEC.epw,CAN,ON,Ottawa Int'l,4664,189,45.32,-75.67,114,6,2,0.355733333
44,CAN_ON_Sault.Ste.Marie.712600_CWEC.epw,CAN,ON,Sault Ste Marie,4993,75,46.48,-84.52,192,6,2,0.3338
45,CAN_ON_Simcoe.715270_CWEC.epw,CAN,ON,Simcoe,4066,190,42.85,-80.27,241,6,2,0.3956
46,CAN_ON_Thunder.Bay.717490_CWEC.epw,CAN,ON,Thunder Bay,5624,60,48.37,-89.32,199,7a,3,0.291733333
47,CAN_ON_Timmins.717390_CWEC.epw,CAN,ON,Timmins,5952,63,48.57,-81.37,295,7a,3,0.269866667
48,CAN_ON_Toronto.716240_CWEC.epw,CAN,ON,Toronto Int'l,4088,231,43.67,-79.63,173,6,2,0.394133333
49,CAN_ON_Trenton.716210_CWEC.epw,CAN,ON,Trenton,4176,207,44.12,-77.53,86,6,2,0.388266667
50,CAN_ON_Windsor.715380_CWEC.epw,CAN,ON,Windsor,3570,367,42.27,-82.97,190,5,1,0.4
51,CAN_PE_Charlottetown.717060_CWEC.epw,CAN,PE,Charlottetown CDA,4647,72,46.28,-63.13,54,6,2,0.356866667
52,CAN_PQ_Bagotville.717270_CWEC.epw,CAN,PQ,Bagotville,5781,49,48.33,-71,159,7a,3,0.281266667
53,CAN_PQ_Baie.Comeau.711870_CWEC.epw,CAN,PQ,Baie Comeau,5889,3,49.13,-68.2,22,7a,3,0.274066667
54,CAN_PQ_Grindstone.Island_CWEC.epw,CAN,PQ,Grindstone Island,4941,18,47.38,-61.87,59,6,2,0.337266667
55,CAN_PQ_Kuujjuarapik.719050_CWEC.epw,CAN,PQ,Kuujjuarapik,7986,12,55.28,-77.77,12,8,5,0.2
56,CAN_PQ_Kuujuaq.719060_CWEC.epw,CAN,PQ,Kuujuaq,8491,0,58.1,-68.42,37,8,5,0.2
57,CAN_PQ_La.Grande.Riviere.718270_CWEC.epw,CAN,PQ,La Grande Riviere,7616,11,53.63,-77.7,195,8,5,0.2
58,CAN_PQ_Lake.Eon.714210_CWEC.epw,CAN,PQ,Lake Eon,7383,8,51.87,-63.28,561,8,5,0.2
59,CAN_PQ_Mont.Joli.717180_CWEC.epw,CAN,PQ,Mont Joli,5522,65,48.6,-68.22,52,7a,3,0.298533333
60,CAN_PQ_Montreal.Intl.AP.716270_CWEC.epw,CAN,PQ,Montreal Int'l,4493,234,45.47,-73.75,36,6,2,0.367133333
61,CAN_PQ_Montreal.Jean.Brebeuf.716278_CWEC.epw,CAN,PQ,Montreal Jean Brebeuf,4616,209,45.5,-73.62,133,6,2,0.358933333
62,CAN_PQ_Montreal.Mirabel.716278_CWEC.epw,CAN,PQ,Montreal Mirabel,4861,102,45.68,-74.03,82,6,2,0.3426
