building_type,climate_zone,air_barrier,hvac_status,a,b,d
HighriseApartment,1,no,on,0.073582572,0.011714788,0.024808851
HighriseApartment,1,no,off,,,
HighriseApartment,2,no,on,0.077379506,0.013441623,0.016703738
HighriseApartment,2,no,off,,,
HighriseApartment,3,no,on,0.091355061,0.014458129,0.026462809
HighriseApartment,3,no,off,,,
HighriseApartment,4,no,on,0.105805517,0.01445399,0.021441131
HighriseApartment,4,no,off,,,
HighriseApartment,5,no,on,0.130191321,0.012865091,0.020562477
HighriseApartment,5,no,off,,,
HighriseApartment,6,no,on,0.107471924,0.011991097,0.013479168
HighriseApartment,6,no,off,,,
HighriseApartment,7,no,on,0.140144471,0.012127235,0.01674204
HighriseApartment,7,no,off,,,
HighriseApartment,8,no,on,0.123497939,0.013358545,0.021661499
HighriseApartment,8,no,off,,,
Hospital,1,no,on,0.0738,0.0000,0.0084
Hospital,1,no,off,,,
Hospital,2,no,on,0.0765,0.0003,0.0065
Hospital,2,no,off,,,
Hospital,3,no,on,0.0610,0.0021,0.0098
Hospital,3,no,off,,,
Hospital,4,no,on,0.0568,0.0023,0.0101
Hospital,4,no,off,,,
Hospital,5,no,on,0.0477,0.0028,0.0107
Hospital,5,no,off,,,
Hospital,6,no,on,0.0571,0.0020,0.0071
Hospital,6,no,off,,,
Hospital,7,no,on,0.0359,0.0033,0.0105
Hospital,7,no,off,,,
Hospital,8,no,on,0.0334,0.0044,0.0090
Hospital,8,no,off,,,
LargeHotel,1,no,on,0.2579,0.0194,0.0272
LargeHotel,1,no,off,,,
LargeHotel,2,no,on,0.2708,0.0146,0.0231
LargeHotel,2,no,off,,,
LargeHotel,3,no,on,0.3303,0.0039,0.0330
LargeHotel,3,no,off,,,
LargeHotel,4,no,on,0.3349,0.0041,0.0266
LargeHotel,4,no,off,,,
LargeHotel,5,no,on,0.3330,0.0049,0.0262
LargeHotel,5,no,off,,,
LargeHotel,6,no,on,0.3357,0.0037,0.0173
LargeHotel,6,no,off,,,
LargeHotel,7,no,on,0.3265,0.0059,0.0205
LargeHotel,7,no,off,,,
LargeHotel,8,no,on,0.2906,0.0084,0.0296
LargeHotel,8,no,off,,,
MediumOffice,1,no,on,-0.0198,-0.0016,0.0287
MediumOffice,1,no,off,0.0000,0.0125,0.0380
MediumOffice,2,no,on,-0.0103,-0.0007,0.0231
MediumOffice,2,no,off,0.0000,0.0164,0.0308
MediumOffice,3,no,on,-0.0451,0.0046,0.0327
MediumOffice,3,no,off,0.0000,0.0173,0.0398
MediumOffice,4,no,on,-0.0461,0.0053,0.0311
MediumOffice,4,no,off,0.0000,0.0174,0.0341
MediumOffice,5,no,on,-0.0445,0.0055,0.0295
MediumOffice,5,no,off,0.0000,0.0155,0.0344
MediumOffice,6,no,on,-0.0382,0.0042,0.0206
MediumOffice,6,no,off,0.0000,0.0139,0.0264
MediumOffice,7,no,on,-0.0506,0.0059,0.0263
MediumOffice,7,no,off,0.0000,0.0142,0.0298
MediumOffice,8,no,on,-0.0760,0.0077,0.0310
MediumOffice,8,no,off,0.0000,0.0143,0.0359
MidriseApartment,1,no,on,0.0567,0.0050,0.0373
MidriseApartment,1,no,off,,,
MidriseApartment,2,no,on,0.0543,0.0052,0.0282
MidriseApartment,2,no,off,,,
MidriseApartment,3,no,on,0.0647,0.0065,0.0415
MidriseApartment,3,no,off,,,
MidriseApartment,4,no,on,0.0716,0.0068,0.0342
MidriseApartment,4,no,off,,,
MidriseApartment,5,no,on,0.0917,0.0059,0.0328
MidriseApartment,5,no,off,,,
MidriseApartment,6,no,on,0.0697,0.0059,0.0216
MidriseApartment,6,no,off,,,
MidriseApartment,7,no,on,0.0892,0.0060,0.0274
MidriseApartment,7,no,off,,,
MidriseApartment,8,no,on,0.0641,0.0071,0.0364
MidriseApartment,8,no,off,,,
PrimarySchool,1,no,on,0.0072,-0.0008,0.0310
PrimarySchool,1,no,off,0.0000,0.0041,0.0427
PrimarySchool,2,no,on,0.0019,-0.0006,0.0298
PrimarySchool,2,no,off,0.0000,0.0052,0.0348
PrimarySchool,3,no,on,-0.0039,0.0031,0.0393
PrimarySchool,3,no,off,0.0000,0.0070,0.0515
PrimarySchool,4,no,on,-0.0028,0.0037,0.0336
PrimarySchool,4,no,off,0.0000,0.0073,0.0397
PrimarySchool,5,no,on,0.0025,0.0034,0.0340
PrimarySchool,5,no,off,0.0000,0.0066,0.0423
PrimarySchool,6,no,on,-0.0043,0.0030,0.0215
PrimarySchool,6,no,off,0.0000,0.0056,0.0305
PrimarySchool,7,no,on,0.0035,0.0036,0.0272
PrimarySchool,7,no,off,0.0000,0.0061,0.0361
PrimarySchool,8,no,on,-0.0153,0.0040,0.0392
PrimarySchool,8,no,off,0.0000,0.0057,0.0503
SecondarySchool,1,no,on,0.0973,0.0005,0.0839
SecondarySchool,1,no,off,0,0.0122,0.1089
SecondarySchool,2,no,on,0.0657,-0.0023,0.0853
SecondarySchool,2,no,off,0,0.0122,0.0965
SecondarySchool,3,no,on,0.0647,0.0078,0.1055
SecondarySchool,3,no,off,0,0.0168,0.1314
SecondarySchool,4,no,on,0.0725,0.0091,0.0893
SecondarySchool,4,no,off,0,0.0174,0.1016
SecondarySchool,5,no,on,0.1019,0.0077,0.0877
SecondarySchool,5,no,off,0,0.0156,0.1050
