Activity,Density,Category,Includes,Excludes,Fallback
arena,10,recreation,arena,,
gym,10,recreation,gym,,
exercise,10,commerce,exercise,,
office,25,commerce,office,,
retail,30,commerce,retail,,
leisure,10,commerce,leisure/lounge/bar,fast/cafeteria/family,
fastfood,10,commerce,fast/cafeteria,leisure/lounge/bar/family,
restaurant,10,commerce,family/restaurant,leisure/lounge/bar/fast/cafeteria,
hotel,25,lodging,hotel,,
motel,25,lodging,motel,hotel,hotel
dorm,30,housing,dorm,,
residential,25,housing,multi/residential/apartment,health/care,
care,25,housing,care,health/clinic/multi/residential,residential
clinic,20,public,clinic,,
hospital,20,public,hospital/healthcare/outpatient,clinic,
religious,5,public,religious,,
terminal,15,public,transportation/terminal,,
theatre,8,public,perform/art/theatre,motion/picture/cineplex,
cineplex,8,public,motion/picture/cineplex,perform/art,
convention,8,public,convention,,
museum,20,public,museum,,
library,20,public,library,,
school,8,public,school/university,,
postal,25,public,post,,
townhall,25,public,town,house,
court,15,public,court,,
precinct,25,public,precinct/police,,
penitentiary,30,robust,penitentiary,,
parking,1000,robust,storage/garage/parking,automotive,
warehouse,1500,industry,warehouse,,
workshop,30,industry,workshop,,
manufacturing,30,industry,manufacturing,,
automotive,20,industry,automotive,,
firehouse,25,industry,fire,,
