template,building_type,space_type,lighting_per_area_w_per_m2,occupancy_per_area_people_per_m2,occupancy_schedule,electric_equipment_per_area_w_per_m2,service_water_heating_peak_flow_per_area_gal_per_h_ft2
NECB 2011,Space Function,- undefined -,0,0,,0,0
NECB 2011,Space Function,Atrium - H < 13m,0,0.099996771,NECB-C-Occupancy,2.499976774,0
NECB 2011,Space Function,Atrium - H > 13m,0,0.099996771,NECB-C-Occupancy,2.499976774,0
NECB 2011,Space Function,Audience - auditorium,8.499921034,0.199993542,NECB-C-Occupancy,2.499976774,0.002839298
NECB 2011,Space Function,Audience - motion picture,12.29988573,0.199993542,NECB-C-Occupancy,2.499976774,0.002839298
NECB 2011,Space Function,Audience - performance arts,26.1997566,0.133364907,NECB-C-Occupancy,2.499976774,0.001893375
NECB 2011,Space Function,Automotive - repair,7.19993311,0.050052205,NECB-E-Occupancy,4.999953548,0.002138732
NECB 2011,Space Function,Bank - banking and offices,14.89986158,0.040041764,NECB-A-Occupancy,4.999953548,0.001142515
NECB 2011,Space Function,Classroom/lecture/training,13.29987644,0.133364907,NECB-D-Occupancy,4.999953548,0.004120874
NECB 2011,Space Function,Conf./meet./multi-purpose,13.19987737,0.199993542,NECB-C-Occupancy,0.999990712,0.004286783
NECB 2011,Space Function,Convention centre - audience,8.799918246,0.199993542,NECB-C-Occupancy,2.499976774,0.002839298
NECB 2011,Space Function,Convention centre - exhibit,15.59985507,0.199993542,NECB-C-Occupancy,2.499976774,0.002839298
NECB 2011,Space Function,Corr. < 2.4m wide-sch-A,8.399921959,0.010010441,NECB-A-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-B,8.399921959,0.010010441,NECB-B-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-C,8.399921959,0.010010441,NECB-C-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-D,8.399921959,0.010010441,NECB-D-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-E,8.399921959,0.010010441,NECB-E-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-F,8.399921959,0.010010441,NECB-F-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-G,8.399921959,0.010010441,NECB-G-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-H,8.399921959,0.010010441,NECB-H-Occupancy,0,0
NECB 2011,Space Function,Corr. < 2.4m wide-sch-I,8.399921959,0.010010441,NECB-I-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-A,7.099934035,0.010010441,NECB-A-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-B,7.099934035,0.010010441,NECB-B-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-C,7.099934035,0.010010441,NECB-C-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-D,7.099934035,0.010010441,NECB-D-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-E,7.099934035,0.010010441,NECB-E-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-F,7.099934035,0.010010441,NECB-F-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-G,7.099934035,0.010010441,NECB-G-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-H,7.099934035,0.010010441,NECB-H-Occupancy,0,0
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-I,7.099934035,0.010010441,NECB-I-Occupancy,0,0
NECB 2011,Space Function,Courthouse - cell,14.69986343,0.040041764,NECB-H-Occupancy,2.499976774,0.006180727
NECB 2011,Space Function,Courthouse - chambers,12.59988294,0.050052205,NECB-A-Occupancy,7.499930322,0.002138732
NECB 2011,Space Function,Courthouse - courtroom,18.49982813,0.199993542,NECB-A-Occupancy,2.499976774,0.002839298
NECB 2011,Space Function,Dining - bar lounge/leisure,14.09986901,0.099996771,NECB-B-Occupancy,0.999990712,0.004272865
NECB 2011,Space Function,Dining - family space,9.599910809,0.099996771,NECB-B-Occupancy,0.999990712,0.005692514
NECB 2011,Space Function,Dining - other,6.999934972,0.099996771,NECB-B-Occupancy,0.999990712,0.005692514
NECB 2011,Space Function,Dormitory - living quarters,4.099961911,0.040041764,NECB-G-Occupancy,2.499976774,0.009507954
NECB 2011,Space Function,Dress./fitt. - performance arts,4.299960049,0.033368137,NECB-C-Occupancy,2.499976774,0.000631634
NECB 2011,Space Function,Dwelling Unit(s),4.999953548,0.016684068,NECB-G-Occupancy,4.999953548,0.003961647
NECB 2011,Space Function,Electrical/Mechanical-sch-A,13.29987644,0.004951401,NECB-A-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-B,13.29987644,0.004951401,NECB-B-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-C,13.29987644,0.004951401,NECB-C-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-D,13.29987644,0.004951401,NECB-D-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-E,13.29987644,0.004951401,NECB-E-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-F,13.29987644,0.004951401,NECB-F-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-G,13.29987644,0.004951401,NECB-G-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-H,13.29987644,0.004951401,NECB-H-Occupancy,0.999990712,0
NECB 2011,Space Function,Electrical/Mechanical-sch-I,13.29987644,0.004951401,NECB-I-Occupancy,0.999990712,0
NECB 2011,Space Function,Fire station - engine room,5.99994426,0.040041764,NECB-H-Occupancy,2.499976774,0.006180727
NECB 2011,Space Function,Fire station - quarters,3.399968411,0.040041764,NECB-G-Occupancy,2.499976774,0.009507954
NECB 2011,Space Function,Food preparation,10.6999006,0.050052205,NECB-B-Occupancy,9.999907096,0.002849321
NECB 2011,Space Function,Food preparation - vented,10.6999006,0.050052205,NECB-B-Occupancy,9.999907096,0.002849321
NECB 2011,Space Function,Gym - audience,4.599957261,0.199993542,NECB-B-Occupancy,0,0.002839298
