Activity,Includes,Excludes,Fallback
undefined::common,undefined,,
washroom::common,washroom,,
atrium::common,atrium,,
concourse::retail,concourse,airport/terminal/transp,
concourse::terminal,concourse,retail/mall,
corridor::common,corr,manufacturing/hospital,corridor::common
corridor::hospital,corr,manufacturing/common/other,corridor::common
corridor::manufacturing,corr,hospital/common/other,corridor::common
stairway::common,stair,,
elevator::common,elevator/foyer,,
lobby::common,lobby,otel/motion/picture/cineplex/perform/art/theatre,lobby::common
lobby::hotel,lobby,motion/picture/cineplex/perform/art/theatre/common/other,lobby::common
lobby::cineplex,lobby,otel/perform/art/common/other,lobby::common
lobby::theatre,lobby,otel/motion/picture/cineplex/common/other,lobby::common
restoration::museum,restoration,,
exhibit::museum,exhibit,convention,
exhibit::convention,exhibit,museum,
baggage::terminal,baggage/carousel,,
counter::terminal,counter,,
seating::common,seating,airport/terminal/transp,
seating::terminal,seating,general/common/other,
refectory::religious,fellowship/refectory,,
pulpit::religious,pulpit/choir,,
chapel::religious,chapel,,
audience::common,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/gym/arena,audience::common
audience::religious,audience,auditorium/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/gym/arena/common/other,audience::common
audience::penitentiary,audience,auditorium/religious/motion/picture/cineplex/perform/art/theatre/convention/gym/arena/common/other,audience::common
audience::cineplex,audience,auditorium/religious/penitentiary/perform/art/theatre/convention/gym/arena/common/other,audience::common
audience::theatre,audience,auditorium/religious/penitentiary/motion/picture/cineplex/convention/gym/arena/common/other,audience::common
audience::convention,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/gym/arena/common/other,audience::common
audience::gym,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/arena/common/other,audience::common
audience::arena,audience,auditorium/religious/penitentiary/motion/picture/cineplex/perform/art/theatre/convention/gym/common/other,audience::common
c1::arena,class 1/class I,,
c2::arena,class 2/class II,,
c3::arena,class 3/class III,,
c4::arena,class 4/class IV,,
octogon::arena,ring/octogon,,
exercise::gym,exercise,,
court::gym,court,class 1/class 2/class 3/class 4/class I/class II/class III/class IV/courthouse/courtroom/chambers/tribunal,
locker::common,locker,
dressing::theatre,dress/fitt,retail,
dressing::retail,dress/fitt,perform/art/theatre,
sales::common,sales,retail,sales::common
sales::retail,retail,dress/fitt/mall/concourse,sales::retail
dining::common,dining,penitentiary/leisure/lounge/bar/cafeteria/fast/family/restaurant/otel/lodging,dining::common
dining::penitentiary,dining,leisure/lounge/bar/cafeteria/fast/family/restaurant/otel/lodging/common/other,dining::common
dining::leisure,dining,cafeteria/fast/family/restaurant/penitentiary/otel/lodging/common/other,dining::common
dining::fastfood,dining,penitentiary/leisure/lounge/bar/family/restaurant/otel/lodging/common/other,dining::common
dining::restaurant,dining,penitentiary/leisure/lounge/bar/cafeteria/fast/otel/lodging/common/other,dining::common
dining::motel,dining,penitentiary/leisure/lounge/bar/cafeteria/fast/family/restaurant/hotel/common/other,dining::common
dining::hotel,dining,penitentiaryleisure/lounge/bar/cafeteria/fast/family/restaurant/motel/lodging/common/other,dining::common
cuisine::common,food/preparation,
rooms::common,guest,otel,rooms::hotel
rooms::motel,guest,hotel,rooms::common
rooms::hotel,guest,motel/hway/lodging,rooms::common
quarters::dorm,quarter,fire,
quarters::firehouse,quarter,dorm,
units::residential,unit,care,units::residential
units::care,unit,residential,units::residential
recreation::common,recreation,hospital/healthcare,
meeting::common,conference/meeting/multi-purpose,,
office::common,office/enclosed,bank/open,office::common
openplan::common,open,enclosed/bank,office::common
bank::common,bank,,
copiers::common,copier/print,,
computer::common,computer,
server::common,server,
sorting::postal,sorting,,
chambers::court,chambers,,
tribunal::court,tribunal/courtroom,,
cell::common,cell,courthouse,cell::common
cell::court,cell,confinement,cell::common
classroom::common,classroom/lecture/training,penitentiary,classroom::common
classroom::penitentiary,classroom,lecture/training,classroom::common
reading::library,reading,,
stacks::library,stacks,,
catalog::library,catalog,,
lab::common,lab,teaching,lab::common
teachinglab::common,lab,research/industr/medical/common/other,lab::common
storage::common,storage,suppl,storage::common
supplies::hospital,suppl,,
exam::hospital,exam/treatment,,
nursery::hospital,nursery,,
nurses::hospital,nurses,,
operating::hospital,operat,,
patient::hospital,patient,,
therapy::hospital,therapy,,
imaging::hospital,radiology/imaging,,
recovery::hospital,recovery,,
laundry::common,laundry,hospital/healthcare,laundry::common
laundry::hospital,laundry/washing,common,laundry::common
lounge::common,lounge,hospital/healthcare,lounge::common
lounge::hospital,lounge,common/other,lounge::common
pharmacy::common,pharmacy,hospital/healthcare,pharmacy::common
pharmacy::hospital,pharmacy,common/other,pharmacy::common
emergency::common,emergency,hospital/healthcare,emergency::hospital
emergency::hospital,emergency,vehicle/garage,emergency::common
engineroom::firehouse,engine,,
garage::parking,garage,,
repair::automotive,repair,,
dock::common,dock,,
bulk::warehouse,bulk/pallet,fine,
fine::warehouse,fine,undefined/medium/bulk/pallet,
workshop::common,workshop,,
bay::manufacturing,bay,,
detailed::manufacturing,detailed,,
equipment::manufacturing,equipment,,
mechanical::common,electric/mechanic,,
