template,climate_zone_set,intended_surface_type,standards_construction_type,building_category,construction,orientation,minimum_percent_of_surface,maximum_percent_of_surface,assembly_maximum_u_value,u_value_includes_interior_film_coefficient,u_value_includes_exterior_film_coefficient,asssembly_maximum_f_factor,assembly_maximum_c_factor,assembly_maximum_solar_heat_gain_coefficient,assembly_minimum_vt_shgc,annotation
90.1-2004,ClimateZone 1,ExteriorRoof,IEAD,Nonresidential,Typical IEAD Roof,,,,0.063,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,Attic and Other,Nonresidential,Typical Wood Joist Attic Floor,,,,0.034,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,IEAD,Residential,Typical IEAD Roof,,,,0.063,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,Attic and Other,Residential,Typical Wood Joist Attic Floor,,,,0.027,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,IEAD,Semiheated,Typical IEAD Roof,,,,1.282,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,Attic and Other,Semiheated,Typical Wood Joist Attic Floor,,,,0.614,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,Metal Building,Residential,Typical Insulated Metal Building Roof,,,,0.065,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,Metal Building,Semiheated,Typical Insulated Metal Building Roof,,,,1.28,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorRoof,Attic and Other,Adiabatic,Adiabatic Roof,,,0,,,,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,Mass,Nonresidential,Typical Insulated Exterior Mass Wall,,,,0.58,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,Metal Building,Nonresidential,Typical Insulated Metal Building Wall,,,,0.113,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,SteelFramed,Nonresidential,Typical Insulated Steel Framed Exterior Wall,,,,0.124,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,WoodFramed,Nonresidential,Typical Insulated Wood Framed Exterior Wall,,,,0.089,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,Mass,Residential,Typical Insulated Exterior Mass Wall,,,,0.151,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,Metal Building,Residential,Typical Insulated Metal Building Wall,,,,0.113,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,SteelFramed,Residential,Typical Insulated Steel Framed Exterior Wall,,,,0.124,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWall,WoodFramed,Residential,Typical Insulated Wood Framed Exterior Wall,,,,0.089,TRUE,TRUE,,,,,
