space_type_name,lighting_space_type_name,lighting_technology_name,ventilation_space_type_name,electric_equipment_space_type_name,natural_gas_equipment_space_type_name
airport concourse,,default,,,
atrium,,default,,,
attic,,default,,,
audience seating,,default,,,
baggage/carousel,,default,,,
banking,,default,,,
classroom/lecture/training,,default,,,
computer room,,default,,,
conference/meeting/multipurpose,,default,,,
confinement cells,,default,,,
copy/print,,default,,,
corridor,,default,,,
courtroom,,default,,,
datacenterHighITE,,default,,,
datacenterLowITE,,default,,,
dining,,default,,,
dressing room,,default,,,
electrical/mechanical,,default,,,
emergency room,,default,,,
emergency vehicle garage,,default,,,
exam/treatment,,default,,,
exercise area,,default,,,
exhibit,,default,,,
guest room,,default,,,
imaging,,default,,,
interior parking,,default,,,
judges chambers,,default,,,
food preparation,,default,,,kitchen
laboratory,,default,,,
laundry/washing,,default,,,laundry
library,,default,,,
living quarters,,default,,,
loading dock,,default,,,
lobby,,default,,,
locker room,,default,,,
lounge/breakroom,,default,,,
manufacturing,,default,,,
medical supply,,default,,,
multifamily,,default,,,
nursery,,default,,,
nurses station,,default,,,
office,,default,,,
"office, enclosed",,default,,,
operating room,,default,,,
patient room,,default,,,
pharmacy,,default,,,
physical therapy,,default,,,
playing area,,default,,,
plenum,,default,,,
post office,,default,,,
recovery,,default,,,
recreation/common living,,default,,,
restroom,,default,,,
retail,,default,,,
shaft,,default,,,
sleeping quarters,,default,,,
sports arena,,default,,,
stairwell,,default,,,
storage,,default,,,
transportation,,default,,,
vehicular maintenance,,default,,,
workshop,,default,,,
worship,,default,,,
