template,cooling_type,subcategory,minimum_capacity,maximum_capacity,start_date,end_date,minimum_heating_seasonal_performance_factor,minimum_coefficient_of_performance_heating,minimum_energy_efficiency_ratio,pthp_cop_coefficient_1,pthp_cop_coefficient_2,heat_cap_ft,heat_cap_fflow,heat_eir_ft,heat_eir_fflow,heat_plf_fplr,annotation
90.1-2007,AirCooled,Single Package,65000,134999,9/9/1919,9/9/2999,,3.2,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2007,AirCooled,Single Package,135000,9999999,9/9/1919,9/9/2999,,3.1,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2010,AirCooled,Single Package,0,64999,9/9/1919,9/9/2999,7.7,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2010 Table 6.8.1B
90.1-2010,ThroughWall,Single Package,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2010 Table 6.8.1B
90.1-2010,AirCooled,Single Package,65000,134999,9/9/1919,9/9/2999,,3.3,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2010 Table 6.8.1B
90.1-2010,AirCooled,Single Package,135000,9999999,9/9/1919,9/9/2999,,3.2,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2010 Table 6.8.1B
90.1-2013,AirCooled,Single Package,0,64999,9/9/1919,12/31/2014,7.7,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2013 Table 6.8.1-2, Before 1/1/2015"
90.1-2013,AirCooled,Single Package,0,64999,1/1/2015,9/9/2999,8,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2013 Table 6.8.1-2, Before 1/1/2015"
90.1-2013,ThroughWall,Single Package,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2013 Table 6.8.1-3
90.1-2013,AirCooled,Single Package,65000,134999,9/9/1919,9/9/2999,,3.3,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,From 90.1-2013 Table 6.8.1-5
90.1-2013,AirCooled,Single Package,135000,9999999,9/9/1919,9/9/2999,,3.2,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,From 90.1-2013 Table 6.8.1-6
90.1-2004,AirCooled,Split System,0,64999,9/9/1919,9/9/2999,6.8,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,ThroughWall,Split System,0,29999,9/9/1919,9/9/2999,6.8,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,SmallDuctHighVelocity,Split System,0,64999,9/9/1919,9/9/2999,6.8,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2007,AirCooled,Split System,0,64999,9/9/1919,9/9/2999,7.7,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
90.1-2007,ThroughWall,Split System,0,29999,9/9/1919,9/9/2999,7.1,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
90.1-2010,AirCooled,Split System,0,64999,9/9/1919,9/9/2999,7.7,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2010 Table 6.8.1B
90.1-2010,ThroughWall,Split System,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2010 Table 6.8.1B
90.1-2013,AirCooled,Split System,0,64999,9/9/1919,12/31/2014,7.7,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2013 Table 6.8.1-2, Before 1/1/2015"
90.1-2013,AirCooled,Split System,0,64999,1/1/2015,9/9/2999,8.2,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2013 Table 6.8.1-2, Before 1/1/2015"
90.1-2013,ThroughWall,Split System,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2013 Table 6.8.1-2
90.1-2013,SmallDuctHighVelocity,Split System,0,64999,9/9/1919,9/9/2999,6.8,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2013 Table 6.8.1-4
90.1-2016,AirCooled,PTHP,0,9999999,9/9/1919,9/9/2999,,,,3.7,0.052,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2016,AirCooled,Single Package,0,64999,9/9/1919,9/9/2999,8,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2016,ThroughWall,Single Package,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2016,AirCooled,Single Package,65000,134999,9/9/1919,9/9/2999,,3.3,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2016,AirCooled,Single Package,135000,9999999,9/9/1919,9/9/2999,,3.2,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2016,AirCooled,Split System,0,64999,9/9/1919,9/9/2999,8.2,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2016,ThroughWall,Split System,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2016,SmallDuctHighVelocity,Split System,0,64999,9/9/1919,9/9/2999,6.8,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2019,AirCooled,PTHP,0,6999,9/9/1919,9/9/2999,,3.3,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2019,AirCooled,PTHP,6999,14999,9/9/1919,9/9/2999,,,,3.7,0.052,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2019,AirCooled,PTHP,14999,9999999,9/9/1919,9/9/2999,,2.9,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2019,AirCooled,Single Package,0,64999,9/9/1919,9/9/2999,8,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2019,ThroughWall,Single Package,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2019,AirCooled,Single Package,65000,134999,9/9/1919,9/9/2999,,3.3,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2019,AirCooled,Single Package,135000,9999999,9/9/1919,9/9/2999,,3.2,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2019,AirCooled,Split System,0,64999,9/9/1919,9/9/2999,8.2,,,,,HPACHeatCapFT,HPACHeatCapFFF,HPACHeatEIRFT,HPACHeatEIRFFF,HPACCOOLPLFFPLR,
90.1-2019,ThroughWall,Split System,0,29999,9/9/1919,9/9/2999,7.4,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
90.1-2019,SmallDuctHighVelocity,Split System,0,64999,9/9/1919,9/9/2999,6.8,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,
