template,cooling_type,subcategory,minimum_capacity,maximum_capacity,start_date,end_date,minimum_heating_seasonal_performance_factor,minimum_coefficient_of_performance_heating,minimum_energy_efficiency_ratio,pthp_cop_coefficient_1,pthp_cop_coefficient_2,heat_cap_ft,heat_cap_fflow,heat_eir_ft,heat_eir_fflow,heat_plf_fplr,annotation
90.1-2004,AirCooled,PTHP,0,9999999,9/9/1919,9/9/2999,,,,3.2,0.026,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2004 Table 6.8.1D
90.1-2007,AirCooled,PTHP,0,9999999,9/9/1919,9/9/2999,,,,3.2,0.026,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2007 Table 6.8.1D
90.1-2010,AirCooled,PTHP,0,9999999,9/9/1919,9/9/2999,,,,3.2,0.026,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2010 Table 6.8.1D before 10/08/2012
90.1-2013,AirCooled,PTHP,0,9999999,9/9/1919,9/9/2999,,,,3.7,0.052,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,From 90.1-2013 Table 6.8.1-4
90.1-2004,AirCooled,Single Package,0,64999,9/9/1919,9/9/2999,6.6,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,ThroughWall,Single Package,0,29999,9/9/1919,9/9/2999,6.6,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,AirCooled,Single Package,65000,134999,9/9/1919,9/9/2999,,3.2,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,AirCooled,Single Package,135000,9999999,9/9/1919,9/9/2999,,3.1,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2007,AirCooled,Single Package,0,64999,9/9/1919,9/9/2999,7.7,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
90.1-2007,ThroughWall,Single Package,0,29999,9/9/1919,9/9/2999,7,,,,,DXHEAT-NECB2011-REF-CAPFT,DXHEAT-NECB2011-REF-CAPFFLOW,DXHEAT-NECB2011-REF-EIRFT,DXHEAT-NECB2011-REF-EIRFFLOW,DXHEAT-NECB2011-REF-PLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
