ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_rate_occupant,ventilation_rate_occupant_unit,ventilation_rate_area,ventilation_rate_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
"Dry Cleaners, Laundries",Commercial laundry,25,cfm/person,0,cfm/ft2,10,ppl/1000 ft2,,,
"Dry Cleaners, Laundries",Commercial dry cleaner,30,cfm/person,0,cfm/ft2,30,ppl/1000 ft2,,,
"Dry Cleaners, Laundries","Storage, pick up",35,cfm/person,0,cfm/ft2,30,ppl/1000 ft2,,,
"Dry Cleaners, Laundries",Coin-operated laundries,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
"Dry Cleaners, Laundries",Coin-operated dry cleaner,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
Foor and Beverage Service,Dining rooms,20,cfm/person,0,cfm/ft2,70,ppl/1000 ft2,,,
Foor and Beverage Service,"Cafeteria, fast food",20,cfm/person,0,cfm/ft2,100,ppl/1000 ft2,,,
Foor and Beverage Service,"Bars, cocktails lounges",30,cfm/person,0,cfm/ft2,100,ppl/1000 ft2,,,
Foor and Beverage Service,Kitchen (cooking),15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
"Garages, Repair, Service Stations",Enclosed parking garage,0,cfm/person,1.5,cfm/ft2,0,ppl/1000 ft2,,,
"Garages, Repair, Service Stations",Auto repair rooms,0,cfm/person,1.5,cfm/ft2,0,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Bedrooms,0,cfm/person,30,cfm/room,0,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Living rooms,0,cfm/person,30,cfm/room,0,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Baths,0,cfm/person,35,cfm/room,0,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Lobbies,15,cfm/person,0,cfm/ft2,30,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Conference rooms,20,cfm/person,0,cfm/ft2,50,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Assembly rooms,15,cfm/person,0,cfm/ft2,120,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Dormitory sleeping areas,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
"Hotels, Motels, Resorts, Dormitories",Gambling casinos,30,cfm/person,0,cfm/ft2,120,ppl/1000 ft2,,,
Offices,Office space,20,cfm/person,0,cfm/ft2,7,ppl/1000 ft2,,,
Offices,Reception areas,15,cfm/person,0,cfm/ft2,60,ppl/1000 ft2,,,
Offices,Telecommunitcation centers and data entry areas,20,cfm/person,0,cfm/ft2,60,ppl/1000 ft2,,,
Offices,Conference rooms,20,cfm/person,0,cfm/ft2,50,ppl/1000 ft2,,,
Public Spaces,Corridors and utilities,0,cfm/person,0.05,cfm/ft2,0,ppl/1000 ft2,,,
Public Spaces,"Public restrooms, cfm/wc or cfm/urinal",50,cfm/person,0,cfm/ft2,0,ppl/1000 ft2,,,
Public Spaces,Locker and dressing rooms,0,cfm/person,0.5,cfm/ft2,0,ppl/1000 ft2,,,
Public Spaces,Smoking lounge,60,cfm/person,0,cfm/ft2,70,ppl/1000 ft2,,,
Public Spaces,Elevators,0,cfm/person,1,cfm/ft2,0,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Basement and street,0,cfm/person,0.3,cfm/ft2,30,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Upper floors,0,cfm/person,0.2,cfm/ft2,20,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Storage rooms,0,cfm/person,0.15,cfm/ft2,15,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Dressing rooms,0,cfm/person,0.2,cfm/ft2,0,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Malls and arcades,0,cfm/person,0.2,cfm/ft2,20,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Shipping and receiving,0,cfm/person,0.15,cfm/ft2,10,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Warehouses,0,cfm/person,0.05,cfm/ft2,5,ppl/1000 ft2,,,
"Retail Stores, Sales Floors, and Show Room Floors",Smoking lounge,60,cfm/person,0,cfm/ft2,70,ppl/1000 ft2,,,
Specialty Shops,Barber,15,cfm/person,0,cfm/ft2,25,ppl/1000 ft2,,,
Specialty Shops,Beauty,25,cfm/person,0,cfm/ft2,25,ppl/1000 ft2,,,
Specialty Shops,Reducing salons,15,cfm/person,0,cfm/ft2,20,ppl/1000 ft2,,,
