template,number_of_poles,type,synchronous_speed,minimum_capacity,maximum_capacity,nominal_full_load_efficiency,annotation
90.1-2004,4,Enclosed,1800,0,0.999,0.29,"Motors below 1 HP assumed to be PSC, with average typical efficiency of 29% per PNNL"
90.1-2004,4,Enclosed,1800,1,1.499,0.825,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,1.5,1.999,0.84,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,2,2.999,0.84,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,3,4.999,0.875,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,5,7.499,0.875,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,7.5,9.999,0.895,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,10,14.999,0.895,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,15,19.999,0.91,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,20,24.999,0.91,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,25,29.999,0.924,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,30,39.999,0.924,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,40,49.999,0.93,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,50,59.999,0.93,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,60,74.999,0.936,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,75,99.999,0.941,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,100,124.999,0.945,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,125,149.999,0.945,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,150,199.999,0.95,From 90.1-2004 Table 10.8
90.1-2004,4,Enclosed,1800,200,9999,0.95,From 90.1-2004 Table 10.8
90.1-2007,4,Enclosed,1800,0,0.999,0.29,"Motors below 1 HP assumed to be PSC, with average typical efficiency of 29% per PNNL"
90.1-2007,4,Enclosed,1800,1,1.499,0.825,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,1.5,1.999,0.84,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,2,2.999,0.84,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,3,4.999,0.875,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,5,7.499,0.875,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,7.5,9.999,0.895,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,10,14.999,0.895,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,15,19.999,0.91,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,20,24.999,0.91,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,25,29.999,0.924,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,30,39.999,0.924,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,40,49.999,0.93,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,50,59.999,0.93,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,60,74.999,0.936,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,75,99.999,0.941,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,100,124.999,0.945,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,125,149.999,0.945,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,150,199.999,0.95,From 90.1-2007 Table 10.8
90.1-2007,4,Enclosed,1800,200,9999,0.95,From 90.1-2007 Table 10.8
90.1-2010,4,Enclosed,1800,0,0.999,0.29,"Motors below 1 HP assumed to be PSC, with average typical efficiency of 29% per PNNL"
90.1-2010,4,Enclosed,1800,1,1.499,0.855,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,1.5,1.999,0.865,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,2,2.999,0.865,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,3,4.999,0.895,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,5,7.499,0.895,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,7.5,9.999,0.917,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,10,14.999,0.917,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,15,19.999,0.924,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,20,24.9999,0.93,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,25,29.999,0.936,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,30,39.999,0.936,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,40,49.999,0.941,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,50,59.999,0.945,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,60,74.999,0.95,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,75,99.999,0.954,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,100,124.999,0.954,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,125,149.999,0.954,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,150,199.999,0.958,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,200,249.999,0.962,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,250,299.999,0.962,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,300,349.999,0.962,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,350,399.999,0.962,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,400,449.999,0.962,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,450,499.999,0.962,From 90.1-2010 Table 10.8B
90.1-2010,4,Enclosed,1800,500,9999,0.962,From 90.1-2010 Table 10.8B
90.1-2013,4,Enclosed,1800,0,0.08333,0.29,"Motors below 1/12 HP assumed to be PSC, with average typical efficiency of 29% per PNNL"
90.1-2013,4,Enclosed,1800,0.08334,0.999,0.7,"Motors between 1/12 and 1 HP must be EC, with minimum efficiency of 70% per PNNL"
90.1-2013,4,Enclosed,1800,1,1.499,0.855,
90.1-2013,4,Enclosed,1800,1.5,1.999,0.865,
90.1-2013,4,Enclosed,1800,2,2.999,0.865,
90.1-2013,4,Enclosed,1800,3,4.999,0.895,
90.1-2013,4,Enclosed,1800,5,7.499,0.895,
90.1-2013,4,Enclosed,1800,7.5,9.999,0.917,
90.1-2013,4,Enclosed,1800,10,14.999,0.917,
90.1-2013,4,Enclosed,1800,15,19.999,0.924,
90.1-2013,4,Enclosed,1800,20,24.999,0.93,
90.1-2013,4,Enclosed,1800,25,29.999,0.936,
90.1-2013,4,Enclosed,1800,30,39.999,0.936,
90.1-2013,4,Enclosed,1800,40,49.999,0.941,
90.1-2013,4,Enclosed,1800,50,59.999,0.945,
90.1-2013,4,Enclosed,1800,60,74.999,0.95,
90.1-2013,4,Enclosed,1800,75,99.999,0.954,
90.1-2013,4,Enclosed,1800,100,124.999,0.954,
90.1-2013,4,Enclosed,1800,125,149.999,0.954,
90.1-2013,4,Enclosed,1800,150,199.999,0.958,
90.1-2013,4,Enclosed,1800,200,249.999,0.962,
90.1-2013,4,Enclosed,1800,250,299.999,0.95,
90.1-2013,4,Enclosed,1800,300,349.999,0.954,
90.1-2013,4,Enclosed,1800,350,399.999,0.954,
90.1-2013,4,Enclosed,1800,400,449.999,0.954,
90.1-2013,4,Enclosed,1800,450,499.999,0.954,
90.1-2013,4,Enclosed,1800,500,9999,0.954,
