lighting_space_type_name,level_3_lighting_code_definition_table,level_3_lighting_code_definition_id,lighting_technology_name,lighting_space_type_target_illuminance_setpoint
airport_concourse_lighting,level_3_lighting_90_1_2004,122,default,118
atrium_lighting,level_3_lighting_90_1_2004,36,default,178
none_lighting,level_3_lighting_90_1_2004,126,default,0
audience_seating_lighting,level_3_lighting_90_1_2004,46,default,118
baggage_carousel_lighting,level_3_lighting_90_1_2004,121,default,237
banking_lighting,level_3_lighting_90_1_2004,77,default,355
classroom_lecture_training_lighting,level_3_lighting_90_1_2004,48,default,471
computer_room_lighting,level_3_lighting_90_1_2004,48,default,710
conference_meeting_multipurpose_lighting,level_3_lighting_90_1_2004,49,default,355
confinement_cells_lighting,level_3_lighting_90_1_2004,79,default,296
copy_print_lighting,level_3_lighting_90_1_2004,49,default,178
corridor_lighting,level_3_lighting_90_1_2004,52,default,178
courtroom_lighting,level_3_lighting_90_1_2004,80,default,474
datacenterhighite_lighting,level_3_lighting_90_1_2004,60,default,118
datacenterlowite_lighting,level_3_lighting_90_1_2004,60,default,118
dining_lighting,level_3_lighting_90_1_2004,58,default,308
dressing_room_lighting,level_3_lighting_90_1_2004,59,default,237
electrical_mechanical_lighting,level_3_lighting_90_1_2004,60,default,118
emergency_room_lighting,level_3_lighting_90_1_2004,87,default,888
emergency_vehicle_garage_lighting,level_3_lighting_90_1_2004,83,default,355
exam_treatment_lighting,level_3_lighting_90_1_2004,88,default,592
exercise_area_lighting,level_3_lighting_90_1_2004,85,default,474
exhibit_lighting,level_3_lighting_90_1_2004,108,default,431
guest_room_lighting,level_3_lighting_90_1_2004,99,default,178
imaging_lighting,level_3_lighting_90_1_2004,97,default,355
interior_parking_lighting,level_3_lighting_90_1_2004,110,default,54
judges_chambers_lighting,level_3_lighting_90_1_2004,81,default,355
food_preparation_lighting,level_3_lighting_90_1_2004,61,default,538
laboratory_lighting,level_3_lighting_90_1_2004,64,default,592
laundry_washing_lighting,level_3_lighting_90_1_2004,89,default,355
library_lighting,level_3_lighting_90_1_2004,13,default,118
living_quarters_lighting,level_3_lighting_90_1_2004,82,default,178
loading_dock_lighting,level_3_lighting_90_1_2004,30,default,355
lobby_lighting,level_3_lighting_90_1_2004,68,default,296
locker_room_lighting,level_3_lighting_90_1_2004,59,default,237
lounge_breakroom_lighting,level_3_lighting_90_1_2004,70,default,178
manufacturing_lighting,level_3_lighting_90_1_2004,14,default,592
medical_supply_lighting,level_3_lighting_90_1_2004,90,default,355
multifamily_lighting,level_3_lighting_90_1_2004,17,default,178
nursery_lighting,level_3_lighting_90_1_2004,92,default,355
nurses_station_lighting,level_3_lighting_90_1_2004,91,default,355
office_lighting,level_3_lighting_90_1_2004,19,default,414
office_enclosed_lighting,level_3_lighting_90_1_2004,71,default,355
operating_room_lighting,level_3_lighting_90_1_2004,93,default,1184
patient_room_lighting,level_3_lighting_90_1_2004,94,default,355
pharmacy_lighting,level_3_lighting_90_1_2004,95,default,888
physical_therapy_lighting,level_3_lighting_90_1_2004,96,default,474
playing_area_lighting,level_3_lighting_90_1_2004,86,default,592
post_office_lighting,level_3_lighting_90_1_2004,24,default,237
recovery_lighting,level_3_lighting_90_1_2004,98,default,592
recreation_common_living_lighting,level_3_lighting_90_1_2004,70,default,323
restroom_lighting,level_3_lighting_90_1_2004,73,default,178
retail_sales_lighting,level_3_lighting_90_1_2004,117,default,474
sleeping_quarters_lighting,level_3_lighting_90_1_2004,84,default,59
sports_arena_lighting,level_3_lighting_90_1_2004,28,default,1184
stairwell_lighting,level_3_lighting_90_1_2004,74,default,118
storage_lighting,level_3_lighting_90_1_2004,34,default,118
transportation_lighting,level_3_lighting_90_1_2004,30,default,237
vehicular_maintenance_lighting,level_3_lighting_90_1_2004,76,default,355
workshop_lighting,level_3_lighting_90_1_2004,32,default,592
worship_lighting,level_3_lighting_90_1_2004,25,default,355
ba_automotive_facility_lighting,level_3_lighting_90_1_2004,1,default,355
ba_convention_center_lighting,level_3_lighting_90_1_2004,2,default,118
ba_courthouse_lighting,level_3_lighting_90_1_2004,3,default,474
ba_dining_bar_lounge_leisure_lighting,level_3_lighting_90_1_2004,4,default,118
ba_dining_cafeteria_fast_food_lighting,level_3_lighting_90_1_2004,5,default,237
