template,climate_zone,under_8000_hours,nontransient_dwelling,percent_oa_0_to_10,percent_oa_10_to_20,percent_oa_20_to_30,percent_oa_30_to_40,percent_oa_40_to_50,percent_oa_50_to_60,percent_oa_60_to_70,percent_oa_70_to_80,percent_oa_greater_than_80,enthalpy_recovery_ratio_design_conditions,enthalpy_recovery_ratio,annotation
90.1-2010,ASHRAE 169-2006-1A,,,,,,5500,4500,3500,2000,1000,0,,,
90.1-2010,ASHRAE 169-2006-1B,,,,,,,,26000,12000,5000,4000,,,
90.1-2010,ASHRAE 169-2006-2A,,,,,,5500,4500,3500,2000,1000,0,,,
90.1-2010,ASHRAE 169-2006-2B,,,,,,,,26000,12000,5000,4000,,,
90.1-2010,ASHRAE 169-2006-3A,,,,,,5500,4500,3500,2000,1000,0,,,
90.1-2010,ASHRAE 169-2006-3B,,,,,,,,,,5000,5000,,,
90.1-2010,ASHRAE 169-2006-3C,,,,,,,,,,5000,5000,,,
90.1-2010,ASHRAE 169-2006-4A,,,,,,5500,4500,3500,2000,1000,0,,,
90.1-2010,ASHRAE 169-2006-4B,,,,,,,,,,5000,5000,,,
90.1-2010,ASHRAE 169-2006-4C,,,,,,,,,,5000,5000,,,
90.1-2010,ASHRAE 169-2006-5A,,,,,,5500,4500,3500,2000,1000,0,,,
90.1-2010,ASHRAE 169-2006-5B,,,,,,,,,,5000,5000,,,
90.1-2010,ASHRAE 169-2006-5C,,,,,,,,26000,12000,5000,4000,,,
90.1-2010,ASHRAE 169-2006-6A,,,,,,5500,4500,3500,2000,1000,0,,,
90.1-2010,ASHRAE 169-2006-6B,,,,,,11000,5500,4500,3500,2500,1500,,,
90.1-2010,ASHRAE 169-2006-7A,,,,,,2500,1000,0,0,0,0,,,
90.1-2010,ASHRAE 169-2006-7B,,,,,,2500,1000,0,0,0,0,,,
90.1-2010,ASHRAE 169-2006-8A,,,,,,2500,1000,0,0,0,0,,,
90.1-2010,ASHRAE 169-2006-8B,,,,,,2500,1000,0,0,0,0,,,
90.1-2010,ASHRAE 169-2013-1A,,,,,,5500,4500,3500,2000,1000,0,,,
