template,minimum_capacity,maximum_capacity,start_date,end_date,minimum_coefficient_of_performance,annotation
90.1-2004,0,9999999,9/9/1919,9/9/2999,4.2,From 90.1-2004 Table 6.8.1B
90.1-2007,0,9999999,9/9/1919,9/9/2999,4.2,From 90.1-2007 Table 6.8.1B
90.1-2010,0,9999999,9/9/1919,9/9/2999,4.2,From 90.1-2010 Table 6.8.1B
90.1-2013,0,9999999,9/9/1919,9/9/2999,4.3,From 90.1-2013 Table 6.8.1-2
90.1-2016,0,9999999,9/9/1919,9/9/2999,4.3,From 90.1-2016 Table 6.8.1-2
90.1-2019,0,9999999,9/9/1919,9/9/2999,4.3,From 90.1-2016 Table 6.8.1-15
