template,cooling_type,heating_type,subcategory,minimum_capacity,maximum_capacity,start_date,end_date,minimum_seasonal_efficiency,minimum_energy_efficiency_ratio,minimum_integrated_part_load_value,minimum_integrated_energy_efficiency_ratio,ptac_eer_coefficient_1,ptac_eer_coefficient_2,minimum_scop,cool_cap_ft,cool_cap_fflow,cool_eir_ft,cool_eir_fflow,cool_plf_fplr,annotation
90.1-2004,AirCooled,All Other,PTAC,0,9999999,9/9/1919,9/9/2999,,,,,12.5,0.213,,PSZ-Fine Storage DX Coil Cap-FT,DX Coil Cap-FF,PSZ-AC DX Coil EIR-FT,Split DX Coil EIR-FF,HPACCOOLPLFFPLR,
90.1-2004,AirCooled,All Other,Single Package,0,64999,9/9/1919,9/9/2999,9.7,,,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Single Package,65000,134999,9/9/1919,9/9/2999,,10.1,,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Single Package,135000,239999,9/9/1919,9/9/2999,,9.5,,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Single Package,240000,759999,9/9/1919,9/9/2999,,9.3,9.5,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Single Package,760000,9999999,9/9/1919,9/9/2999,,9,9.2,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Split System,0,64999,9/9/1919,9/9/2999,10,,,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Split System,65000,134999,9/9/1919,9/9/2999,,10.1,,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Split System,135000,239999,9/9/1919,9/9/2999,,9.5,,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
90.1-2004,AirCooled,All Other,Split System,240000,759999,9/9/1919,9/9/2999,,9.3,9.5,,,,,CoilClgDXQRatio_fTwbToadbSI,CoilClgDXSnglQRatio_fCFMRatio,CoilClgDXEIRRatio_fTwbToadbSI,CoilClgDXSnglEIRRatio_fCFMRatio,CoilClgDXEIRRatio_fQFrac,
