template,cooling_type,heating_type,subcategory,minimum_capacity,maximum_capacity,start_date,end_date,minimum_seasonal_efficiency,minimum_full_load_efficiency,minimum_iplv,minimum_integrated_energy_efficiency_ratio,pthp_eer_coefficient_1,pthp_eer_coefficient_2,cool_cap_ft,cool_cap_fflow,cool_eir_ft,cool_eir_fflow,cool_plf_fplr,annotation
90.1-2004,AirCooled,Electric Resistance or None,PTHP,0,9999999,9/9/1919,9/9/2999,,,,,12.3,0.213,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1D
90.1-2004,AirCooled,All Other,PTHP,0,9999999,9/9/1919,9/9/2999,,,,,12.3,0.213,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1D
90.1-2007,AirCooled,Electric Resistance or None,PTHP,0,9999999,9/9/1919,9/9/2999,,,,,12.3,0.213,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2007 Table 6.8.1D
90.1-2007,AirCooled,All Other,PTHP,0,9999999,9/9/1919,9/9/2999,,,,,12.3,0.213,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2007 Table 6.8.1D
90.1-2010,AirCooled,Electric Resistance or None,PTHP,0,9999999,9/9/1919,9/9/2999,,,,,12.3,0.213,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2010 Table 6.8.1D Before 10/8/2012
90.1-2010,AirCooled,All Other,PTHP,0,9999999,9/9/1919,9/9/2999,,,,,12.3,0.213,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2010 Table 6.8.1D Before 10/8/2012
90.1-2013,AirCooled,Electric Resistance or None,PTHP,0,9999999,9/9/1919,12/31/2015,,,,,14,0.3,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2013 Table 6.8.1-4
90.1-2013,AirCooled,All Other,PTHP,0,9999999,9/9/1919,12/31/2015,,,,,14,0.3,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2013 Table 6.8.1-4
90.1-2013,AirCooled,Electric Resistance or None,PTHP,0,9999999,1/1/2016,9/9/2999,,,,,14,0.3,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2013 Table 6.8.1-4
90.1-2013,AirCooled,All Other,PTHP,0,9999999,1/1/2016,9/9/2999,,,,,14,0.3,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2013 Table 6.8.1-4
90.1-2004,AirCooled,Electric Resistance or None,Single Package,0,64999,9/9/1919,9/9/2999,9.7,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,AirCooled,All Other,Single Package,0,64999,9/9/1919,9/9/2999,9.7,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,ThroughWall,Electric Resistance or None,Single Package,0,29999,9/9/1919,9/9/2999,9.7,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,ThroughWall,All Other,Single Package,0,29999,9/9/1919,9/9/2999,9.7,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2004 Table 6.8.1B, Before 1/23/2006"
90.1-2004,AirCooled,Electric Resistance or None,Single Package,65000,134999,9/9/1919,9/9/2999,,10.1,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1B
90.1-2004,AirCooled,All Other,Single Package,65000,134999,9/9/1919,9/9/2999,,9.9,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1B
90.1-2004,AirCooled,Electric Resistance or None,Single Package,135000,239999,9/9/1919,9/9/2999,,9.3,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1B
90.1-2004,AirCooled,All Other,Single Package,135000,239999,9/9/1919,9/9/2999,,9.1,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1B
90.1-2004,AirCooled,Electric Resistance or None,Single Package,240000,9999999,9/9/1919,9/9/2999,,9,9.2,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1B
90.1-2004,AirCooled,All Other,Single Package,240000,9999999,9/9/1919,9/9/2999,,8.8,9,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2004 Table 6.8.1B
90.1-2007,AirCooled,Electric Resistance or None,Single Package,0,64999,9/9/1919,9/9/2999,13,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
90.1-2007,AirCooled,All Other,Single Package,0,64999,9/9/1919,9/9/2999,13,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
90.1-2007,ThroughWall,Electric Resistance or None,Single Package,0,29999,9/9/1919,9/9/2999,10.6,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
90.1-2007,ThroughWall,All Other,Single Package,0,29999,9/9/1919,9/9/2999,10.6,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, As of 1/23/2006"
90.1-2007,AirCooled,Electric Resistance or None,Single Package,65000,134999,9/9/1919,9/9/2999,,10.1,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2007,AirCooled,All Other,Single Package,65000,134999,9/9/1919,9/9/2999,,9.9,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2007,AirCooled,Electric Resistance or None,Single Package,135000,239999,9/9/1919,9/9/2999,,9.3,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2007,AirCooled,All Other,Single Package,135000,239999,9/9/1919,9/9/2999,,9.1,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2007,AirCooled,Electric Resistance or None,Single Package,240000,9999999,9/9/1919,9/9/2999,,9,9.2,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2007,AirCooled,All Other,Single Package,240000,9999999,9/9/1919,9/9/2999,,8.8,9,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,"From 90.1-2007 Table 6.8.1B, Before 1/1/2010"
90.1-2010,AirCooled,Electric Resistance or None,Single Package,0,64999,9/9/1919,9/9/2999,13,,,,,,HPACCoolCapFT,HPACCoolCapFFF,HPACCOOLEIRFT,HPACCOOLEIRFFF,HPACCOOLPLFFPLR,From 90.1-2010 Table 6.8.1B
