name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
U 1.22 SHGC 0.25 Sgl Elec Ref Colored 6mm,ExteriorWindow,Metal framing (all other),,,ECREF-1 COLORED 6MM,,,,,
U 1.22 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 1.22 SHGC 0.25 Simple Glazing,,,,,
U 1.22 SHGC 0.34 Sgl Ref-C-H Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF C CLEAR HI 6MM,,,,,
U 1.22 SHGC 0.39 Sgl Ref-B-H Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,,,,,
U 1.22 SHGC 0.54 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 1.22 SHGC 0.54 Simple Glazing,,,,,
U 1.22 SHGC 0.61 Sgl Green 6mm,ExteriorWindow,Metal framing (all other),,,GREEN 6MM,,,,,
U 1.98 SHGC 0.36 Sgl Ref-B-H Clr 6mm,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,,,,,
U 1.98 SHGC 0.61 Sgl Green 6mm,ExteriorWindow,Metal framing (all other),,,GREEN 6MM,,,,,
U0.47_SHGC_0.49_SimpleGlazing_Window_05,ExteriorWindow,,,,U0.47_SHGC_0.49_SimpleGlazing_Window_05,,,,,
U0.47_SHGC0.46_SimpleGlazing_Window_07,ExteriorWindow,,,,U0.47_SHGC0.46_SimpleGlazing_Window_07,,,,,
U0.47_SHGC0.47_SimpleGlazing_Window_06,ExteriorWindow,,,,U0.47_SHGC0.47_SimpleGlazing_Window_06,,,,,
U0.47_SHGC0.47_SimpleGlazing_Window_11,ExteriorWindow,,,,U0.47_SHGC0.47_SimpleGlazing_Window_11,,,,,
U0.47_SHGC0.5_SimpleGlazing_Window_03,ExteriorWindow,,,,U0.47_SHGC0.5_SimpleGlazing_Window_03,,,,,
U0.77_SHGC_0.77_SimpleGlazing_Window_02,ExteriorWindow,,,,U0.77_SHGC_0.77_SimpleGlazing_Window_02,,,,,
U0.77_SHGC0.5_SimpleGlazing_Window_09,ExteriorWindow,,,,U0.77_SHGC0.5_SimpleGlazing_Window_09,,,,,
U0.77_SHGC0.61_SimpleGlazing_Window_08,ExteriorWindow,,,,U0.77_SHGC0.61_SimpleGlazing_Window_08,,,,,
U0.77_SHGC0.62_SimpleGlazing_Window_04,ExteriorWindow,,,,U0.77_SHGC0.62_SimpleGlazing_Window_04,,,,,
U1.23_SHGC0.5_SimpleGlazing_Window_12,ExteriorWindow,,,,U1.23_SHGC0.5_SimpleGlazing_Window_12,,,,,
U1.23_SHGC0.82_SimpleGlazing_Window_01,ExteriorWindow,,,,U1.23_SHGC0.82_SimpleGlazing_Window_01,,,,,
U1.23_SHGC0.82_SimpleGlazing_Window_10,ExteriorWindow,,,,U1.23_SHGC0.82_SimpleGlazing_Window_10,,,,,
Adiabatic GroundContactFloor,GroundContactFloor,Mass,,,Adiabatic Material,,,,,
ext-slab,GroundContactFloor,Mass,,,6 in. Normalweight Concrete Floor,,,,,
ext-slab-mass,GroundContactFloor,Mass,CP02 CARPET PAD,,HW CONCRETE,CP02 CARPET PAD,,,,
ext-slab-metal-building,GroundContactFloor,Metal Building,,,HW CONCRETE 8 in,,,,,
ext-slab-steel-frame,GroundContactFloor,SteelFramed,CP02 CARPET PAD,,HW CONCRETE 8 in,CP02 CARPET PAD,,,,
Ground FloorGround_Floor_R11_T2013,GroundContactFloor,,,,Ground_Floor_R11_T2013,Plywood - 5/8 in. CBES,Carpet - 3/4 in. CBES,,,
Ground FloorGround_Floor_R17_T2013,GroundContactFloor,,,,Ground_Floor_R17_T2013,Plywood - 5/8 in. CBES,Carpet - 3/4 in. CBES,,,
Ground FloorGround_Floor_R22_T2013,GroundContactFloor,,,,Ground_Floor_R22_T2013,Plywood - 5/8 in. CBES,Carpet - 3/4 in. CBES,,,
Smallhotel 2010 Slab Floor,GroundContactFloor,Mass,Typical Insulation,,8 in. Normalweight Concrete Floor,CP02 CARPET PAD,,,,
Typical Carpeted 6in Slab Floor,GroundContactFloor,Mass,,,6 in. Normalweight Concrete Floor,Typical Carpet Pad,,,,
Typical Carpeted 8in Slab Floor,GroundContactFloor,Mass,,,8 in. Normalweight Concrete Floor,Typical Carpet Pad,,,,
Typical Insulated 6in Slab Floor,GroundContactFloor,Mass,Typical Insulation,,Typical Insulation,6 in. Normalweight Concrete Floor,,,,
Typical Insulated 8in Slab Floor,GroundContactFloor,Mass,Typical Insulation,,Typical Insulation,8 in. Normalweight Concrete Floor,,,,
Typical Insulated Carpeted 6in Slab Floor,GroundContactFloor,Mass,Typical Insulation,,Typical Insulation,6 in. Normalweight Concrete Floor,Typical Carpet Pad,,,
Typical Insulated Carpeted 8in Slab Floor,GroundContactFloor,Mass,Typical Insulation,,Typical Insulation,8 in. Normalweight Concrete Floor,Typical Carpet Pad,,,
Typical Uncarpeted 6in Slab Floor,GroundContactFloor,Mass,,,6 in. Normalweight Concrete Floor,,,,,
Typical Uninsulated 6in Slab Floor,GroundContactFloor,Mass,,,6 in. Normalweight Concrete Floor,,,,,
Typical Uninsulated 8in Slab Floor,GroundContactFloor,Mass,,,8 in. Normalweight Concrete Floor,,,,,
Typical Uninsulated Carpeted 8in Slab Floor,GroundContactFloor,Mass,,,8 in. Concrete Block Basement Wall,Typical Carpet Pad,,,,
Typical Unisulated Carpeted 6in Slab Floor,GroundContactFloor,Mass,,,6 in. Normalweight Concrete Floor,Typical Carpet Pad,,,,
Typical Insulated Basement Mass Wall,GroundContactWall,Mass,Typical Insulation,,Typical Insulation,8 in. Concrete Block Basement Wall,,,,
Typical Uninsulated Basement Mass Wall,GroundContactWall,Mass,,,8 in. Concrete Block Basement Wall,,,,,
ceiling_Metal roof,InteriorCeiling,,,,Metal Standing Seam - 1/16 in.,ceiling_2_Insulation,,,,
int_slab_ceiling_smallhotel,InteriorCeiling,,,,CP02 CARPET PAD,4 in. Normalweight Concrete Floor,,,,
LargeHotel Interior Ceiling,InteriorCeiling,,,,CP02 CARPET PAD,100mm Normalweight concrete floor,Nonres_Floor_Insulation,G01 13mm gypsum board,,
NACM_Drop Ceiling,InteriorCeiling,,,,Acoustic Ceiling,,,,,
Plenum Acoustical Tile,InteriorCeiling,,,,Acoustic Tile - 1/2 in.,,,,,
Typical Interior Ceiling,InteriorCeiling,,,,CP02 CARPET PAD,100mm Normalweight concrete floor,,,,
Typical Interior Door,InteriorDoor,,,,G05 25mm wood,,,,,
int_slab_floor_smallhotel,InteriorFloor,,,,4 in. Normalweight Concrete Floor,CP02 CARPET PAD,,,,
LargeHotel Interior Floor,InteriorFloor,,,,G01 13mm gypsum board,Nonres_Floor_Insulation,100mm Normalweight concrete floor,CP02 CARPET PAD,,
NACM_Interior Floor,InteriorFloor,,,,NACM_Carpet 3/4in,,,,,
Typical Interior Floor,InteriorFloor,,,,100mm Normalweight concrete floor,CP02 CARPET PAD,,,,
Typical Interior Slab Floor,InteriorFloor,Mass,,,4 in. Normalweight Concrete Floor,Typical Carpet Pad,,,,
Typical Interior Partition,InteriorPartition,,,,G05 25mm wood,,,,,
Uninsulated Steel Stud Wall,InteriorPartition,SteelFramed,,,Metal Framed Wall - 24inOC - 2x4 - R0 ins.,,,,,
int_wall_smallhotel,InteriorWall,,,,1/2 in. Gypsum Board,1/2 in. Gypsum Board,,,,
LargeHotel Interior Wall,InteriorWall,,,,G01 13mm gypsum board,G01 13mm gypsum board,,,,
NACM_Interior Wall,InteriorWall,,,,NACM_Gypsum Board 5/8in,NACM_Gypsum Board 5/8in,,,,
Typical Insulated Interior Wall,InteriorWall,WoodFramed,Typical Insulation,,25mm Stucco,5/8 in. Gypsum Board,Typical Insulation,Steel Frame/Cavity,5/8 in. Gypsum Board,
Typical Interior Wall,InteriorWall,,,,G01 13mm gypsum board,G01 13mm gypsum board,,,,
Typical Uninsulated Interior Wall,InteriorWall,WoodFramed,,,1/2 in. Gypsum Board,1/2 in. Gypsum Board,,,,
Typical Interior Window,InteriorWindow,,,,CLEAR 3MM,,,,,
U 0.58 SHGC 0.19 Simple Glazing Skylight,Skylight,Glass with Curb,,,U 0.58 SHGC 0.19 Simple Glazing,,,,,
U 0.58 SHGC 0.36 Simple Glazing Skylight,Skylight,Glass with Curb,,,U 0.58 SHGC 0.36 Simple Glazing,,,,,
U 1.98 SHGC 0.61 Simple Glazing Skylight,Skylight,Glass with Curb,,,U 1.98 SHGC 0.61 Simple Glazing,,,,,
Window_U_0.50_SHGC_0.40_Skylight_Frame_Width_0.000_in,Skylight,,,Skylight_Frame_Width_0.000_in,Glass_2052_LayerAvg,Gap_1_W_0_0038,Glass_2027F_LayerAvg,,,
Window_U_0.50_SHGC_0.40_Skylight_Frame_Width_0.334_in,Skylight,,,Skylight_Frame_Width_0.334_in,Glass_2052_LayerAvg,Gap_1_W_0_0038,Glass_2027F_LayerAvg,,,
Window_U_0.50_SHGC_0.40_Skylight_Frame_Width_0.430_in,Skylight,,,Skylight_Frame_Width_0.430_in,Glass_2052_LayerAvg,Gap_1_W_0_0038,Glass_2027F_LayerAvg,,,
Window_U_0.55_SHGC_0.35_Skylight_Frame_Width_0.709_in,Skylight,,,Skylight_Frame_Width_0.709_in,Glass_2052_LayerAvg,Gap_1_W_0_0038,Glass_2027F_LayerAvg,,,
Window_U_0.65_SHGC_0.35_Skylight_Frame_Width_2.339_in,Skylight,,,Skylight_Frame_Width_2.339_in,Glass_2052_LayerAvg,Gap_1_W_0_0024,Glass_2027F_LayerAvg,,,
Window_U_0.75_SHGC_0.35_Skylight_Frame_Width_2.339_in,Skylight,,,Skylight_Frame_Width_2.339_in,Glass_2052_LayerAvg,Gap_1_W_0_0018,Glass_2027F_LayerAvg,,,
U 0.60 SHGC 0.25 Dbl 2.5mm air,,,,,Glass_2175_LayerAvg,Gap_1_W_0_0025,Glass_2022F_LayerAvg,,,
U 0.61 SHGC 0.77 Simple Glazing Skylight,,,,,U 0.61 SHGC 0.77 Simple Glazing,,,,,
U 0.65 SHGC 0.35 Simple Glazing Skylight,,,,,U 0.65 SHGC 0.35 Simple Glazing,,,,,
U 0.69 SHGC 0.19 Simple Glazing Skylight,,,,,U 0.69 SHGC 0.19 Simple Glazing,,,,,
U 0.69 SHGC 0.36 Simple Glazing Skylight,,,,,U 0.69 SHGC 0.36 Simple Glazing,,,,,
U 0.69 SHGC 0.39 Simple Glazing Skylight,,,,,U 0.69 SHGC 0.39 Simple Glazing,,,,,
U 0.69 SHGC 0.49 Simple Glazing Skylight,,,,,U 0.69 SHGC 0.49 Simple Glazing,,,,,
U 0.69 SHGC 0.64 Simple Glazing Skylight,,,,,U 0.69 SHGC 0.64 Simple Glazing,,,,,
U 0.69 SHGC 0.68 Simple Glazing Skylight,,,,,U 0.69 SHGC 0.68 Simple Glazing,,,,,
U 0.74 SHGC 0.55 Simple Glazing Skylight,,,,,U 0.74 SHGC 0.55 Simple Glazing,,,,,
U 0.74 SHGC 0.65 Simple Glazing Skylight,,,,,U 0.74 SHGC 0.65 Simple Glazing,,,,,
U 0.75 SHGC 0.35 Simple Glazing Skylight,,,,,U 0.75 SHGC 0.35 Simple Glazing,,,,,
U 0.81 SHGC 0.65 Simple Glazing Skylight,,,,,U 0.81 SHGC 0.65 Simple Glazing,,,,,
U 0.85 SHGC 0.65 Simple Glazing Skylight,,,,,U 0.85 SHGC 0.65 Simple Glazing,,,,,
U 0.87 SHGC 0.58 Simple Glazing Skylight,,,,,U 0.87 SHGC 0.58 Simple Glazing,,,,,
U 0.87 SHGC 0.71 Simple Glazing Skylight,,,,,U 0.87 SHGC 0.71 Simple Glazing,,,,,
U 0.87 SHGC 0.77 Simple Glazing Skylight,,,,,U 0.87 SHGC 0.77 Simple Glazing,,,,,
U 0.98 SHGC 0.19 Simple Glazing Skylight,,,,,U 0.98 SHGC 0.19 Simple Glazing,,,,,
U 0.98 SHGC 0.36 Simple Glazing Skylight,,,,,U 0.98 SHGC 0.36 Simple Glazing,,,,,
U 1.10 SHGC 0.62 Simple Glazing Skylight,,,,,U 1.10 SHGC 0.62 Simple Glazing,,,,,
U 1.10 SHGC 0.77 Simple Glazing Skylight,,,,,U 1.10 SHGC 0.77 Simple Glazing,,,,,
U 1.15 SHGC 0.77 Simple Glazing Skylight,,,,,U 1.15 SHGC 0.77 Simple Glazing,,,,,
U 1.17 SHGC 0.19 Simple Glazing Skylight,,,,,U 1.17 SHGC 0.19 Simple Glazing,,,,,
U 1.17 SHGC 0.36 Simple Glazing Skylight,,,,,U 1.17 SHGC 0.36 Simple Glazing,,,,,
U 1.17 SHGC 0.39 Simple Glazing Skylight,,,,,U 1.17 SHGC 0.39 Simple Glazing,,,,,
U 1.17 SHGC 0.49 Simple Glazing Skylight,,,,,U 1.17 SHGC 0.49 Simple Glazing,,,,,
U 1.17 SHGC 0.64 Simple Glazing Skylight,,,,,U 1.17 SHGC 0.64 Simple Glazing,,,,,
U 1.17 SHGC 0.68 Simple Glazing Skylight,,,,,U 1.17 SHGC 0.68 Simple Glazing,,,,,
U 1.30 SHGC 0.27 Simple Glazing Skylight,,,,,U 1.30 SHGC 0.27 Simple Glazing,,,,,
U 1.30 SHGC 0.34 Simple Glazing Skylight,,,,,U 1.30 SHGC 0.34 Simple Glazing,,,,,
U 1.30 SHGC 0.62 Simple Glazing Skylight,,,,,U 1.30 SHGC 0.62 Simple Glazing,,,,,
U 1.30 SHGC 0.65 Simple Glazing Skylight,,,,,U 1.30 SHGC 0.65 Simple Glazing,,,,,
U 1.36 SHGC 0.19 Simple Glazing Skylight,,,,,U 1.36 SHGC 0.19 Simple Glazing,,,,,
U 1.36 SHGC 0.36 Simple Glazing Skylight,,,,,U 1.36 SHGC 0.36 Simple Glazing,,,,,
U 1.36 SHGC 0.39 Simple Glazing Skylight,,,,,U 1.36 SHGC 0.39 Simple Glazing,,,,,
U 1.36 SHGC 0.61 Simple Glazing Skylight,,,,,U 1.36 SHGC 0.61 Simple Glazing,,,,,
U 1.70 SHGC 0.36 Simple Glazing Skylight,,,,,U 1.70 SHGC 0.36 Simple Glazing,,,,,
U 1.80 SHGC 0.36 Simple Glazing Skylight,,,,,U 1.80 SHGC 0.36 Simple Glazing,,,,,
U 1.90 SHGC 0.27 Simple Glazing Skylight,,,,,U 1.90 SHGC 0.27 Simple Glazing,,,,,
U 1.90 SHGC 0.34 Simple Glazing Skylight,,,,,U 1.90 SHGC 0.34 Simple Glazing,,,,,
U 1.90 SHGC 0.39 Simple Glazing Skylight,,,,,U 1.90 SHGC 0.39 Simple Glazing,,,,,
U 1.90 SHGC 0.65 Simple Glazing Skylight,,,,,U 1.90 SHGC 0.65 Simple Glazing,,,,,
U 1.98 SHGC 0.16 Simple Glazing Skylight,,,,,U 1.98 SHGC 0.16 Simple Glazing,,,,,
U 1.98 SHGC 0.19 Simple Glazing Skylight,,,,,U 1.98 SHGC 0.19 Simple Glazing,,,,,
U 1.98 SHGC 0.36 Simple Glazing Skylight,,,,,U 1.98 SHGC 0.36 Simple Glazing,,,,,
U 1.98 SHGC 0.39 Simple Glazing Skylight,,,,,U 1.98 SHGC 0.39 Simple Glazing,,,,,
U 0.49 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.49 SHGC 0.22 Simple Glazing,,,,,
U 0.57 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.57 SHGC 0.25 Simple Glazing,,,,,
U 0.53 SHGC 0.25 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.53 SHGC 0.25 Simple Glazing,,,,,
U 0.48 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.48 SHGC 0.25 Simple Glazing,,,,,
U 0.38 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.38 SHGC 0.36 Simple Glazing,,,,,
U 0.38 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.38 SHGC 0.38 Simple Glazing,,,,,
U 0.36 SHGC 0.4 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.36 SHGC 0.4 Simple Glazing,,,,,
U 0.33 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.33 SHGC 0.45 Simple Glazing,,,,,
U 0.29 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.29 SHGC 0.45 Simple Glazing,,,,,
U 0.5 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.5 SHGC 0.22 Simple Glazing,,,,,
U 0.54 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.54 SHGC 0.25 Simple Glazing,,,,,
U 0.49 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.49 SHGC 0.25 Simple Glazing,,,,,
U 0.45 SHGC 0.25 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.45 SHGC 0.25 Simple Glazing,,,,,
U 1.19 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 1.19 SHGC 0.45 Simple Glazing,,,,,
U 0.73 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.73 SHGC 0.45 Simple Glazing,,,,,
U 0.62 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.62 SHGC 0.45 Simple Glazing,,,,,
U 0.51 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.51 SHGC 0.45 Simple Glazing,,,,,
U 0.38 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.38 SHGC 0.45 Simple Glazing,,,,,
U 0.53 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.53 SHGC 0.22 Simple Glazing,,,,,
U 0.53 SHGC 0.23 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.53 SHGC 0.23 Simple Glazing,,,,,
U 0.38 SHGC 0.35 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.38 SHGC 0.35 Simple Glazing,,,,,
U 0.38 SHGC 0.37 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.38 SHGC 0.37 Simple Glazing,,,,,
U 0.36 SHGC 0.37 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.36 SHGC 0.37 Simple Glazing,,,,,
U 0.31 SHGC 0.39 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.31 SHGC 0.39 Simple Glazing,,,,,
U 0.28 SHGC 0.39 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.28 SHGC 0.39 Simple Glazing,,,,,
U 0.51 SHGC 0.22 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.51 SHGC 0.22 Simple Glazing,,,,,
U 0.51 SHGC 0.23 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.51 SHGC 0.23 Simple Glazing,,,,,
U 0.46 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.46 SHGC 0.25 Simple Glazing,,,,,
U 0.43 SHGC 0.25 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.43 SHGC 0.25 Simple Glazing,,,,,
U 0.36 SHGC 0.36 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.36 SHGC 0.36 Simple Glazing,,,,,
U 0.36 SHGC 0.38 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.36 SHGC 0.38 Simple Glazing,,,,,
U 0.34 SHGC 0.38 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.34 SHGC 0.38 Simple Glazing,,,,,
U 0.29 SHGC 0.4 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.29 SHGC 0.4 Simple Glazing,,,,,
U 0.26 SHGC 0.4 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.26 SHGC 0.4 Simple Glazing,,,,,
U 0.37 SHGC 0.36 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.37 SHGC 0.36 Simple Glazing,,,,,
U 0.37 SHGC 0.38 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.37 SHGC 0.38 Simple Glazing,,,,,
U 0.35 SHGC 0.38 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.35 SHGC 0.38 Simple Glazing,,,,,
U 0.3 SHGC 0.4 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.3 SHGC 0.4 Simple Glazing,,,,,
U 0.27 SHGC 0.4 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.27 SHGC 0.4 Simple Glazing,,,,,
U 0.5 SHGC 0.23 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.5 SHGC 0.23 Simple Glazing,,,,,
U 0.42 SHGC 0.25 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.42 SHGC 0.25 Simple Glazing,,,,,
U 0.47 SHGC 0.25 Simple Glazing Window Weighted,ExteriorWindow,Weighted,,,U 0.47 SHGC 0.25 Simple Glazing,,,,,
U 1.2 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 1.2 SHGC 0.45 Simple Glazing,,,,,
U 0.5 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.5 SHGC 0.45 Simple Glazing,,,,,
U 0.39 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.39 SHGC 0.45 Simple Glazing,,,,,
U 0.36 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.36 SHGC 0.45 Simple Glazing,,,,,
U 0.75 SHGC 0.35 Simple Glazing Window,Skylight,Weighted,,,U 0.75 SHGC 0.35 Simple Glazing Window,,,,,
U 0.65 SHGC 0.35 Simple Glazing Window,Skylight,Weighted,,,U 0.65 SHGC 0.35 Simple Glazing Window,,,,,
U 0.55 SHGC 0.35 Simple Glazing Window,Skylight,Weighted,,,U 0.55 SHGC 0.35 Simple Glazing,,,,,
U 0.5 SHGC 0.4 Simple Glazing Window,Skylight,Weighted,,,U 0.5 SHGC 0.4 Simple Glazing,,,,,
U 0.5 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 0.5 SHGC 0.55 Simple Glazing,,,,,
U 0.41 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 0.41 SHGC 0.55 Simple Glazing,,,,,
U 1.8 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 1.8 SHGC 0.55 Simple Glazing,,,,,
U 1.7 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 1.7 SHGC 0.55 Simple Glazing,,,,,
U 1.15 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 1.15 SHGC 0.55 Simple Glazing,,,,,
U 0.98 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 0.98 SHGC 0.55 Simple Glazing,,,,,
U 0.85 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 0.85 SHGC 0.55 Simple Glazing,,,,,
U 0.7 SHGC 0.3 Simple Glazing Window,Skylight,Weighted,,,U 0.7 SHGC 0.3 Simple Glazing,,,,,
U 0.65 SHGC 0.3 Simple Glazing Window,Skylight,Weighted,,,U 0.65 SHGC 0.3 Simple Glazing,,,,,
U 0.55 SHGC 0.3 Simple Glazing Window,Skylight,Weighted,,,U 0.55 SHGC 0.3 Simple Glazing,,,,,
U 0.47 SHGC 0.4 Simple Glazing Window,Skylight,Weighted,,,U 0.47 SHGC 0.4 Simple Glazing,,,,,
U 0.44 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 0.44 SHGC 0.55 Simple Glazing,,,,,
U 0.9 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 0.9 SHGC 0.55 Simple Glazing,,,,,
U 0.75 SHGC 0.55 Simple Glazing Window,Skylight,Weighted,,,U 0.75 SHGC 0.55 Simple Glazing,,,,,
U 0.37 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.37 SHGC 0.25 Simple Glazing,,,,,
U 0.83 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.83 SHGC 0.25 Simple Glazing,,,,,
U 0.77 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.77 SHGC 0.25 Simple Glazing,,,,,
U 0.93 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.93 SHGC 0.45 Simple Glazing,,,,,
U 0.83 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.83 SHGC 0.45 Simple Glazing,,,,,
U 0.65 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 0.65 SHGC 0.55 Simple Glazing,,,,,
U 1.8 SHGC 0.77 Simple Glazing Skylight,Skylight,Weighted,,,U 1.8 SHGC 0.77 Simple Glazing,,,,,
U 0.65 SHGC 0.77 Simple Glazing Skylight,Skylight,Weighted,,,U 0.65 SHGC 0.77 Simple Glazing,,,,,
U 1.8 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 1.8 SHGC 0.55 Simple Glazing,,,,,
U 0.65 SHGC 0.68 Simple Glazing Skylight,Skylight,Weighted,,,U 0.65 SHGC 0.68 Simple Glazing,,,,,
U 1.8 SHGC 0.64 Simple Glazing Skylight,Skylight,Weighted,,,U 1.8 SHGC 0.64 Simple Glazing,,,,,
U 0.33 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.33 SHGC 0.25 Simple Glazing,,,,,
U 0.68 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.68 SHGC 0.25 Simple Glazing,,,,,
U 0.87 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.87 SHGC 0.45 Simple Glazing,,,,,
U 0.77 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.77 SHGC 0.45 Simple Glazing,,,,,
U 0.55 SHGC 0.64 Simple Glazing Skylight,Skylight,Weighted,,,U 0.55 SHGC 0.64 Simple Glazing,,,,,
U 0.55 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 0.55 SHGC 0.55 Simple Glazing,,,,,
U 1.7 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 1.7 SHGC 0.55 Simple Glazing,,,,,
U 0.31 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.31 SHGC 0.36 Simple Glazing,,,,,
U 0.68 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.68 SHGC 0.36 Simple Glazing,,,,,
U 0.5 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 0.5 SHGC 0.55 Simple Glazing,,,,,
U 1.15 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 1.15 SHGC 0.55 Simple Glazing,,,,,
U 0.31 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.31 SHGC 0.38 Simple Glazing,,,,,
U 0.68 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.68 SHGC 0.38 Simple Glazing,,,,,
U 0.45 SHGC 0.45 Simple Glazing Window,ExteriorWindow,Weighted,,,U 0.45 SHGC 0.45 Simple Glazing,,,,,
U 0.5 SHGC 0.36 Simple Glazing Skylight,Skylight,Weighted,,,U 0.5 SHGC 0.36 Simple Glazing,,,,,
U 0.5 SHGC 0.19 Simple Glazing Skylight,Skylight,Weighted,,,U 0.5 SHGC 0.19 Simple Glazing,,,,,
U 0.98 SHGC 0.55 Simple Glazing Skylight,Skylight,Weighted,,,U 0.98 SHGC 0.55 Simple Glazing,,,,,
