name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
Typical Insulated Metal Building Wall,ExteriorWall,Metal Building,Typical Insulation,,Metal Siding,Typical Insulation,1/2IN Gypsum,,,
Typical Insulated Steel Framed Exterior Wall,ExteriorWall,SteelFramed,Typical Insulation,,25mm Stucco,5/8 in. Gypsum Board,Typical Insulation,5/8 in. Gypsum Board,,
Typical Insulated Wood Framed Exterior Wall,ExteriorWall,WoodFramed,Typical Insulation,,25mm Stucco,5/8 in. Gypsum Board,Typical Insulation,5/8 in. Gypsum Board,,
Typical Uninsulated Exterior Mass Wall,ExteriorWall,Mass,,,1IN Stucco,8IN CONCRETE HW RefBldg,1/2IN Gypsum,,,
Typical Uninsulated Metal Building Wall,ExteriorWall,Metal Building,,,Metal Siding,1/2IN Gypsum,,,,
Typical Uninsulated Steel Framed Exterior Wall,ExteriorWall,SteelFramed,,,Wood Siding,1/2IN Gypsum,,,,
WoodWallU110,ExteriorWall,,,,Plywood - 5/8 in.,Compliance Insulation R6.46,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 3/8 in.,,
ASHRAE 189.1-2009 ExtWindow ClimateZone 1,ExteriorWindow,,,,Theoretical Glass [167],,,,,
ASHRAE 189.1-2009 ExtWindow ClimateZone 2,ExteriorWindow,,,,Theoretical Glass [197],,,,,
ASHRAE 189.1-2009 ExtWindow ClimateZone 3,ExteriorWindow,,,,Theoretical Glass [202],,,,,
ASHRAE 189.1-2009 ExtWindow ClimateZone 4-5,ExteriorWindow,,,,Theoretical Glass [207],,,,,
ASHRAE 189.1-2009 ExtWindow ClimateZone 6,ExteriorWindow,,,,Theoretical Glass [216],,,,,
ASHRAE 189.1-2009 ExtWindow ClimateZone 7-8,ExteriorWindow,,,,Theoretical Glass [221],,,,,
ASHRAE 189.1-2009 ExtWindow ClimateZone alt-res 4-5,ExteriorWindow,,,,Theoretical Glass [216],,,,,
U 0.11 SHGC 0.34 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.11 SHGC 0.34 Simple Glazing,,,,,
U 0.11 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.11 SHGC 0.38 Simple Glazing,,,,,
U 0.12 SHGC 0.34 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.12 SHGC 0.34 Simple Glazing,,,,,
U 0.12 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.12 SHGC 0.38 Simple Glazing,,,,,
U 0.13 SHGC 0.32 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.13 SHGC 0.32 Simple Glazing,,,,,
U 0.13 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.13 SHGC 0.38 Simple Glazing,,,,,
U 0.14 SHGC 0.31 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.14 SHGC 0.31 Simple Glazing,,,,,
U 0.14 SHGC 0.34 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.14 SHGC 0.34 Simple Glazing,,,,,
U 0.14 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.14 SHGC 0.36 Simple Glazing,,,,,
U 0.14 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.14 SHGC 0.38 Simple Glazing,,,,,
U 0.15 SHGC 0.31 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.15 SHGC 0.31 Simple Glazing,,,,,
U 0.15 SHGC 0.34 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.15 SHGC 0.34 Simple Glazing,,,,,
U 0.17 SHGC 0.31 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.17 SHGC 0.31 Simple Glazing,,,,,
U 0.17 SHGC 0.32 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.17 SHGC 0.32 Simple Glazing,,,,,
U 0.17 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.17 SHGC 0.36 Simple Glazing,,,,,
U 0.18 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.18 SHGC 0.22 Simple Glazing,,,,,
U 0.18 SHGC 0.24 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.18 SHGC 0.24 Simple Glazing,,,,,
U 0.19 SHGC 0.20 Trp LoE Film (55) Bronze 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,BRONZE 6MM,AIR 13MM,COATED POLY-55,AIR 13MM,CLEAR 3MM,
U 0.20 SHGC 0.19 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.20 SHGC 0.19 Simple Glazing,,,,,
U 0.20 SHGC 0.20 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.20 SHGC 0.20 Simple Glazing,,,,,
U 0.20 SHGC 0.21 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.20 SHGC 0.21 Simple Glazing,,,,,
U 0.20 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.20 SHGC 0.22 Simple Glazing,,,,,
U 0.23 SHGC 0.31 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.23 SHGC 0.31 Simple Glazing,,,,,
U 0.23 SHGC 0.34 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.23 SHGC 0.34 Simple Glazing,,,,,
