template,lighting_standard,lighting_standard_table,ventilation_standard,ventilation_standard_table
90.1-2019,ASHRAE 90.1-2019,level_3_lighting_90_1_2019,ASHRAE 62.1-2019,level_3_ventilation_90_1_2019
90.1-2004,ASHRAE 90.1-2004,level_3_lighting_90_1_2004,ASHRAE 62.1-2004,level_3_ventilation_90_1_2004
