name,category,form,dependent_variable,independent_variable_1,independent_variable_2,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,minimum_independent_variable_1,maximum_independent_variable_1,minimum_independent_variable_2,maximum_independent_variable_2,minimum_dependent_variable_output,maximum_dependent_variable_output,annotation
a-Si_Spectral-fAirMass,PV-Module,Cubic,,AirMass,,0.99264449,0.05334853,-0.0372019,0.00327026,,,,,,,,,,,,,From .dat files included with MASControl2
Absor-1-Cap-fCHWT&ECT,1-StageAbsorptn,BiQuadratic,QRatio,CHWT,ECT,1.757428,0.054774,-0.00290628,-0.035145,-0.000156,0.000894,,,,,4.44444,18.33333,12.77778,46.11111,,,From .dat files included with MASControl2
Absor-1-HIR-fCHWT&ECT,1-StageAbsorptn,BiQuadratic,,CHWT,ECT,0.691153,0,0,0.005355,0.000178,0,,,,,4.44444,18.33333,12.77778,46.11111,,,From .dat files included with MASControl2
Absor-1-HIR-fPLR,1-StageAbsorptn,Quadratic,,PLR,,0.087773,0.744921,0.167306,,,,,,,,0,1.05,,,,,From .dat files included with MASControl2
Absor-2-Cap-fCHWT&ECT,2-StageAbsorptn,BiQuadratic,QRatio,CHWT,ECT,0.362073,0.0001386,0.001458,0.0733878,-0.00206064,0.00101,,,,,4.44444,18.33333,12.77778,46.11111,,,From .dat files included with MASControl2
Absor-2-HIR-fCHWT&ECT,2-StageAbsorptn,BiQuadratic,,CHWT,ECT,0.98675,0,0,-0.0234,0.00081,0,,,,,4.44444,18.33333,12.77778,46.11111,,,From .dat files included with MASControl2
Absor-2-HIR-fPLR,2-StageAbsorptn,Quadratic,,PLR,,0.1355115,0.61798084,0.24651277,,,,,,,,0,1.05,,,,,From .dat files included with MASControl2
AHU-1_CoolCStandard10Ton_CapFF,DX Cooling Coil,Quadratic,QRatio,FlowRatio,,0.77136,0.34053,-0.11088,,,,,,,,0.75918,1.13877,,,,,"From PNNL Prototype Buildings OutPatientHealtCare, RestaurantFastFood, RestaurantSitDown, SchoolPrimary, SchoolSecondary"
AirCooled_Chiller_2004_CAPFT,Electric Chiller,BiQuadratic,QRatio,Tchws,Toadb,1.0433811,0.0407077,0.0004506,-0.0041514,-8.86e-05,-0.0003467,,,,,5,10,12.7,51.67,,,"Based on Dick Lord's study dated January 17, 2010."
AirCooled_Chiller_2004_EIRFT,Electric Chiller,BiQuadratic,EIRRatio,Tchws,Toadb,0.5961915,-0.0099496,0.0007888,0.0004506,0.0004875,-0.0007623,,,,,5,10,12.7,51.67,,,"Based on Dick Lord's study dated January 17, 2010."
AirCooled_Chiller_2010_PathA_CAPFT,Electric Chiller,BiQuadratic,QRatio,Tchws,Toadb,1.0433825,0.0407073,0.0004506,-0.0041514,-8.86e-05,-0.0003467,,,,,5,10,12.7,51.67,,,"Based on Dick Lord's study dated January 17, 2010."
AirCooled_Chiller_2010_PathA_EIRFT,Electric Chiller,BiQuadratic,EIRRatio,Tchws,Toadb,0.5961915,-0.0099496,0.0007888,0.0004506,0.0004875,-0.0007623,,,,,5,10,12.7,51.67,,,"Based on Dick Lord's study dated January 17, 2010."
AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.141,0.655,0.203,,,,,,,,0,1,,,,,"Based on Dick Lord's study dated January 17, 2010.  EIRFPLR curve is identical for all AirCooled Chillers"
AirCooled_Chiller_GT150_2004_EIRFPLR,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.141,0.655,0.203,,,,,,,,0,1,,,,,"Based on Dick Lord's study dated January 17, 2010."
AirCooled_Chiller_GT150_2010_PathA_EIRFPLR,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.141,0.655,0.203,,,,,,,,0,1,,,,,"Based on Dick Lord's study dated January 17, 2010."
AirCooled_Chiller_LT150_2004_EIRFPLR,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.141,0.655,0.203,,,,,,,,0,1,,,,,"Based on Dick Lord's study dated January 17, 2010."
AirCooled_Chiller_LT150_2010_PathA_EIRFPLR,Electric Chiller,Quadratic,EIRRatio,QRatio,,0.141,0.655,0.203,,,,,,,,0,1,,,,,"Based on Dick Lord's study dated January 17, 2010."
AirFoil w Dischrg Dampers FPLR,FanEIR-FPLR,Quadratic,,PLR,,0.227143,1.178929,-0.410714,,,,,,,,,,,,0.68,1,From .dat files included with MASControl2
AirFoil w Inlet Vanes FPLR,FanEIR-FPLR,Quadratic,,PLR,,0.584345,-0.579167,0.970238,,,,,,,,,,,,0.48,1,From .dat files included with MASControl2
Atmospheric-Blr-HIR-fPLR,FuelBoilers,Quadratic,,PLR,,0.02699999,1.10549998,-0.13249961,,,,,,,,,,,,,,From .dat files included with MASControl2
Boiler Constant Efficiency Curve,Boiler,Cubic,FIRRatio,QRatio,,1,0,0,0,,,,,,,0,1,,,,,From DOE Reference Building
Boiler with Minimum Turndown,Boiler,Cubic,FIRRatio,QRatio,,0.7791,1.4745,-2.5795,1.3467,,,,,,,0,1.3,,,,,From Regression of Prototype Building EMS
Boiler with No Minimum Turndown,Boiler,Cubic,FIRRatio,QRatio,,0.7463,1.3196,-2.2154,1.1674,,,,,,,0,1.3,,,,,From Regression of Prototype Building EMS
BOILER-EFFFPLR-NECB2011,Boiler,Cubic,FIRRatio,QRatio,,0.2901,2.6664,-3.764,1.82,,,,,,,0,1,,,,,From NECB 2011
CdTe_Spectral-fAirMass,PV-Module,Cubic,,AirMass,,0.93700588,0.05130703,-0.00646639,0.00017267,,,,,,,,,,,,,From .dat files included with MASControl2
