ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_rate_occupant,ventilation_rate_occupant_unit,ventilation_rate_area,ventilation_rate_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
Correctional Facilities,Cell,5,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
Correctional Facilities,Day room,5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,,
Correctional Facilities,Guard stations,5,cfm/person,0.06,cfm/ft2,15,ppl/1000 ft2,1,,
Correctional Facilities,Booking/waiting,7.5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,2,,
Educational Facilities,Daycare (through age 4),10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
Educational Facilities,Classrooms (ages 5-8),10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
Educational Facilities,Classrooms (age 9 plus),10,cfm/person,0.12,cfm/ft2,35,ppl/1000 ft2,1,,
Educational Facilities,Lecture classroom,7.5,cfm/person,0.06,cfm/ft2,65,ppl/1000 ft2,1,,
Educational Facilities,Lecture hall (fixed seats),7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
Educational Facilities,Art classroom,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
Educational Facilities,Science laboratories,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,,,
Educational Facilities,Wood/metal shop,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
Educational Facilities,Computer lab,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
Educational Facilities,Media center,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
Educational Facilities,Music/theater/dance,10,cfm/person,0.06,cfm/ft2,35,ppl/1000 ft2,1,,
Educational Facilities,Multi-use assembly,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,,
Food and Beverage Service,Restaurant dining rooms,7.5,cfm/person,0.18,cfm/ft2,70,ppl/1000 ft2,2,,
Food and Beverage Service,Cafeteria/fast food dining,7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
Food and Beverage Service,"Bars, cocktail lounges",7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
General,Conference/meeting,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,,
General,Corridors,,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,1,,
General,Storage rooms,,cfm/person,0.12,cfm/ft2,,ppl/1000 ft2,1,,
"Hotels, Motels, Resorts, Dormitories",Bedroom/living Room,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,,
"Hotels, Motels, Resorts, Dormitories",Barracks sleeping areas,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
"Hotels, Motels, Resorts, Dormitories",Lobbies/prefunction,7.5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,,
"Hotels, Motels, Resorts, Dormitories",Multi-purpose assembly,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,,
Office Buildings,Office space,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,,
Office Buildings,Reception areas,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
Office Buildings,Telephone/data entry,5,cfm/person,0.06,cfm/ft2,60,ppl/1000 ft2,1,,
Office Buildings,Main entry lobbies,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,,
Miscellaneous Spaces,Bank vaults/safe deposit,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,2,,
Miscellaneous Spaces,Computer (not printing),5,cfm/person,0.06,cfm/ft2,4,ppl/1000 ft2,1,,
Miscellaneous Spaces,Pharmacy (prep. area),5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
Miscellaneous Spaces,Photo studios,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
Miscellaneous Spaces,Shipping/receiving,,cfm/person,0.12,cfm/ft2,,ppl/1000 ft2,1,,
Miscellaneous Spaces,Transportation waiting,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,,
Miscellaneous Spaces,Warehouses,,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,2,,
Public Assembly Spaces,Auditorium seating area,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
Public Assembly Spaces,Places of religious workshop,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,,
Public Assembly Spaces,Courtrooms,5,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,,
Public Assembly Spaces,Legislative chambers,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,,
Public Assembly Spaces,Libraries,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
Public Assembly Spaces,Lobbies,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
Public Assembly Spaces,Museums (children's),7.5,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
Public Assembly Spaces,Museums/galleries,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,,
Retail,Sales (except as below),7.5,cfm/person,0.12,cfm/ft2,15,ppl/1000 ft2,2,,
Retail,Mall common areas,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,,
Retail,Barber shop,7.5,cfm/person,0.06,cfm/ft2,25,ppl/1000 ft2,2,,
Retail,Beauty and nail salons,20,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
Retail,Pet shops (animal areas),7.5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
Retail,Supermarket,7.5,cfm/person,0.06,cfm/ft2,8,ppl/1000 ft2,1,,
Retail,Coin-operated laundries,7.5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,2,,
Sports and Entertainment,Sports arena (play area),,cfm/person,0.3,cfm/ft2,,ppl/1000 ft2,1,,
Sports and Entertainment,"Gym, stadium (play area)",,cfm/person,0.3,cfm/ft2,30,ppl/1000 ft2,2,,
Sports and Entertainment,Spectator areas,7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
Sports and Entertainment,Swimming (pool & deck),,cfm/person,0.48,cfm/ft2,,ppl/1000 ft2,2,,
Sports and Entertainment,Disco/dance floors,20,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,,
Sports and Entertainment,Health club/aerobics room,20,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,2,,
Sports and Entertainment,Health club/weight rooms,20,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,2,,
Sports and Entertainment,Bowling alley (seating),10,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
Sports and Entertainment,Gambling casinos,7.5,cfm/person,0.18,cfm/ft2,120,ppl/1000 ft2,1,,
Sports and Entertainment,Game arcades,7.5,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
Sports and Entertainment,"Stages, studios",10,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,,
None,None,0,cfm/person,0,cfm/ft2,0,ppl/1000 ft2,,,
