name,material_type,roughness,thickness,conductivity,resistance,density,specific_heat,thermal_absorptance,solar_absorptance,visible_absorptance,gas_type,u_factor,solar_heat_gain_coefficient,visible_transmittance,optical_data_type,solar_transmittance_at_normal_incidence,front_side_solar_reflectance_at_normal_incidence,back_side_solar_reflectance_at_normal_incidence,visible_transmittance_at_normal_incidence,front_side_visible_reflectance_at_normal_incidence,back_side_visible_reflectance_at_normal_incidence,infrared_transmittance_at_normal_incidence,front_side_infrared_hemispherical_emissivity,back_side_infrared_hemispherical_emissivity,dirt_correction_factor_for_solar_and_visible_transmittance,solar_diffusing,frame_width,annotation
1 Coat Stucco,StandardOpaqueMaterial,MediumRough,0.38,5.0004,0.07599392,115.81,0.2,,,,,,,,,,,,,,,,,,,,,
1/2 in. Gypsum Board,StandardOpaqueMaterial,Smooth,0.5,1.109355488,0.450712153,49.94236846,0.260342027,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,
1/2IN Gypsum,StandardOpaqueMaterial,Smooth,0.5,1.109355488,0.450712153,48.99970626,0.198242094,0.9,0.4,0.4,,,,,,,,,,,,,,,,,,
10 PSF Roof - 1 in.,StandardOpaqueMaterial,VeryRough,1,12.0048,0.083300013,120,0.2,,,,,,,,,,,,,,,,,,,,,
100mm Normalweight concrete floor,StandardOpaqueMaterial,MediumRough,4,16.0194175,0.249696969,144.957816,0.198852772,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
12 in. Normalweight Concrete Floor,StandardOpaqueMaterial,MediumRough,12,16.01631985,0.749235786,144.9577245,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
15 PSF Roof - 1 1/2 in.,StandardOpaqueMaterial,VeryRough,1.5,18.0072,0.083300013,120,0.2,,,,,,,,,,,,,,,,,,,,,
1IN Stucco,StandardOpaqueMaterial,Smooth,0.996062992,4.79657579,0.207661264,115.9911508,0.199914015,0.9,0.7,0.92,,,,,,,,,,,,,,,,,,
25 PSF Roof - 2 1/2 in.,StandardOpaqueMaterial,VeryRough,2.5,30.012,0.083300013,120,0.2,,,,,,,,,,,,,,,,,,,,,
25mm Stucco,StandardOpaqueMaterial,Smooth,1,4.992099695,0.200316512,115.8662948,0.200630553,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
3 Coat Stucco,StandardOpaqueMaterial,MediumRough,0.88,4.3752,0.201133662,116,0.2,,,,,,,,,,,,,,,,,,,,,
4 in. Normalweight Concrete Floor,StandardOpaqueMaterial,MediumRough,4,16.01631985,0.249745262,144.9577245,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
4 in. Normalweight Concrete Wall,StandardOpaqueMaterial,MediumRough,4,16.01631985,0.249745262,144.9577245,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
5 PSF Roof - 1/2 in.,StandardOpaqueMaterial,VeryRough,0.5,6.0024,0.083300013,120,0.2,,,,,,,,,,,,,,,,,,,,,
5/8 in. Gypsum Board,StandardOpaqueMaterial,MediumSmooth,0.625984252,1.109355488,0.56427742,49.94236846,0.260342027,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
5/8 in. Plywood,StandardOpaqueMaterial,Smooth,0.625984252,0.832016616,0.752369893,33.96081055,0.289003535,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
6 in. Heavyweight Concrete Roof,StandardOpaqueMaterial,MediumRough,6,16.01631985,0.374617893,144.9577245,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
6 in. Normalweight Concrete Floor,StandardOpaqueMaterial,MediumRough,6,16.01631985,0.374617893,144.9577245,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
8 in. Concrete Block Basement Wall,StandardOpaqueMaterial,MediumRough,8,9.193783605,0.870153176,114.9923034,0.217827458,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
8 in. Concrete Block Wall,StandardOpaqueMaterial,MediumRough,8,4.992099695,1.602532098,49.94236846,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
8 in. Normalweight Concrete Floor,StandardOpaqueMaterial,MediumRough,8,16.01631985,0.499490524,144.9577245,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
8 in. Normalweight Concrete Wall,StandardOpaqueMaterial,MediumRough,8,16.01631985,0.499490524,144.9577245,0.198719786,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
8IN Concrete HW,StandardOpaqueMaterial,MediumRough,8.003937008,11.99213282,0.667432318,140.0259156,0.199914015,0.9,0.65,0.65,,,,,,,,,,,,,,,,,,
8IN CONCRETE HW RefBldg,StandardOpaqueMaterial,Rough,8,9.089781528,0.880109162,139.8386317,0.199866246,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,
Acoustic Ceiling,StandardOpaqueMaterial,MediumSmooth,0.5,0.395207893,1.26515692,17.97925265,0.319814656,0.9,0.7,0.2,,,,,,,,,,,,,,,,,,
Acoustic Tile - 1/2 in.,StandardOpaqueMaterial,MediumSmooth,0.5,0.3996,1.251251251,18,0.19,,,,,,,,,,,,,,,,,,,,,
Acoustic Tile - 3/4 in.,StandardOpaqueMaterial,MediumSmooth,0.75,0.3996,1.876876877,18,0.19,,,,,,,,,,,,,,,,,,,,,
Acoustic Tile - 3/8 in.,StandardOpaqueMaterial,MediumSmooth,0.38,0.39,0.974358974,18,0.19,,,,,,,,,,,,,,,,,,,,,
