ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_rate_occupant,ventilation_rate_occupant_unit,ventilation_rate_area,ventilation_rate_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
Animal Facilities,Animal exam room (veterinary office),10,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,2,,
Animal Facilities,Animal imaging (MRI/CT/PET),10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Animal operating rooms,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Animal postoperative recovery room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Animal preparation rooms,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Animal procedure room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Animal surgery scrub,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Large-animal holding room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Necropsy,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Small-animal-cage room (static cages),10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Animal Facilities,Small-animal-cage room (ventilated cages),10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
Correctional Facilities,Booking/waiting,7.5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,2,,
Correctional Facilities,Cell,5,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
Correctional Facilities,Dayroom,5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,,
Correctional Facilities,Guard stations,5,cfm/person,0.06,cfm/ft2,15,ppl/1000 ft2,1,,
Educational Facilities,Art classroom,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
Educational Facilities,Classrooms (ages 5 to 8),10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
Educational Facilities,Classrooms (age 9 plus),10,cfm/person,0.12,cfm/ft2,35,ppl/1000 ft2,1,,
Educational Facilities,Computer lab,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
Educational Facilities,Daycare sickroom,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,3,,
Educational Facilities,Daycare (through age 4),10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
Educational Facilities,Lecture classroom,7.5,cfm/person,0.06,cfm/ft2,65,ppl/1000 ft2,1,yes,
Educational Facilities,Lecture hall (fixed seats),7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
Educational Facilities,Libraries (education),5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,,,
Educational Facilities,Media center,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
Educational Facilities,Multiuse assembly,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,yes,
Educational Facilities,Music/theater/dance,10,cfm/person,0.06,cfm/ft2,35,ppl/1000 ft2,1,yes,
Educational Facilities,Science laboratories,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
Educational Facilities,University/college laboratories,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
Educational Facilities,Wood/metal shop,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
