template,cooling_type,condenser_type,compressor_type,absorption_type,variable_speed_drive,minimum_capacity,maximum_capacity,start_date,end_date,minimum_full_load_efficiency,minimum_integrated_part_load_value,capft,eirft,eirfplr,annotation
90.1-2004,AirCooled,WithCondenser,,,,0,9999,9/9/1919,9/9/2999,1.256,1.153,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,
90.1-2004,AirCooled,WithoutCondenser,,,,0,9999,9/9/1919,9/9/2999,1.135,1.019,ChlrAirRecipQRatio_fTchwsToadbSI,ChlrAirRecipEIRRatio_fTchwsToadbSI,ChlrAirRecipEIRRatio_fQRatio,
90.1-2004,AirCooled,,,Single Effect,,0,9999,9/9/1919,9/9/2999,5.862,,,,,
90.1-2007,AirCooled,WithCondenser,,,,0,9999,9/9/1919,9/9/2999,1.29,1.164,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,Form 90.1-2007 Table 6.8.1A
90.1-2010,AirCooled,WithCondenser,,,,0,149.99,9/9/1919,9/9/2999,1.255,0.941,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,
90.1-2010,AirCooled,WithCondenser,,,,150,9999,9/9/1919,9/9/2999,1.255,0.941,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,
90.1-2010,AirCooled,WithoutCondenser,,,,0,9999,9/9/1919,9/9/2999,1.255,0.941,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,
90.1-2010,AirCooled,,,Single Effect,,0,9999,9/9/1919,9/9/2999,5.862,,,,,
90.1-2013,AirCooled,WithCondenser,,,,0,149.99,9/9/1919,12/31/2014,1.25,0.96,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,Path A Efficiencies
90.1-2013,AirCooled,WithCondenser,,,,150,9999,9/9/1919,12/31/2014,1.25,0.94,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,Path A Efficiencies
90.1-2013,AirCooled,WithoutCondenser,,,,0,149.99,9/9/1919,12/31/2014,1.25,0.96,ChlrAirScrollQRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fQRatio,Path A Efficiencies
90.1-2013,AirCooled,WithoutCondenser,,,,150,9999,9/9/1919,12/31/2014,1.25,0.94,ChlrAirScrollQRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fQRatio,Path A Efficiencies
90.1-2013,AirCooled,,,Single Effect,,0,9999,9/9/1919,12/31/2014,5.862,,,,,Path A Efficiencies
90.1-2013,AirCooled,WithCondenser,,,,0,149.99,1/1/2015,12/31/2014,1.188,0.876,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,Path A Efficiencies
90.1-2013,AirCooled,WithCondenser,,,,150,9999,1/1/2015,9/9/2999,1.188,0.857,AirCooled_Chiller_2010_PathA_CAPFT,AirCooled_Chiller_2010_PathA_EIRFT,AirCooled_Chiller_AllCapacities_2004_2010_EIRFPLR,Path A Efficiencies
90.1-2013,AirCooled,WithoutCondenser,,,,0,149.99,1/1/2015,9/9/2999,1.188,0.876,ChlrAirScrollQRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fQRatio,Path A Efficiencies
90.1-2013,AirCooled,WithoutCondenser,,,,150,9999,1/1/2015,9/9/2999,1.188,0.857,ChlrAirScrollQRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fTchwsToadbSI,ChlrAirScrollEIRRatio_fQRatio,Path A Efficiencies
90.1-2013,AirCooled,,,Single Effect,,0,9999,1/1/2015,9/9/2999,5.862,,,,,Path A Efficiencies
90.1-2004,WaterCooled,,Reciprocating,,,0,149.99,9/9/1919,9/9/2999,0.837,0.696,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Reciprocating,,,150,9999,9/9/1919,9/9/2999,0.837,0.696,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Rotary Screw,,,0,149.99,9/9/1919,9/9/2999,0.79,0.676,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Rotary Screw,,,150,299.99,9/9/1919,9/9/2999,0.718,0.628,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Rotary Screw,,,300,9999,9/9/1919,9/9/2999,0.639,0.572,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Scroll,,,0,149.99,9/9/1919,9/9/2999,0.79,0.676,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Scroll,,,150,299.99,9/9/1919,9/9/2999,0.718,0.628,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Scroll,,,300,9999,9/9/1919,9/9/2999,0.639,0.572,ChlrWtrPosDispPathAAllQRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fTchwsTcwsSI,ChlrWtrPosDispPathAAllEIRRatio_fQRatio,
90.1-2004,WaterCooled,,Centrifugal,,,150,299.99,9/9/1919,9/9/2999,0.634,0.596,WaterCooled_Centrifugal_Chiller_LT150_2004_CAPFT,WaterCooled_Centrifugal_Chiller_LT150_2004_EIRFT,ChlrWtrCentPathAAllEIRRatio_fQRatio,
