template,minimum_capacity,maximum_capacity,start_date,end_date,minimum_full_load_efficiency,annotation
90.1-2004,0,16999,9/9/1919,9/9/2999,11.2,From 90.1-2004 Table 6.8.1B
90.1-2004,17000,64999,9/9/1919,9/9/2999,12,From 90.1-2004 Table 6.8.1B
90.1-2004,65000,134999,9/9/1919,9/9/2999,12,From 90.1-2004 Table 6.8.1B
90.1-2007,0,16999,9/9/1919,9/9/2999,11.2,From 90.1-2007 Table 6.8.1B
90.1-2007,17000,64999,9/9/1919,9/9/2999,12,From 90.1-2007 Table 6.8.1B
90.1-2007,65000,134999,9/9/1919,9/9/2999,12,From 90.1-2007 Table 6.8.1B
90.1-2010,0,16999,9/9/1919,9/9/2999,11.2,From 90.1-2010 Table 6.8.1B
90.1-2010,17000,64999,9/9/1919,9/9/2999,12,From 90.1-2010 Table 6.8.1B
90.1-2010,65000,134999,9/9/1919,9/9/2999,12,From 90.1-2010 Table 6.8.1B
90.1-2013,0,16999,9/9/1919,9/9/2999,12.2,From 90.1-2013 Table 6.8.1-2
90.1-2013,17000,64999,9/9/1919,9/9/2999,13,From 90.1-2013 Table 6.8.1-2
90.1-2013,65000,134999,9/9/1919,9/9/2999,13,From 90.1-2013 Table 6.8.1-2
90.1-2016,0,16999,9/9/1919,9/9/2999,12.2,
90.1-2016,17000,64999,9/9/1919,9/9/2999,13,
90.1-2016,65000,134999,9/9/1919,9/9/2999,13,
90.1-2019,0,16999,9/9/1919,9/9/2999,12.2,
90.1-2019,17000,64999,9/9/1919,9/9/2999,13,
90.1-2019,65000,134999,9/9/1919,9/9/2999,13,
