Location,Province,boiler_fueltype,baseboard_type,mau_type,mau_heating_coil_type,mau_cooling_type,chiller_type,heating_coil_type_sys_3,heating_coil_type_sys4and6,fan_type,,,,,,,,,,,
  Montreal Int'l_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  St Hubert_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Roberval_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Sherbrooke_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Lake Eon_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Schefferville_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Kuujjuarapik_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Mont Joli_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Quebec City_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Riviere Du Loup_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Baie Comeau_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Bagotville_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Sept-Iles_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Nitchequon_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Grindstone Island_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  La Grande Riviere_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Montreal Jean Brebeuf_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Ste Agathe Des Monts_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Montreal Mirabel_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Val d'Or_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Kuujuaq_PQ_CAN,Quebec,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  St John's_NF_CAN,Newfoundland,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Gander Int'l_NF_CAN,Newfoundland,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
  Goose_NF_CAN,Newfoundland,Electricity,Electricity,TRUE,Electric,DX,Scroll,Electric,Electric,var_speed_drive,,,,,,,,,,,
