lighting_technology,lighting_generation,lighting_system_type,fixture_type,lamp_type,fixture_min_height_ft,fixture_max_height_ft,source_efficacy_lumens_per_watt,source_efficacy_reference,lamp_lumen_depreciation,luminaire_dirt_depreciation,lighting_loss_factor,lighting_loss_factor_reference,return_air_fraction,radiant_fraction,visible_fraction,radiant_fraction_reference
T12,gen1_t12_incandescent,general,lamp,fluorescent,0,20,74,doe_2015_lmc_tableC3,0.93,0.89,0.8277,pnnl_90_1_lighting_subcommittee_model,0,0.31,0.2,ashrae_rp_1282
HID High Bay Mercury Vapor,gen1_t12_incandescent,general,luminaire,high_energy_discharge,20,1000,43,doe_2015_lmc_tableC3,0.88,0.74,0.6512,pnnl_90_1_lighting_subcommittee_model,0,0.465,0.2,ashrae_rp_1681
Incandescent Decorative,gen1_t12_incandescent,supplemental,luminaire,incandescent,0,1000,8.7,doe_2015_lmc_tableC3,0.97,0.83,0.8051,pnnl_90_1_lighting_subcommittee_model,0,0.125,0.2,ashrae_rp_1282
Incandescent A-Shape,gen1_t12_incandescent,task,lamp,incandescent,0,1000,10.3,doe_2015_lmc_tableC3,0.97,0.81,0.7857,pnnl_90_1_lighting_subcommittee_model,0,0.125,0.2,ashrae_rp_1282
Incandescent Decorative,gen1_t12_incandescent,wall_wash,luminaire,incandescent,0,1000,8.7,doe_2015_lmc_tableC3,0.97,0.81,0.7857,pnnl_90_1_lighting_subcommittee_model,0,0.125,0.2,ashrae_rp_1282
T8,gen2_t8_halogen,general,lamp,fluorescent,0,20,94.1,doe_2015_lmc_tableC3,0.93,0.89,0.8277,pnnl_90_1_lighting_subcommittee_model,0,0.31,0.2,ashrae_rp_1282
HID High Bay Metal Halide,gen2_t8_halogen,general,luminaire,high_energy_discharge,20,1000,90.2,doe_2015_lmc_tableC3,0.88,0.74,0.6512,pnnl_90_1_lighting_subcommittee_model,0,0.465,0.2,ashrae_rp_1681
Halogen Decorative,gen2_t8_halogen,supplemental,luminaire,halogen,0,1000,15,doe_2015_lmc_tableC3,0.97,0.83,0.8051,pnnl_90_1_lighting_subcommittee_model,0,0.125,0.2,ashrae_rp_1282
Halogen A-Shape,gen2_t8_halogen,task,lamp,halogen,0,1000,17.5,doe_2015_lmc_tableC3,0.97,0.81,0.7857,pnnl_90_1_lighting_subcommittee_model,0,0.125,0.2,ashrae_rp_1282
Halogen Decorative,gen2_t8_halogen,wall_wash,luminaire,halogen,0,1000,15,doe_2015_lmc_tableC3,0.97,0.81,0.7857,pnnl_90_1_lighting_subcommittee_model,0,0.125,0.2,ashrae_rp_1282
T5,gen3_t5_cfl,general,lamp,fluorescent,0,20,103.5,doe_2015_lmc_tableC3,0.93,0.89,0.8277,pnnl_90_1_lighting_subcommittee_model,0,0.31,0.2,ashrae_rp_1282
HID High Bay Metal Halide,gen3_t5_cfl,general,luminaire,high_energy_discharge,20,1000,90.2,doe_2015_lmc_tableC3,0.88,0.74,0.6512,pnnl_90_1_lighting_subcommittee_model,0,0.465,0.2,ashrae_rp_1681
