Utility,City,Province,Monthly_Charge_($),Energy_Charges_Block_1_Limit_(kWh),Energy_Charges_Block_1_Rate_($),Energy_Charges_Block_2_Limit_(kWh),Energy_Charges_Block_2_Rate_($),Energy_Charges_Block_3_Limit_(kWh),Energy_Charges_Block_3_Rate_($),Energy_Charges_Block_4_Limit_(kWh),Energy_Charges_Block_4_Rate_($),Energy_Charges_Block_5_Rate_($),Demand_Charges_Block_1_Limit_(kW),Demand_Charges_Block_1_Rate_($),Demand_Charges_Block_2_Limit_(kW),Demand_Charges_Block_2_Rate_($),Demand_Charges_Block_3_Limit_(kW),Demand_Charges_Block_3_Rate_($),Demand_Charges_Block_4_Limit_(kW),Demand_Charges_Block_4_Rate_($),Demand_Charges_Block_5_Rate_($)
HydroQuebec,  Montreal Int'l_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  St Hubert_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Roberval_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Sherbrooke_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Lake Eon_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Schefferville_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Kuujjuarapik_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Mont Joli_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Quebec City_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Riviere Du Loup_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Baie Comeau_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Bagotville_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Sept-Iles_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Nitchequon_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Grindstone Island_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  La Grande Riviere_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Montreal Jean Brebeuf_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Ste Agathe Des Monts_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Montreal Mirabel_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Val d'Or_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
HydroQuebec,  Kuujuaq_PQ_CAN,Quebec,12.33,15090.0,0.0965,15091.0,0.0613,15092.0,0.0613,15093.0,0.0613,0.0613,50.0,0.0,51.0,17.19,52.0,17.19,53.0,17.19,17.19
NewfoundlandPower,  St John's_NF_CAN,Newfoundland,50.08,50000.0,0.09156,50001.0,0.07286,50002.0,0.07286,50003.0,0.07286,0.07286,1.0,7.86,2.0,7.86,3.0,7.86,4.0,7.86,7.86
Nalcor,  Gander Int'l_NF_CAN,Newfoundland,0.0,100.0,0.02433,101.0,0.02433,102.0,0.02433,103.0,0.02433,0.02433,1.0,2.2,2.0,2.2,3.0,2.2,4.0,2.2,2.2
Nalcor,  Goose_NF_CAN,Newfoundland,0.0,100.0,0.02433,101.0,0.02433,102.0,0.02433,103.0,0.02433,0.02433,1.0,2.2,2.0,2.2,3.0,2.2,4.0,2.2,2.2
NewfoundlandPower,  Stephenville_NF_CAN,Newfoundland,50.08,50000.0,0.09156,50001.0,0.07286,50002.0,0.07286,50003.0,0.07286,0.07286,1.0,7.86,2.0,7.86,3.0,7.86,4.0,7.86,7.86
NewfoundlandPower,  Battle Harbour_NF_CAN,Newfoundland,50.08,50000.0,0.09156,50001.0,0.07286,50002.0,0.07286,50003.0,0.07286,0.07286,1.0,7.86,2.0,7.86,3.0,7.86,4.0,7.86,7.86
NewBrunswickPower,  Saint John_NB_CAN,New Brunswick,21.78,5000.0,0.1256,5001.0,0.089,5002.0,0.089,5003.0,0.089,0.089,20.0,0.0,21.0,10.05,22.0,10.05,23.0,10.05,10.05
NewBrunswickPower,  Fredericton_NB_CAN,New Brunswick,21.78,5000.0,0.1256,5001.0,0.089,5002.0,0.089,5003.0,0.089,0.089,20.0,0.0,21.0,10.05,22.0,10.05,23.0,10.05,10.05
NewBrunswickPower,  Miramichi_NB_CAN,New Brunswick,21.78,5000.0,0.1256,5001.0,0.089,5002.0,0.089,5003.0,0.089,0.089,20.0,0.0,21.0,10.05,22.0,10.05,23.0,10.05,10.05
NovaScotiaPower,  Greenwood_NS_CAN,Nova Scotia,0.0,200.0,0.11841,201.0,0.08562,202.0,0.08562,203.0,0.08562,0.08562,50.0,0.0,51.0,10.497,52.0,10.497,53.0,10.497,10.497
NovaScotiaPower,  Truro_NS_CAN,Nova Scotia,0.0,200.0,0.11841,201.0,0.08562,202.0,0.08562,203.0,0.08562,0.08562,50.0,0.0,51.0,10.497,52.0,10.497,53.0,10.497,10.497
NovaScotiaPower,  Sable Island_NS_CAN,Nova Scotia,0.0,200.0,0.11841,201.0,0.08562,202.0,0.08562,203.0,0.08562,0.08562,50.0,0.0,51.0,10.497,52.0,10.497,53.0,10.497,10.497
NovaScotiaPower,  Sydney_NS_CAN,Nova Scotia,0.0,200.0,0.11841,201.0,0.08562,202.0,0.08562,203.0,0.08562,0.08562,50.0,0.0,51.0,10.497,52.0,10.497,53.0,10.497,10.497
NovaScotiaPower,  Shearwater_NS_CAN,Nova Scotia,0.0,200.0,0.11841,201.0,0.08562,202.0,0.08562,203.0,0.08562,0.08562,50.0,0.0,51.0,10.497,52.0,10.497,53.0,10.497,10.497
MaritimeElectric,  Charlottetown CDA_PE_CAN,Prince Edward Island,24.57,5000.0,0.1625,5001.0,0.1049,5002.0,0.1049,5003.0,0.1049,0.1049,20.0,0.0,21.0,13.43,22.0,13.43,23.0,13.43,13.43
