Utility,City,Province,Monthly_Charge_($),Energy_Charges_Block_1_Limit_(MJ),Energy_Charges_Block_1_Rate_($),Energy_Charges_Block_2_Limit_(MJ),Energy_Charges_Block_2_Rate_($),Energy_Charges_Block_3_Limit_(MJ),Energy_Charges_Block_3_Rate_($),Energy_Charges_Block_4_Limit_(MJ),Energy_Charges_Block_4_Rate_($),Energy_Charges_Block_5_Rate_($),Demand_Charges_Block_1_Limit_(MJ_per_hr),Demand_Charges_Block_1_Rate_($),Demand_Charges_Block_2_Limit_(MJ_per_hr),Demand_Charges_Block_2_Rate_($),Demand_Charges_Block_3_Limit_(MJ_per_hr),Demand_Charges_Block_3_Rate_($),Demand_Charges_Block_4_Limit_(MJ_per_hr),Demand_Charges_Block_4_Rate_($),Demand_Charges_Block_5_Rate_($)
ATCO,  Calgary Int'l_AB_CAN,Alberta,24.36,1.0,0.0037,2.0,0.0037,3.0,0.0037,4.0,0.0037,0.0037,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
ATCO,  Edmonton Stony Plain_AB_CAN,Alberta,28.68,1.0,0.0034,2.0,0.0034,3.0,0.0034,4.0,0.0034,0.0034,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
ATCO,  Fort McMurray_AB_CAN,Alberta,28.68,1.0,0.0034,2.0,0.0034,3.0,0.0034,4.0,0.0034,0.0034,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
ATCO,  Grand Prairie_AB_CAN,Alberta,28.68,1.0,0.0034,2.0,0.0034,3.0,0.0034,4.0,0.0034,0.0034,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
ATCO,  Lethbridge_AB_CAN,Alberta,24.36,1.0,0.0037,2.0,0.0037,3.0,0.0037,4.0,0.0037,0.0037,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
ATCO,  Medicine Hat_AB_CAN,Alberta,24.36,1.0,0.0037,2.0,0.0037,3.0,0.0037,4.0,0.0037,0.0037,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
Enbridge ,  Kingston_ON_CAN,Ontario,122.01,1.0,0.0105,2.0,0.0105,3.0,0.0105,4.0,0.0105,0.0105,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
Enbridge ,  North Bay_ON_CAN,Ontario,122.01,1.0,0.0105,2.0,0.0105,3.0,0.0105,4.0,0.0105,0.0105,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
Enbridge ,  Ottawa Int'l_ON_CAN,Ontario,122.01,1.0,0.0105,2.0,0.0105,3.0,0.0105,4.0,0.0105,0.0105,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
Enbridge ,  Toronto Int'l_ON_CAN,Ontario,122.01,1.0,0.0105,2.0,0.0105,3.0,0.0105,4.0,0.0105,0.0105,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
Enbridge ,  Trenton_ON_CAN,Ontario,122.01,1.0,0.0105,2.0,0.0105,3.0,0.0105,4.0,0.0105,0.0105,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
EnbridgeNB,  Fredericton_NB_CAN,New Brunswick,20.0,1.0,0.012,2.0,0.012,3.0,0.012,4.0,0.012,0.012,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
EnbridgeNB,  Miramichi_NB_CAN,New Brunswick,20.0,1.0,0.012,2.0,0.012,3.0,0.012,4.0,0.012,0.012,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
EnbridgeNB,  Saint John_NB_CAN,New Brunswick,20.0,1.0,0.012,2.0,0.012,3.0,0.012,4.0,0.012,0.012,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
FortisBC,  Abbotsford_BC_CAN,British Columbia,134.97,1.0,0.0061,2.0,0.0061,3.0,0.0061,4.0,0.0061,0.0061,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
FortisBC,  Comox_BC_CAN,British Columbia,134.97,1.0,0.0059,2.0,0.0059,3.0,0.0059,4.0,0.0059,0.0059,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
FortisBC,  Cranbrook_BC_CAN,British Columbia,134.97,1.0,0.0061,2.0,0.0061,3.0,0.0061,4.0,0.0061,0.0061,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
FortisBC,  Fort St John_BC_CAN,British Columbia,130.61,1.0,0.0108,2.0,0.0108,3.0,0.0108,4.0,0.0108,0.0108,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
FortisBC,  Kamloops_BC_CAN,British Columbia,134.97,1.0,0.0061,2.0,0.0061,3.0,0.0061,4.0,0.0061,0.0061,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
FortisBC,  Port Hardy_BC_CAN,British Columbia,134.97,1.0,0.0059,2.0,0.0059,3.0,0.0059,4.0,0.0059,0.0059,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0
