construction_glazing_id,construction_type_name,author,old_type_code,intended_surface_type,fenestration_type,type_index,climate_zone,u_w_per_m2_k,description,material_glazing_id_layers,component,surface_type
1,BTAP-ExteriorWindow-FixedWindow-1,BTAP,1,ExteriorWindow,FixedWindow,1,Zone 4,2.4,Fixed window,1,"ft2
",GLAZING
2,BTAP-ExteriorWindow-FixedWindow-1,BTAP,1,ExteriorWindow,FixedWindow,1,Zone 5,2.2,Fixed window,9,"ft2
",GLAZING
3,BTAP-ExteriorWindow-FixedWindow-1,BTAP,1,ExteriorWindow,FixedWindow,1,Zone 6,2.2,Fixed window,9,"ft2
",GLAZING
4,BTAP-ExteriorWindow-FixedWindow-1,BTAP,1,ExteriorWindow,FixedWindow,1,Zone 7A,2.2,Fixed window,9,"ft2
",GLAZING
5,BTAP-ExteriorWindow-FixedWindow-1,BTAP,1,ExteriorWindow,FixedWindow,1,Zone 7B,2.2,Fixed window,9,"ft2
",GLAZING
6,BTAP-ExteriorWindow-FixedWindow-1,BTAP,1,ExteriorWindow,FixedWindow,1,Zone 8,1.6,Fixed window,17,"ft2
",GLAZING
7,BTAP-ExteriorWindow-FixedWindow-2,BTAP,4,ExteriorWindow,FixedWindow,2,Zone 4,2.4,Mall Front Fixed Panels (window wall),4,"ft2
",GLAZING
8,BTAP-ExteriorWindow-FixedWindow-2,BTAP,4,ExteriorWindow,FixedWindow,2,Zone 5,2.2,Mall Front Fixed Panels (window wall),12,"ft2
",GLAZING
9,BTAP-ExteriorWindow-FixedWindow-2,BTAP,4,ExteriorWindow,FixedWindow,2,Zone 6,2.2,Mall Front Fixed Panels (window wall),12,"ft2
",GLAZING
10,BTAP-ExteriorWindow-FixedWindow-2,BTAP,4,ExteriorWindow,FixedWindow,2,Zone 7A,2.2,Mall Front Fixed Panels (window wall),12,"ft2
",GLAZING
11,BTAP-ExteriorWindow-FixedWindow-2,BTAP,4,ExteriorWindow,FixedWindow,2,Zone 7B,2.2,Mall Front Fixed Panels (window wall),12,"ft2
",GLAZING
12,BTAP-ExteriorWindow-FixedWindow-2,BTAP,4,ExteriorWindow,FixedWindow,2,Zone 8,1.6,Mall Front Fixed Panels (window wall),20,"ft2
",GLAZING
13,BTAP-ExteriorWindow-OperableWindow-3,BTAP,5,ExteriorWindow,OperableWindow,3,Zone 4,2.4,Aluminum Commercial Operable Sliders,5,"ft2
",GLAZING
14,BTAP-ExteriorWindow-OperableWindow-3,BTAP,5,ExteriorWindow,OperableWindow,3,Zone 5,2.2,Aluminum Commercial Operable Sliders,13,"ft2
",GLAZING
15,BTAP-ExteriorWindow-OperableWindow-3,BTAP,5,ExteriorWindow,OperableWindow,3,Zone 6,2.2,Aluminum Commercial Operable Sliders,13,"ft2
",GLAZING
16,BTAP-ExteriorWindow-OperableWindow-3,BTAP,5,ExteriorWindow,OperableWindow,3,Zone 7A,2.2,Aluminum Commercial Operable Sliders,13,"ft2
",GLAZING
17,BTAP-ExteriorWindow-OperableWindow-3,BTAP,5,ExteriorWindow,OperableWindow,3,Zone 7B,2.2,Aluminum Commercial Operable Sliders,13,"ft2
",GLAZING
18,BTAP-ExteriorWindow-OperableWindow-3,BTAP,5,ExteriorWindow,OperableWindow,3,Zone 8,1.6,Aluminum Commercial Operable Sliders,21,"ft2
",GLAZING
19,BTAP-ExteriorWindow-FixedWindow-4,BTAP,6,ExteriorWindow,FixedWindow,4,Zone 4,2.4,Vinyl Commercial Picture Windows,6,"ft2
",GLAZING
20,BTAP-ExteriorWindow-FixedWindow-4,BTAP,6,ExteriorWindow,FixedWindow,4,Zone 5,2.2,Vinyl Commercial Picture Windows,14,"ft2
",GLAZING
21,BTAP-ExteriorWindow-FixedWindow-4,BTAP,6,ExteriorWindow,FixedWindow,4,Zone 6,2.2,Vinyl Commercial Picture Windows,14,"ft2
",GLAZING
22,BTAP-ExteriorWindow-FixedWindow-4,BTAP,6,ExteriorWindow,FixedWindow,4,Zone 7A,2.2,Vinyl Commercial Picture Windows,14,"ft2
",GLAZING
23,BTAP-ExteriorWindow-FixedWindow-4,BTAP,6,ExteriorWindow,FixedWindow,4,Zone 7B,2.2,Vinyl Commercial Picture Windows,14,"ft2
",GLAZING
24,BTAP-ExteriorWindow-FixedWindow-4,BTAP,6,ExteriorWindow,FixedWindow,4,Zone 8,1.6,Vinyl Commercial Picture Windows,22,"ft2
",GLAZING
25,BTAP-ExteriorWindow-OperableWindow-5,BTAP,7,ExteriorWindow,OperableWindow,5,Zone 4,2.4,Vinyl-Wood Clad Commercial Casement Windows,7,"ft2
",GLAZING
26,BTAP-ExteriorWindow-OperableWindow-5,BTAP,7,ExteriorWindow,OperableWindow,5,Zone 5,2.2,Vinyl-Wood Clad Commercial Casement Windows,15,"ft2
",GLAZING
27,BTAP-ExteriorWindow-OperableWindow-5,BTAP,7,ExteriorWindow,OperableWindow,5,Zone 6,2.2,Vinyl-Wood Clad Commercial Casement Windows,15,"ft2
",GLAZING
28,BTAP-ExteriorWindow-OperableWindow-5,BTAP,7,ExteriorWindow,OperableWindow,5,Zone 7A,2.2,Vinyl-Wood Clad Commercial Casement Windows,15,"ft2
",GLAZING
29,BTAP-ExteriorWindow-OperableWindow-5,BTAP,7,ExteriorWindow,OperableWindow,5,Zone 7B,2.2,Vinyl-Wood Clad Commercial Casement Windows,15,"ft2
",GLAZING
30,BTAP-ExteriorWindow-OperableWindow-5,BTAP,7,ExteriorWindow,OperableWindow,5,Zone 8,1.6,Vinyl-Wood Clad Commercial Casement Windows,23,"ft2
",GLAZING
31,BTAP-ExteriorWindow-FixedWindow-6,BTAP,8,ExteriorWindow,FixedWindow,6,Zone 4,2.4,Aluminum Commercial Picture  Windows,8,"ft2
",GLAZING
32,BTAP-ExteriorWindow-FixedWindow-6,BTAP,8,ExteriorWindow,FixedWindow,6,Zone 5,2.2,Aluminum Commercial Picture  Windows,16,"ft2
",GLAZING
33,BTAP-ExteriorWindow-FixedWindow-6,BTAP,8,ExteriorWindow,FixedWindow,6,Zone 6,2.2,Aluminum Commercial Picture  Windows,16,"ft2
",GLAZING
34,BTAP-ExteriorWindow-FixedWindow-6,BTAP,8,ExteriorWindow,FixedWindow,6,Zone 7A,2.2,Aluminum Commercial Picture  Windows,16,"ft2
",GLAZING
35,BTAP-ExteriorWindow-FixedWindow-6,BTAP,8,ExteriorWindow,FixedWindow,6,Zone 7B,2.2,Aluminum Commercial Picture  Windows,16,"ft2
",GLAZING
36,BTAP-ExteriorWindow-FixedWindow-6,BTAP,8,ExteriorWindow,FixedWindow,6,Zone 8,1.6,Aluminum Commercial Picture  Windows,24,"ft2
",GLAZING
37,BTAP-GlassDoor-GlazedDoor-1,BTAP,2,GlassDoor,GlazedDoor,1,Zone 4,2.4,"Sliding Glass, Aluminum Patio Door",2,"ft2
",GLAZING
38,BTAP-GlassDoor-GlazedDoor-1,BTAP,2,GlassDoor,GlazedDoor,1,Zone 5,2.2,"Sliding Glass, Aluminum Patio Door",10,"ft2
",GLAZING
39,BTAP-GlassDoor-GlazedDoor-1,BTAP,2,GlassDoor,GlazedDoor,1,Zone 6,2.2,"Sliding Glass, Aluminum Patio Door",10,"ft2
",GLAZING
40,BTAP-GlassDoor-GlazedDoor-1,BTAP,2,GlassDoor,GlazedDoor,1,Zone 7A,2.2,"Sliding Glass, Aluminum Patio Door",10,"ft2
",GLAZING
41,BTAP-GlassDoor-GlazedDoor-1,BTAP,2,GlassDoor,GlazedDoor,1,Zone 7B,2.2,"Sliding Glass, Aluminum Patio Door",10,"ft2
",GLAZING
42,BTAP-GlassDoor-GlazedDoor-1,BTAP,2,GlassDoor,GlazedDoor,1,Zone 8,1.6,"Sliding Glass, Aluminum Patio Door",18,"ft2
",GLAZING
43,BTAP-GlassDoor-GlazedDoor-2,BTAP,3,GlassDoor,GlazedDoor,2,Zone 4,2.4,Sliding Entrance Aluminum Doors,11,"ft2
",GLAZING
44,BTAP-GlassDoor-GlazedDoor-2,BTAP,3,GlassDoor,GlazedDoor,2,Zone 5,2.2,Sliding Entrance Aluminum Doors,11,"ft2
",GLAZING
45,BTAP-GlassDoor-GlazedDoor-2,BTAP,3,GlassDoor,GlazedDoor,2,Zone 6,2.2,Sliding Entrance Aluminum Doors,11,"ft2
",GLAZING
46,BTAP-GlassDoor-GlazedDoor-2,BTAP,3,GlassDoor,GlazedDoor,2,Zone 7A,2.2,Sliding Entrance Aluminum Doors,11,"ft2
",GLAZING
47,BTAP-GlassDoor-GlazedDoor-2,BTAP,3,GlassDoor,GlazedDoor,2,Zone 7B,2.2,Sliding Entrance Aluminum Doors,11,"ft2
",GLAZING
48,BTAP-GlassDoor-GlazedDoor-2,BTAP,3,GlassDoor,GlazedDoor,2,Zone 8,1.6,Sliding Entrance Aluminum Doors,19,"ft2
",GLAZING
49,BTAP-Skylight-1,BTAP,1,Skylight,PlasticSkylightwithCurb,1,Zone 4,2.4,Plastic Skylight,28,"ft2
",SKYLIGHT
50,BTAP-Skylight-1,BTAP,1,Skylight,PlasticSkylightwithCurb,1,Zone 5,2.4,Plastic Skylight,28,"ft2
",SKYLIGHT
51,BTAP-Skylight-1,BTAP,1,Skylight,PlasticSkylightwithCurb,1,Zone 6,2.4,Plastic Skylight,28,"ft2
",SKYLIGHT
52,BTAP-Skylight-1,BTAP,1,Skylight,PlasticSkylightwithCurb,1,Zone 7A,2.4,Plastic Skylight,28,"ft2
",SKYLIGHT
53,BTAP-Skylight-1,BTAP,1,Skylight,PlasticSkylightwithCurb,1,Zone 7B,2.4,Plastic Skylight,28,"ft2
",SKYLIGHT
54,BTAP-Skylight-1,BTAP,1,Skylight,PlasticSkylightwithCurb,1,Zone 8,1.6,Plastic Skylight,26,"ft2
",SKYLIGHT
55,BTAP-Skylight-2,BTAP,2,Skylight,GlassSkylightwithCurb,2,Zone 4,2.4,Glass Skylight,27,"ft2
",SKYLIGHT
56,BTAP-Skylight-2,BTAP,2,Skylight,GlassSkylightwithCurb,2,Zone 5,2.4,Glass Skylight,27,"ft2
",SKYLIGHT
57,BTAP-Skylight-2,BTAP,2,Skylight,GlassSkylightwithCurb,2,Zone 6,2.4,Glass Skylight,27,"ft2
",SKYLIGHT
58,BTAP-Skylight-2,BTAP,2,Skylight,GlassSkylightwithCurb,2,Zone 7A,2.4,Glass Skylight,27,"ft2
",SKYLIGHT
59,BTAP-Skylight-2,BTAP,2,Skylight,GlassSkylightwithCurb,2,Zone 7B,2.4,Glass Skylight,27,"ft2
",SKYLIGHT
60,BTAP-Skylight-2,BTAP,2,Skylight,GlassSkylightwithCurb,2,Zone 8,1.6,Glass Skylight,25,"ft2
",SKYLIGHT
