lighting_type_id,description,source,type,id,id_layers,unit,Id_layers_quantity_multipliers,material_descriptions,W/m2,Fix_1000ft
1,"Fluorescent Lighting 0.8 W/ft2 (8.6 W/m2), 20FC,  5 Fixtures/1000 Ft2",rs-means,Assembly,D50202100500,"11,13,14,15,26",ft2,"0.003,0.128,0.005,0.005,0.005","Wire 600V #12 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Recessed Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers
",8.6,5
2,"Fluorescent Lighting 1.6 W/ft2 (17.2 W/m2), 40FC, 10 Fixtures per 1000 ft2",rs-means,Assembly,D50202100520,"11,13,14,15,26",ft2,"0.005,0.256,0.01,0.01,0.01","Wire 600V #12 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Recessed Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers
",17.2,10
3,"Fluorescent Lighting 2.4 W/ft2 (25.8 W/m2), 60FC, 15 Fixtures per 1000 ft2",rs-means,Assembly,D50202100540,"11,13,14,15,26",ft2,"0.008,0.384,0.015,0.015,0.015","Wire 600V #12 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Recessed Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers
",25.8,15
4,"Fluorescent Lighting 3.2 W/ft2 (34.4 W/m2), 80FC, 20 Fixtures per 1000 ft2",rs-means,Assembly,D50202100560,"11,13,14,15,26",ft2,"0.01,0.512,0.02,0.02,0.02","Wire 600V #12 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Recessed Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers
",34.4,20
5,"Fluorescent Lighting 4 W/ft2 (43 W/m2), 100FC, 25 Fixtures per 1000 ft2",rs-means,Assembly,D50202100580,"11,13,14,15,26",ft2,"0.013,0.64,0.025,0.025,0.025","Wire 600V #12 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Recessed Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers
",43.0,25
6,"High Bay (10 ft above work plane) Fluorescent Lighting .5 W/ft2 (5.4 W/m2), 29FC, 2 Fixtures per 1000 ft2",rs-means,Assembly,D50202180200,"12,13,14,15,27",ft2,"0.002,0.1,0.002,0.002,0.002","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Pendant Mount, 4-54W T5HO 16"" x 4' fixtures, includes hardware
",5.4,2
7,"High Bay (10 ft above work plane) Fluorescent Lighting 1.5 W/ft2 (16 W/m2), 103FC, 7 Fixtures per 1000 ft2",rs-means,Assembly,D50202180600,"12,13,14,15,27",ft2,"0.006,0.27,0.007,0.007,0.007","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Pendant Mount, 4-54W T5HO 16"" x 4' fixtures, includes hardware
",16.0,7
8,"High Bay (10 ft above work plane) Fluorescent Lighting 2.5 W/ft2 (27 W/m2), 162FC, 11 Fixtures per 1000 ft2",rs-means,Assembly,D50202181000,"12,13,14,15,27","0.006,0.27,0.007,0.007,0.007","0.009,0.465,0.011,0.011,0.011","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Pendant Mount, 4-54W T5HO 16"" x 4' fixtures, includes hardware
",27.0,11
9,"H.I.D. High Bay (16 ft above work plane) 1 W/ft2 (10.8 W/m2), 52FC, 1 Fixtures per 1000 ft2",rs-means,Assembly,D50202260280,"12,13,14,15,60",ft2,"0.003,0.16,0.001,0.001,0.001","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",10.8,1
10,"H.I.D. High Bay (16 ft above work plane) 2 W/ft2 (21.5 W/m2), 105FC, 2 Fixtures per 1000 ft2",rs-means,Assembly,D50202260480,"12,13,14,15,60",ft2,"0.007,0.32,0.002,0.002,0.002","Wire 600V #10 in raceway
Metal conduit. 0.5 in diamater, 11 coupling per 100 LF
Steel Outlet boxes, set flush in concrete 4 "" deep
Steel Outlet boxes, on framing
Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware
",21.5,2
