building_type,space_type,all_level_space_type,walkin_name,walkin_type,size_ft2,reference_space_type_area_ft2,notes
PrimarySchool,Kitchen,food preparation - primary school,Walk-in Cooler,Walk-in Cooler,120,1800,
PrimarySchool,Kitchen,food preparation - primary school,Walk-in Freezer,Walk-in Freezer,120,1800,
SecondarySchool,Kitchen,food preparation - secondary school,Walk-in Cooler,Walk-in Cooler,240,2325,
SecondarySchool,Kitchen,food preparation - secondary school,Walk-in Freezer,Walk-in Freezer,240,2325,
QuickServiceRestaurant,Kitchen,food preparation,Walk-in Cooler,Walk-in Cooler,100,1250,
QuickServiceRestaurant,Kitchen,food preparation,Walk-in Freezer,Walk-in Freezer,100,1250,
FullServiceRestaurant,Kitchen,food preparation,Walk-in Cooler,Walk-in Cooler,100,1500,
FullServiceRestaurant,Kitchen,food preparation,Walk-in Freezer,Walk-in Freezer,100,1500,
LargeHotel,Kitchen,food preparation,Walk-in Cooler,Walk-in Cooler,120,1110,
LargeHotel,Kitchen,food preparation,Walk-in Freezer,Walk-in Freezer,120,1110,
Hospital,Kitchen,food preparation,Walk-in Cooler,Walk-in Cooler,360,10000,
Hospital,Kitchen,food preparation,Walk-in Freezer,Walk-in Freezer,360,10000,
SuperMarket,DryStorage,storage,Bakery Cooler,Walk-in Cooler,120,4500,
SuperMarket,DryStorage,storage,Bakery Freezer,Walk-in Freezer,150,4500,
SuperMarket,DryStorage,storage,Beer Cooler,Walk-in Cooler,320,4500,
SuperMarket,DryStorage,storage,Dairy Cooler,Walk-in Cooler,240,4500,
SuperMarket,DryStorage,storage,Floral Cooler,Walk-in Cooler,80,4500,
SuperMarket,DryStorage,storage,Grocery Freezer,Walk-in Freezer,240,4500,
SuperMarket,DryStorage,storage,Kitchen Cooler,Walk-in Cooler,290,4500,
SuperMarket,DryStorage,storage,Kitchen Freezer,Walk-in Freezer,96,4500,
SuperMarket,DryStorage,storage,Meat Cooler,Walk-in Cooler,570,4500,
SuperMarket,DryStorage,storage,Meat Freezer,Walk-in Freezer,60,4500,
SuperMarket,DryStorage,storage,Prep Cooler 1,Walk-in Cooler,480,4500,
SuperMarket,DryStorage,storage,Prep Cooler 2,Walk-in Cooler,480,4500,
SuperMarket,DryStorage,storage,Produce Cooler,Walk-in Cooler,620,4500,
SuperMarket,DryStorage,storage,Specialty Cooler,Walk-in Cooler,72,4500,
EPr,Kitchen,food preparation - primary school,Walk-in Cooler,Walk-in Cooler,120,1750,
EPr,Kitchen,food preparation - primary school,Walk-in Freezer,Walk-in Freezer,120,1750,
ESe,Kitchen,food preparation - secondary school,Walk-in Cooler,Walk-in Cooler,240,2630,
ESe,Kitchen,food preparation - secondary school,Walk-in Freezer,Walk-in Freezer,240,2630,
RFF,StockRoom,,Walk-in Cooler,Walk-in Cooler,100,800,"No DEER RFF or RSD model has a StockRoom space type, so these four rows have never matched anything. Left untagged so the all-level crosswalk does not activate dead data. Under an ASHRAE template the same ComStock restaurant reaches the QuickServiceRestaurant and FullServiceRestaurant rows through 'food preparation'."
RFF,StockRoom,,Walk-in Freezer,Walk-in Freezer,100,800,see the RFF Walk-in Cooler note
RSD,StockRoom,,Walk-in Cooler,Walk-in Cooler,100,1600,see the RFF Walk-in Cooler note
RSD,StockRoom,,Walk-in Freezer,Walk-in Freezer,100,5000,see the RFF Walk-in Cooler note
Htl,Kitchen,food preparation,Walk-in Cooler,Walk-in Cooler,120,1000,
Htl,Kitchen,food preparation,Walk-in Freezer,Walk-in Freezer,120,1000,
Hsp,Kitchen,food preparation,Walk-in Cooler,Walk-in Cooler,360,1875,
Hsp,Kitchen,food preparation,Walk-in Freezer,Walk-in Freezer,360,1875,
Gro,GrocSales,retail,Bakery Cooler,Walk-in Cooler,120,40000,
Gro,GrocSales,retail,Bakery Freezer,Walk-in Freezer,150,40000,
Gro,GrocSales,retail,Beer Cooler,Walk-in Cooler,320,40000,
Gro,GrocSales,retail,Dairy Cooler,Walk-in Cooler,240,40000,
Gro,GrocSales,retail,Floral Cooler,Walk-in Cooler,80,40000,
Gro,GrocSales,retail,Grocery Freezer,Walk-in Freezer,240,40000,
Gro,GrocSales,retail,Kitchen Cooler,Walk-in Cooler,290,40000,
Gro,GrocSales,retail,Kitchen Freezer,Walk-in Freezer,96,40000,
Gro,GrocSales,retail,Meat Cooler,Walk-in Cooler,570,40000,
Gro,GrocSales,retail,Meat Freezer,Walk-in Freezer,60,40000,
Gro,GrocSales,retail,Prep Cooler 1,Walk-in Cooler,480,40000,
Gro,GrocSales,retail,Prep Cooler 2,Walk-in Cooler,480,40000,
Gro,GrocSales,retail,Produce Cooler,Walk-in Cooler,620,40000,
Gro,GrocSales,retail,Specialty Cooler,Walk-in Cooler,72,40000,
