walkin_name,template,operation_type,insulated_floor_area,rated_capacity,operating_temperature,rated_cooling_source_temperature,rated_total_heating_power,rated_cooling_fan_power,lighting_power,lighting_schedule,defrost_type,defrost_control_type,defrost_schedule,drip_down_schedule,defrost_power,temperature_termination_defrost_fraction_to_ice,insulated_floor_uvalue,total_insulatedsurface_area_facing_zone,insulated_surface_uvalue_facing_zone,area_of_glass_reachin_doors_facing_zone,reachin_door_uvalue,area_of_stocking_doors_facing_zone,height_of_stocking_doors_facing_zone,stocking_door_u,stocking_door_schedule,stocking_door_opening_protection
Walk-in Freezer - 80SF,old,LT,7.4,2783.9,-26.1,-31.7,0,222.72,80.3,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,2199.3,0.7,0.203,43.1,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 120SF,old,LT,11.1,3305.9,-26.1,-31.7,0,264.48,120.4,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,2611.7,0.7,0.203,49.3,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 240SF,old,LT,22.3,4834.8,-26.1,-31.7,0,386.78,240.8,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,3819.5,0.7,0.203,68.1,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 360SF,old,LT,33.4,6308,-26.1,-31.7,0,504.64,361.2,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,4983.3,0.7,0.203,86.9,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 480SF,old,LT,44.6,7725.5,-26.1,-31.7,0,618.04,481.6,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,6103.2,0.7,0.203,105.6,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 64SF with no glass door,old,MT,5.9,2494,1.7,-3.9,0,144.7,64.2,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,40.6,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 80SF with no glass door,old,MT,7.4,2729.3,1.7,-3.9,0,158.3,80.3,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,43.1,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 100SF with no glass door,old,MT,9.3,3022,1.7,-3.9,0,175.3,100.3,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,46.2,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 120SF with no glass door,old,MT,11.1,3313.2,1.7,-3.9,0,192.2,120.4,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,49.3,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 240SF with no glass door,old,MT,22.3,5028.1,1.7,-3.9,0,291.6,240.8,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,68.1,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
