building_type,space_type,case_type,length_ft,reference_space_type_area_ft2
SuperMarket,Sales,Coffin - Frozen Food,80,27500
SuperMarket,Sales,Coffin - Ice Cream,20,27500
SuperMarket,Sales,Reach-in - Ice Cream,187,27500
SuperMarket,Sales,Reach-in - Frozen Food,52,27500
SuperMarket,Sales,Reach-in - Dairy Deli Beverage Case,320,27500
SuperMarket,Sales,Service - Meat Deli Bakery,85,27500
SuperMarket,Sales,Island - Deli Produce,18,27500
SuperMarket,Sales,Vertical Open - All,82,27500
Gro,GrocSales,Coffin - Frozen Food,80,40000
Gro,GrocSales,Coffin - Ice Cream,20,40000
Gro,GrocSales,Reach-in - Ice Cream,187,40000
Gro,GrocSales,Reach-in - Frozen Food,52,40000
Gro,GrocSales,Reach-in - Dairy Deli Beverage Case,320,40000
Gro,GrocSales,Service - Meat Deli Bakery,85,40000
Gro,GrocSales,Island - Deli Produce,18,40000
Gro,GrocSales,Vertical Open - All,82,40000
