case_name,template,operation_type,rated_capacity,unit_length,number_of_units,total_length,total_capacity,case_operating_temperature,evaporator_temperature,rated_latent_heat_ratio,rated_runtime_fraction,latent_case_credit_curve_type,latent_case_credit_curve_name,fan_power,lighting_power,case_lighting_schedules,fraction_of_lighting_energy_to_case,anti_sweat_power,anti_sweat_heater_control_type,fraction_of_anti_sweat_heater_energy_to_cases,defrost_power,defrost_type,defrost_duration,defrosts_per_day,defrost_schedule,dripdown_duration,drip_down_schedule,defrost_energy_correction_curve_type,defrost_energy_correction_curve_name,HVAC_return_air_fraction,restocking_schedule,case_credit_fraction_schedule,description
Reach-in - Ice Cream,new,LT,473.9,3,,,,-23.9,-27.2,0.1,0.85,DewpointMethod,Glass Door Latent Curve,32.5,25.8,Always On,0.5,139.4,Constant,0.7,955.4,ElectricWithTemperatureTermination,15,1,LT Reach-In Defrost Sch,25,LT Reach-In Drip-Down Sch,DewpointMethod,Glass Door Defrost Curve,0,Always Off,Case Credit Schedule ,"New Ice Cream Reach-In: unit length 3.0m, case operating temperature  -23.9C "
Reach-in - Frozen Food,new,LT,438.9,3,,,,-20,-23.9,0.1,0.85,DewpointMethod,Glass Door Latent Curve,32.5,25.8,Always On,0.5,139.4,Constant,0.7,955.4,ElectricWithTemperatureTermination,15,1,LT Reach-In Defrost Sch,25,LT Reach-In Drip-Down Sch,DewpointMethod,Glass Door Defrost Curve,0,Always Off,Case Credit Schedule ,"New Frozen Food Reach-In: unit length 3.0m, case operating temperature  -20C "
Reach-in - Dairy Deli Beverage Case,new,MT,282.1,2.4,,,,1.4,-1.1,0.2,0.85,DewpointMethod,Glass Door Latent Curve,21.3,22.7,Always On,0.5,56.6,Constant,0.7,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"New Dairy, Deli, and Beverage Reach-In: unit length 2.4 m, case operating temperature  1.4 C "
Island - Deli Produce,new,MT,372.6,1.8,,,,-1.1,-3.6,0.2,0.85,DewpointMethod,Coffin Latent Curve,7.6,9.8,Always On,0.5,13.1,Constant,0.7,656.2,ElectricWithTemperatureTermination,15,4,MT Coffin Defrost Sch,25,MT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,New MT Deli and Produce Island: unit length 1.8 m operating temperature -1.1C
Service - Meat Deli Bakery,new,MT,317.3,2.4,,,,-2.2,-6.7,0.1,0.85,DewpointMethod,Glass Door Latent Curve,12.6,17,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"New MT Meat, Deli, and Bakery Service Case: unit length 2.4 m, operating temperature -2.2C"
Vertical Open - All,new,MT,1187.6,2.4,,,,0.6,-2.2,0.3,0.85,DewpointMethod,Open Latent Curve,14.5,18.9,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"New Dairy, Meat, Beverage, Salad, Floral, and Prepared Foods Vertical case: unit length 2.4 m, operating temperature 0.6C"
Coffin - Frozen Food,advanced,LT,281.3,2.2,,,,-23.3,-26.1,0.2,0.85,DewpointMethod,Coffin Latent Curve,8.75,16.4,Always On,0.5,60.4,Constant,0.7,1312.3,ElectricWithTemperatureTermination,15,1,LT Coffin Defrost Sch,25,LT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,"Advanced Frozen Food Coffin: unit length 2.2 m, case operating temperature  -23.3C "
Coffin - Ice Cream,advanced,LT,331.8,2,,,,-27.2,-31.1,0.2,0.85,DewpointMethod,Coffin Latent Curve,8.75,16.4,Always On,0.5,60.4,Constant,0.7,1312.3,ElectricWithTemperatureTermination,15,1,LT Coffin Defrost Sch,25,LT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,"Advanced Ice Cream Coffin: unit length 2.0 m, case operating temperature  -27.2C "
Reach-in - Ice Cream,advanced,LT,419.6,3,,,,-22.2,-26.1,0.1,0.85,DewpointMethod,Glass Door Latent Curve,32.81,28.5,Always On,0.5,41.3,Constant,0.7,955.4,ElectricWithTemperatureTermination,15,1,LT Reach-In Defrost Sch,25,LT Reach-In Drip-Down Sch,DewpointMethod,Glass Door Defrost Curve,0,Always Off,Case Credit Schedule ,"Advanced Ice Cream Reach-In: unit length 3.0m, case operating temperature  -22.2C "
Reach-in - Frozen Food,advanced,LT,398.9,3,,,,-18.3,-21.7,0.1,0.85,DewpointMethod,Glass Door Latent Curve,32.81,28.5,Always On,0.5,41.3,Constant,0.7,955.4,ElectricWithTemperatureTermination,15,1,LT Reach-In Defrost Sch,25,LT Reach-In Drip-Down Sch,DewpointMethod,Glass Door Defrost Curve,0,Always Off,Case Credit Schedule ,"Advanced Frozen Food Reach-In: unit length 3.0m, case operating temperature  -18.3C "
Reach-in - Dairy Deli Beverage Case,advanced,MT,288.5,2.4,,,,1.1,-1.1,0.2,0.85,DewpointMethod,Glass Door Latent Curve,19.7,20.9,Always On,0.5,15.6,Constant,0.7,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced Others Reach-In: unit length 2.4 m, case operating temperature  1.1C "
Reach-in - Meat,advanced,MT,310.8,2.4,,,,1.1,-2.2,0.2,0.85,DewpointMethod,Glass Door Latent Curve,21.3,25.4,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced Meat Reach-In: unit length 2.4 m, case operating temperature  1.1C "
Reach-in - Others,advanced,MT,288.5,2.4,,,,1.1,-1.1,0.2,0.85,DewpointMethod,Glass Door Latent Curve,19.7,20.9,Always On,0.5,15.6,Constant,0.7,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced Others Reach-In: unit length 2.4 m, case operating temperature  1.1C "
Island - Deli Produce,advanced,MT,216.4,1.8,,,,0,-3.9,0.2,0.85,DewpointMethod,Coffin Latent Curve,8.7,16.4,Always On,0.5,52.5,Constant,0.7,1312.3,ElectricWithTemperatureTermination,15,4,MT Coffin Defrost Sch,25,MT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,Advanced MT Deli and Produce Island: unit length 1.8 m operating temperature 0C
Service - Meat Deli Bakery,advanced,MT,764.5,2.4,,,,-0.6,-3.3,0.1,0.85,DewpointMethod,Glass Door Latent Curve,23,15.6,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced MT Meat Service Case: unit length 2.4 m, operating temperature -0.6C"
Service - Others,advanced,MT,721.2,2.4,,,,-0.6,-3.3,0.1,0.85,DewpointMethod,Glass Door Latent Curve,39.4,9.8,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced MT Others Service Case: unit length 2.4 m, operating temperature -0.6C"
Vertical Open - Meat,advanced,MT,1745.3,2.4,,,,-1.1,-5.6,0.3,0.85,DewpointMethod,Open Latent Curve,20,15.9,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced Meat Vertical case: unit length 2.4 m, operating temperature -1.1C"
Vertical Open - Beverage,advanced,MT,1466.5,2.4,,,,2.8,-2.2,0.3,0.85,DewpointMethod,Open Latent Curve,26.7,27.3,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced Beverage Vertical case: unit length 2.4 m, operating temperature 2.8C"
Vertical Open - Others,advanced,MT,1546.3,2.4,,,,-0.6,-3.9,0.3,0.85,DewpointMethod,Open Latent Curve,27.3,24.2,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced Others- Dairy, Salad, Floral, and Prepared Foods Vertical case: unit length 2.4 m, operating temperature -0.6C"
Vertical Open - All,advanced,MT,1546.3,2.4,,,,-0.6,-3.9,0.3,0.85,DewpointMethod,Open Latent Curve,27.3,24.2,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Advanced Others- Dairy, Salad, Floral, and Prepared Foods Vertical case: unit length 2.4 m, operating temperature -0.6C"
