case_name,template,operation_type,rated_capacity,unit_length,number_of_units,total_length,total_capacity,case_operating_temperature,evaporator_temperature,rated_latent_heat_ratio,rated_runtime_fraction,latent_case_credit_curve_type,latent_case_credit_curve_name,fan_power,lighting_power,case_lighting_schedules,fraction_of_lighting_energy_to_case,anti_sweat_power,anti_sweat_heater_control_type,fraction_of_anti_sweat_heater_energy_to_cases,defrost_power,defrost_type,defrost_duration,defrosts_per_day,defrost_schedule,dripdown_duration,drip_down_schedule,defrost_energy_correction_curve_type,defrost_energy_correction_curve_name,HVAC_return_air_fraction,restocking_schedule,case_credit_fraction_schedule,description
Coffin - Frozen Food,old,LT,695.2,2,,,,-26.1,-30,0.2,0.85,DewpointMethod,Coffin Latent Curve,24,0,Always On,0,255,Constant,0.7,1430.4,ElectricWithTemperatureTermination,15,1,LT Coffin Defrost Sch,25,LT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,"Old Ice Cream Coffin: unit length 2.0 m, case operating temperature  -30C "
Coffin - Ice Cream,old,LT,695.2,2,,,,-26.1,-30,0.2,0.85,DewpointMethod,Coffin Latent Curve,24,0,Always On,0,255,Constant,0.7,1430.4,ElectricWithTemperatureTermination,15,1,LT Coffin Defrost Sch,25,LT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,"Old Ice Cream Coffin: unit length 2.0 m, case operating temperature  -30C "
Reach-in - Ice Cream,old,LT,617.4,3,,,,-23.9,-27.4,0.1,0.85,DewpointMethod,Glass Door Latent Curve,70.2,99.1,Always On,0.5,286.7,Constant,0.7,1221.5,ElectricWithTemperatureTermination,15,1,LT Reach-In Defrost Sch,25,LT Reach-In Drip-Down Sch,DewpointMethod,Glass Door Defrost Curve,0,Always Off,Case Credit Schedule ,"Old Ice Cream Reach-In: unit length 3.0m, case operating temperature  -27.4C "
Reach-in - Frozen Food,old,LT,583.7,3,,,,-20,-23.5,0.1,0.85,DewpointMethod,Glass Door Latent Curve,70.2,99.1,Always On,0.5,286.7,Constant,0.7,1221.5,ElectricWithTemperatureTermination,15,1,LT Reach-In Defrost Sch,25,LT Reach-In Drip-Down Sch,DewpointMethod,Glass Door Defrost Curve,0,Always Off,Case Credit Schedule ,"Old Frozen Food Reach-In: unit length 3.0m, case operating temperature  -23.5C "
Island - Deli Produce,old,MT,410,1.8,,,,-2.9,-6.4,0.2,0.85,DewpointMethod,Coffin Latent Curve,50.9,0,Always On,0,63.6,Constant,0.7,856.3,ElectricWithTemperatureTermination,15,4,MT Coffin Defrost Sch,25,MT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,Old MT Deli and Produce Island: unit length 1.8 m operating temperature -2.9C
Reach-in - Dairy Deli Beverage Case,old,MT,282.1,2.4,,,,1.4,-1.1,0.2,0.85,DewpointMethod,Glass Door Latent Curve,21.3,22.7,Always On,0.5,56.6,Constant,0.7,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Old Dairy, Deli, and Beverage Reach-In: unit length 2.4 m, case operating temperature  1.4 C "
Service - Meat Deli Bakery,old,MT,808,2.4,,,,-2.9,-6.4,0.1,0.85,DewpointMethod,Glass Door Latent Curve,31.8,71.5,Always On,0.5,63.3,Constant,0.7,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Old MT Meat, Deli, and Bakery Service Case: unit length 2.4 m, operating temperature -2.9C"
Vertical Open - All,old,MT,1437.6,2.4,,,,0.6,-3.9,0.3,0.85,DewpointMethod,Open Latent Curve,43,72.5,Always On,0.5,,None,,,OffCycle,30,4,,45,,,,0,Always Off,Case Credit Schedule ,"Old Dairy, Meat, Beverage, Salad, Floral, and Prepared Foods Vertical case: unit length 2.4 m, operating temperature 0.6C"
Coffin - Frozen Food,new,LT,206.7,2.2,,,,-21.7,-24.4,0.2,0.85,DewpointMethod,Coffin Latent Curve,6.6,15.3,Always On,0.5,16.9,Constant,0.7,786,ElectricWithTemperatureTermination,15,1,LT Coffin Defrost Sch,25,LT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,"New Frozen Food Coffin: unit length 2.2 m, case operating temperature  -21.7C "
Coffin - Ice Cream,new,LT,240.4,2,,,,-28.3,-31.1,0.2,0.85,DewpointMethod,Coffin Latent Curve,6.6,17.6,Always On,0.5,13.1,Constant,0.7,745,ElectricWithTemperatureTermination,15,1,LT Coffin Defrost Sch,25,LT Coffin Drip-Down Sch,DewpointMethod,Coffin Defrost Curve,0,Always Off,Case Credit Schedule ,"New Ice Cream Coffin: unit length 2.0 m, case operating temperature  -28.3C "
