Automotive facility,WholeBuilding,Automotive facility,WholeBuilding
Convention centre,WholeBuilding,Convention centre,WholeBuilding
Courthouse,WholeBuilding,Courthouse,WholeBuilding
Dining - bar/lounge,WholeBuilding,Dining - bar lounge/leisure,WholeBuilding
Dining - cafeteria,WholeBuilding,Dining - cafeteria/fast food,WholeBuilding
Dining - family,WholeBuilding,Dining - family,WholeBuilding
Dormitory,WholeBuilding,Dormitory,WholeBuilding
Exercise centre,WholeBuilding,Exercise centre,WholeBuilding
Fire station,WholeBuilding,Fire station,WholeBuilding
Gymnasium,WholeBuilding,Gymnasium,WholeBuilding
Health-care clinic,WholeBuilding,Health care clinic,WholeBuilding
Hospital,WholeBuilding,Hospital,WholeBuilding
Hotel,WholeBuilding,Hotel/Motel,WholeBuilding
Motel,WholeBuilding,Hotel/Motel,WholeBuilding
Library,WholeBuilding,Library,WholeBuilding
,WholeBuilding,Long-term care - dwelling units,WholeBuilding
,WholeBuilding,Long-term care - other,WholeBuilding
Manufacturing facility,WholeBuilding,Manufacturing facility,WholeBuilding
Motion picture theatre,WholeBuilding,Motion picture theatre,WholeBuilding
Multi-unit residential,WholeBuilding,Multi-unit residential building,WholeBuilding
Museum,WholeBuilding,Museum,WholeBuilding
Office,WholeBuilding,Office,WholeBuilding
Penitentiary,WholeBuilding,Penitentiary,WholeBuilding
Performing arts theatre,WholeBuilding,Performing arts theatre,WholeBuilding
Police station,WholeBuilding,Police station,WholeBuilding
Post office,WholeBuilding,Post office,WholeBuilding
Religious,WholeBuilding,Religious building,WholeBuilding
Retail,WholeBuilding,Retail area,WholeBuilding
School/university,WholeBuilding,School/university,WholeBuilding
Sports arena,WholeBuilding,Sports arena,WholeBuilding
Parking garage,WholeBuilding,Storage garage,WholeBuilding
Town hall,WholeBuilding,Town hall,WholeBuilding
Transportation,WholeBuilding,Transportation facility,WholeBuilding
Warehouse,WholeBuilding,Warehouse,WholeBuilding
Warehouse - refrigerated,WholeBuilding,Warehouse,WholeBuilding
Workshop,WholeBuilding,Workshop,WholeBuilding
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-A
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-B
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-C
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-D
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-E
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-F
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-G
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-H
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-I
Space Function,Atrium - H < 13m,Space Function,Atrium (height < 6m)-sch-J
