province,units,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Alberta,tCO2e/GWh,958.7,991.3,925.2,916.8,822.5,843.4,794.1,754.5,785.7,789.4,744.9,768.4,765.3,604.3,568.6,530.2,458.3,382.1,304.5,301.4,265.2,226.8,210.2,172.1,165,170.9,166.2,153.9,145,138.4,118.8,106.5,100.3,82.3,77.2,71.4,69.9,70.3,70.9,71.5,71.6,70.6,70.3,68.6,43.9,19.2
British Columbia,tCO2e/GWh,20.7,20,17,25.3,20.9,21.6,9.4,10.1,10.6,6.9,4.6,2.9,2,5.4,11.6,5.3,8.2,5.7,5.1,5.4,5.3,4.2,3.9,3.7,1.5,1.4,1.4,1.3,1.2,1.1,1,0.6,0.6,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Manitoba,tCO2e/GWh,19.4,24,26.7,21,9.6,4.5,5.8,5.4,5.4,5.6,5.6,3.2,3.1,1.8,1.8,1.9,2.6,2.1,1.8,1.1,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
New Brunswick,tCO2e/GWh,613,595.4,539,546.9,549.6,379.4,333.2,281.4,236.6,264.7,259.4,333.3,261.1,281.6,263,182.5,264.5,291.2,298.4,295.7,319.1,306,278.1,266.1,252,37,31.8,24.8,29.1,29,46.9,52.2,65,64.4,27.8,27.7,2.9,2.5,2.5,2.4,1.9,14.3,12.5,10.6,1.2,0.9
Newfoundland and Labrador,tCO2e/GWh,85.8,64.8,106.4,90.3,89.7,76.6,81.7,79.3,86,119.8,148.3,151.8,145.1,105.9,104.7,90.3,74.2,81.4,7.6,6.3,6.3,6.2,6,5.8,6.4,5.6,5.5,5.3,5.2,5.1,5,4.8,5,5.3,5.3,5.2,5.1,4.9,4.5,4.2,4.2,4.1,4.1,4,4,3.9
Northwest Territories,tCO2e/GWh,303.6,275.4,304.7,263.2,205.1,236.3,226.1,115.4,190.2,241.7,352.2,196.2,189.8,202.7,186.1,191.8,192.6,215.5,234.9,175,1,0,0,5.2,4.6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,tCO2e/GWh,927.2,974.9,979,803.5,817.8,741.4,743,726.4,713.3,689.9,643.5,656.2,651.2,684.4,645.1,619.3,582.9,542.4,658.1,605.3,529.8,477.9,461.9,448.1,303.9,88.2,89.7,112,105,98.4,70.6,66.7,63.2,60.5,59,57.2,55.4,46.7,45.9,63.3,60.2,57.1,53.7,50.3,47.1,38.6
Nunavut,tCO2e/GWh,606,507.6,510.1,539,566.8,566.8,482.4,484.2,453.9,567.5,481.8,607.5,574.8,675.3,673.3,616.2,639.8,628.2,788.4,724.3,494.4,456.6,442.9,444.2,456.9,454.3,466.7,410.7,425,449,401,411.4,423.9,378.1,389.3,403.4,361.2,373.9,339.2,304.3,318.7,288.9,257.7,267.9,237.4,208.7
Ontario,tCO2e/GWh,224.3,206,228.7,189,112.2,143.4,91.2,90.9,67.3,40,42.1,36,16.4,25.5,24.8,24.2,26.3,30.2,23.9,55.5,65.3,76.1,56.9,50.4,50,65,55.9,65.8,68.4,76.1,30.5,23.3,19.1,13.6,10.7,13.1,12.9,11.9,11.7,11.5,14,13.8,13.6,13.4,12.5,3.4
Prince Edward Island,tCO2e/GWh,5,8.4,4.8,4,5.3,1.6,1.1,9,3.2,3.4,11.3,3.5,6.5,2.1,0.8,0.2,1.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
Quebec,tCO2e/GWh,3.2,5.1,8.7,2.5,3.5,2.4,2.7,2.5,1.4,1.5,1.3,1.5,1.4,1.4,1.5,1.8,1.5,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saskatchewan,tCO2e/GWh,860.6,813.3,803.3,769.7,872,846.4,797.5,807.8,685.2,700.2,736.8,721.4,703.2,720.6,698.5,615.7,692.9,648.2,542.8,560.6,522.9,515.3,499.4,341.2,330.8,115.3,117.1,108.6,104.3,100.3,48.7,40.4,37,34.9,52.4,58.6,62.6,57.6,53.2,40.8,23.8,23.2,22.9,22.3,21.8,12.6
Yukon,tCO2e/GWh,70,53.4,53.2,51.2,44.6,48.6,68.7,42.8,41.4,41.4,44.6,47.1,53.5,76.2,113.1,111.3,79.3,73.3,120,107.6,7,6.9,6.8,7,8.3,10.2,41.9,48,52.1,52.3,58.9,57.4,55.2,53.2,52.3,46.3,29.8,28.7,27.3,25.2,24.5,24.6,28.5,27.2,27.3,27.6
