building_type,province,fuel_type,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Commercial,Alberta,Electricity,25.42,28.04,31.09,38.67,29.35,24.7,28.18,31.15,49.32,26.99,21.66,22.68,22.75,22.82,22.89,23.79,24.35,24.91,25.47,26.04,26.6,27.16,27.72,28.29,28.85,29.41,29.9,30.38,30.87,31.36,31.84,32.33,32.82,33.31,33.79,34.28,34.77,35.25,35.74,36.23,36.71,37.2,37.69,38.17,38.66,39.15
Commercial,Alberta,Natural Gas,11.35,9.32,8.55,10.25,6.65,5.81,5.34,3.64,3.58,4.8,3.23,3.12,3.14,3.24,2.42,3.3,4.02,4.24,4.89,5.48,6.05,6.62,7.16,7.68,8.16,8.62,9.06,9.5,9.92,10.32,10.7,11.06,11.42,11.75,12.08,12.39,12.68,12.96,13.23,13.49,13.73,13.96,14.17,14.35,14.52,14.65
Commercial,Alberta,Oil,24.19,25.38,26.83,32.25,23.62,26.3,28.1,29.98,27.54,33.15,24.97,22.73,26.01,30.6,28.8,25.38,30.85,31.23,31.79,32.11,32.47,32.84,33.7,34.51,35.23,35.9,36.41,36.92,37.37,37.79,38.2,38.59,38.97,39.3,39.64,39.98,40.32,40.67,41.01,41.36,41.68,41.97,42.25,42.44,42.6,42.67
Commercial,British Columbia,Electricity,20.21,19.55,19.43,19.52,20.98,21.58,19.85,22.88,24.18,25.66,27.36,28.31,28.73,29.03,29.16,29.21,29.26,29.32,29.37,29.42,29.48,29.53,29.58,29.64,29.69,29.74,29.8,29.85,29.91,29.96,30.01,30.07,30.12,30.18,30.23,30.29,30.34,30.4,30.45,30.5,30.56,30.62,30.67,30.73,30.78,30.73
Commercial,British Columbia,Natural Gas,14.06,14.72,14.44,14.16,15.53,15.98,14.38,13.54,13.35,14.05,13.35,9.65,11.19,10.83,11.33,10.91,11.63,11.85,12.47,13.03,13.57,14.1,14.61,15.1,15.56,15.99,16.4,16.82,17.21,17.59,17.95,18.3,18.63,18.94,19.25,19.55,19.82,20.08,20.34,20.58,20.82,21.03,21.22,21.39,21.54,21.66
Commercial,British Columbia,Oil,27.96,27.7,28.32,34.92,26.7,30.25,34.07,35.69,36.97,38.05,32.08,29.7,33.99,38.73,37.13,32.06,37.29,36.78,37.26,37.5,37.78,38.07,38.85,39.59,40.25,40.85,41.3,41.75,42.15,42.52,42.88,43.23,43.56,43.85,44.14,44.45,44.75,45.06,45.36,45.67,45.96,46.22,46.45,46.61,46.74,46.78
Commercial,Manitoba,Electricity,19.23,18.46,18.13,17.28,18.93,19.11,18.86,19.01,19.14,19.58,20.34,20.99,21.21,21.42,21.64,22.39,22.44,22.21,22.21,22.33,22.33,22.42,22.46,22.47,22.47,22.47,22.53,22.62,22.7,22.84,22.93,23.08,23.24,23.4,23.64,23.83,24.07,24.26,24.46,24.65,24.88,25.06,25.29,25.47,25.72,25.94
Commercial,Manitoba,Natural Gas,12.17,11.21,10.55,10.67,9.88,8.46,7.25,5.7,5.9,6.71,6.65,7,7.51,6.21,5.6,7.1,7.81,8.04,8.69,9.27,9.85,10.41,10.95,11.47,11.95,12.41,12.85,13.29,13.71,14.11,14.49,14.86,15.21,15.54,15.87,16.19,16.47,16.75,17.02,17.28,17.53,17.75,17.96,18.15,18.31,18.44
Commercial,Manitoba,Oil,23.94,24.14,25.65,31.69,22.97,25.68,30.04,30.26,30.64,31.88,24.39,21.73,23.78,28.41,28,23.26,28.47,28.78,29.24,29.44,29.7,29.97,30.8,31.58,32.27,32.9,33.37,33.85,34.27,34.66,35.03,35.4,35.75,36.04,36.35,36.66,36.97,37.29,37.61,37.92,38.22,38.48,38.72,38.89,39.02,39.06
Commercial,New Brunswick,Electricity,34.51,34.16,34.69,35.43,37.35,36.34,36.25,35.82,35.22,35.23,36.25,36.55,36.59,36.62,36.66,37.52,40.11,40.71,41.31,41.91,42.51,43.11,43.71,44.31,44.92,45.52,46.12,46.72,47.32,47.92,48.52,49.12,49.72,50.32,50.93,51.53,52.13,52.73,53.33,53.93,54.53,55.13,55.73,56.33,56.94,57.54
