Sys_type,Supply_air,Htg,Clg,Backup_Htg,source,type,id_layers,Id_layers_quantity_multipliers
1,1000,elec,none,none,rs-means,unitary,"301,850,851","1,.328,32.8"
1,1000,elec,DX,none,rs-means,unitary,"301,850,851","1,.328,32.8"
1,1000,elec,CHW,none,rs-means,unitary,"301,73,25,14,82,88,96,101,114,117,124,850,851,134,145","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1"
1,1000,elec,HP,none,rs-means,unitary,"301,850,851","1,.328,32.8"
1,1000,HP,none,elec,rs-means,unitary,"301,850,851","1,.328,32.8"
1,1000,HP-e,none,,rs-means,unitary,"301,850,851","1,0.328,32.8"
1,1000,HP-g,none,,rs-means,unitary,"301,2,150,850,851","1,1,1,0.328,32.8"
1,1000,HP-hw,none,,rs-means,unitary,"301,72,24,13,81,87,95,100,114,116,123,850,851,134,145","1,32.8,32.8,2,2,2,2,2,2,1,1,0.328,32.8,1,1"
1,1000,HP-o,none,,rs-means,unitary,"301,3,150,850,851","1,1,1,0.328,32.8"
1,1000,HP,CHW,elec,rs-means,unitary,"301,73,25,14,82,88,96,101,114,117,124,850,851,134,145","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1"
1,1000,HP-e,CHW,,rs-means,unitary,"301,73,25,14,82,88,96,101,114,117,124,850,851,134,145","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1"
1,1000,HP-g,CHW,,rs-means,unitary,"301,73,25,14,82,88,96,101,114,117,124,850,851,134,145,2,150","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1,1,1"
1,1000,HP-hw,CHW,,rs-means,unitary,"301,73,25,14,82,88,96,101,114,117,124,850,851,134,145,72,24,13,81,87,95,100,114,116,123","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1,32.8,32.8,2,2,2,2,2,1,1,1"
1,1000,HP-o,CHW,,rs-means,unitary,"301,73,25,14,82,88,96,101,114,117,124,850,851,134,145,3,150","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1,1,1"
1,1000,HP,HP,elec,rs-means,unitary,"301,850,851","1,.328,32.8"
1,1000,HP-e,HP,,rs-means,unitary,"301,850,851","1,0.328,32.8"
1,1000,HP-g,HP,,rs-means,unitary,"301,2,150,850,851","1,1,1,0.328,32.8"
1,1000,HP-hw,HP,,rs-means,unitary,"301,72,24,13,81,87,95,100,114,116,123,850,851,134,145","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1"
1,1000,HP-o,HP,,rs-means,unitary,"301,3,150,850,851","1,1,1,0.328,32.8"
1,1000,CCASHP,CCASHP,elec,rs-means,unitary,"301,850,851,1307","1,0.328,32.8,1"
1,1000,CCASHP-e,CCASHP,,rs-means,unitary,"301,850,851,1307","1,0.328,32.8,1"
1,1000,CCASHP-g,CCASHP,,rs-means,unitary,"301,2,150,850,851,1307","1,1,1,0.328,32.8,1"
1,1000,CCASHP-hw,CCASHP,,rs-means,unitary,"301,72,24,13,81,87,95,100,114,116,123,850,851,134,145,1307","1,32.8,32.8,2,2,2,2,2,1,1,1,0.328,32.8,1,1,1"
1,1000,CCASHP-o,CCASHP,,rs-means,unitary,"301,3,150,850,851,1307","1,1,1,0.328,32.8,1"
