province_state,city,latitude,longitude,source
ALBERTA,EDMONTON,53.53,-114.1,google
ALBERTA,FORT MCMURRAY,56.65,-111.22,google
ALBERTA,LETHBRIDGE,49.63,-112.8,google
ALBERTA,RED DEER,52.26,-113.81,google
ALBERTA,LLOYDMINSTER,53.27,-110.0,google
ALBERTA,CALGARY,51.12,-114.02,google
ALBERTA,MEDICINE HAT,50.02,-110.72,google
BRITISH COLUMBIA,VICTORIA,48.65,-123.43,google
BRITISH COLUMBIA,KAMLOOPS,50.7,-120.45,google
BRITISH COLUMBIA,PRINCE GEORGE,53.88,-122.68,google
BRITISH COLUMBIA,VANCOUVER,49.18,-123.17,google
MANITOBA,BRANDON,49.92,-99.95,google
MANITOBA,PORTAGE LA PRAIRIE,49.97,-99.29,google
MANITOBA,WINNIPEG,49.9,-97.23,google
NEW BRUNSWICK,SAINT JOHN,45.32,-65.88,google
NEW BRUNSWICK,BATHURST,47.618,-65.651,google
NEW BRUNSWICK,FREDERICTON,45.87,-66.53,google
NEW BRUNSWICK,NEWCASTLE,47.0015,-65.56,google
NEW BRUNSWICK,DALHOUSIE,48.0658,-66.37,google
NEW BRUNSWICK,MONCTON,46.0878,-64.7782,google
NEWFOUNDLAND,CORNER BROOK,48.949,-57.9503,google
NEWFOUNDLAND,ST JOHNS,47.62,-52.73,google
NOVA SCOTIA,BRIDGEWATER,44.3721,-64.5209,google
NOVA SCOTIA,NEW GLASGOW,45.587,-62.6451,google
NOVA SCOTIA,TRURO,45.37,-63.27,google
NOVA SCOTIA,YARMOUTH,43.8375,-66.1174,google
NOVA SCOTIA,DARTMOUTH,44.6652,-63.5677,google
NOVA SCOTIA,HALIFAX,44.6488,-63.5752,google
NOVA SCOTIA,SYDNEY,46.17,-60.05,google
NWT,YELLOWKNIFE,62.454,-114.3718,google
ONTARIO,BARRIE,44.3894,-79.6903,google
ONTARIO,HAMILTON,43.2557,-79.8711,google
ONTARIO,OTTAWA,45.32,-75.67,google
ONTARIO,ST CATHARINES,43.1594,-79.2469,google
ONTARIO,THUNDER BAY,48.37,-89.32,google
ONTARIO,BRANTFORD,43.1394,-80.2644,google
ONTARIO,OWEN SOUND,44.569,-80.9406,google
ONTARIO,SARNIA,42.9745,-82.4066,google
ONTARIO,TIMMINS,48.57,-81.37,google
ONTARIO,PETERBOROUGH,44.3091,-78.3197,google
ONTARIO,TORONTO,43.67,-79.63,google
ONTARIO,WINDSOR,42.27,-82.97,google
ONTARIO,CORNWALL,45.0215,74.7303,google
ONTARIO,LONDON,43.03,-81.15,google
ONTARIO,SAULT STE MARIE,46.48,-84.52,google
ONTARIO,SUDBURY,46.46,-81.01,google
ONTARIO,KINGSTON,44.22,-76.6,google
ONTARIO,NORTH BAY,46.35,-79.43,google
ONTARIO,KITCHENER,43.4503,-80.4832,google
ONTARIO,OSHAWA,43.8971,-78.8658,google
PRINCE EDWARD ISLAND,CHARLOTTETOWN,46.28,-63.13,google
PRINCE EDWARD ISLAND,SUMMERSIDE,46.3934,-63.7902,google
QUEBEC,LAVAL,45.6066,-73.7124,google
QUEBEC,MONTREAL,45.47,-73.75,google
QUEBEC,QUEBEC,46.8,-71.38,google
QUEBEC,CHICOUTIMI,48.3517,-71.1385,google
QUEBEC,HULL,45.4287,-75.7134,google
QUEBEC,ST JEROME,45.7754,-74.0049,google
QUEBEC,JOLIETTE,46.014,-73.4178,google
QUEBEC,GATINEAU,45.4765,-75.7013,google
QUEBEC,RIMOUSKI,48.439,-68.535,google
QUEBEC,TROIS RIVIERES,46.3547,-72.5838,google
QUEBEC,CAP-DE-LA-MADELEINE,46.3626,-72.5067,google
QUEBEC,GRANBY,45.4032,-72.7341,google
QUEBEC,ROUYN-NORANDA,48.2342,-79.0188,google
QUEBEC,SHERBROOKE,45.43,-71.68,google
QUEBEC,CHARLESBOURG,46.8997,-71.2865,google
QUEBEC,SAINT HYACINTHE,45.6307,-72.9563,google
QUEBEC,SOREL,46.0428,-73.1123,google
SASKATCHEWAN,MOOSE JAW,50.39.16,-105.5349,google
SASKATCHEWAN,REGINA,50.43,-104.67,google
SASKATCHEWAN,SASKATOON,52.17,-106.68,google
SASKATCHEWAN,PRINCE ALBERT,53.2033,-105.7531,google
YUKON,WHITEHORSE,60.72,-135.07,google
