materials_opaque_id,description,type,quantity,per m2,Product Category,Embodied Carbon (A1-A5),Embodied Carbon (A-C),Environmental Product Declaration (EPD)
1,gypsum wallboard 0.5 in thick,Unit,1.0,1.0,"Solid Sheets, gypsum board, fiber, 13 mm",2.634,1.806,"Lightwieight gypsum boards for wall and ceiling, 12.7 mm (1/2 in), 6.5 kg/m2, 2438-4877 x 1219 mm, 1/2 in. Sheetrock ® Brand Ultralight Panels  (USG)"
2,"standard wood studs with single bottom plate and double top plate, 16"" O.C., pneumatic nailer",Assembly,0.1,0.011,"Wood Rigid Profiles, softwood lumber",0.11,4.292,"Softwood lumber, kiln-dried and planed, 19 mm, 460 kg/m3, 15% moisture content (American Wood Council, Canadian Wood Council)"
3,polyethylene 4 ml vapour barrier,Unit,0.01,1.0,"Vapor Barriers, polyethylene, 3 mil",0.125,3.485,"Polyethylene vapour barrier membrane, 0.15 mm, 0.14 kg/m2 (One Click LCA)"
4,"foil face fibreglass batts, 5"" thick, 15"" wide, RSI 3.36",Unit,1.0,0.127,"Blanket Thermal Insulation, fiberglass",13.296,10.394,Average
5,"plywood sheathing, CDX, 0.5 in, pneumatic nailer",Unit,1.0,0.0127,"Solid Sheets, softwood plywood",11.218,5.299,"Softwood plywood, 477.33 kg/m3 (Canadian Wood Council)"
6,"weather barrier, spunbonded polyethylene",Unit,1.0,1.0,"Vapor Barriers, polyethylene, 3 mil",0.545,5.773,"Polyethylene vapour barrier membrane, 0.15 mm, 0.14 kg/m2 (One Click LCA)"
7,"wood siding T&G ""B"" grade",Unit,1.0,1.0,"Wood Exterior Siding, tongue and groove",15.686,15.397,Average
8,"joint sealants. tapes, foam, adhesive ",Assembly,0.001,0.05,"Construction Sealants, exterior",0.589,0.354,"Resinous components for structural strengthening, sealing and bonding, 1650 kg/m3, Sikadur-30 (Sika Canada)"
9,"waterproof sealer, 1 coat, sprayed",Unit,1.0,1.0,"Fluid Applied Waterproofing, cold applied",0.686,58.436,"Concrete waterproofer, 0.162 kg/m2, 980 N/A White (Behr Process LLC)"
10,"stains, paints, 2 coats sprayed",Unit,1.0,0.182,"General Purpose Paints and Varnishes, water based latex, 2 coats",0.91,6.971,"Acrylic paint, semi-gloss finish, 0.118 kg/m2, 8020, 7020 (MF Paints)"
11,"galvanized LB studs, 16 ga x 3-5/8\"" W studs 16\"" O.C. x 10' H, incl galvanized top & bottom track, excl openings, headers, beams, bracing & bridging",Unit,0.1,4.3,"Ferrous Metal Rigid Profiles, galvanized steel stud",17.135,10.424,"Galvanized steel stud framing profiles per m2 (air gap included), UD and CD profiles included, wing width: 6 mm, flange width:50 mm, steel thicnkess:0.6 mm (23 gauge), 450 mm spacing, 2.4 kg/m2 (One Click LCA)"
12,Polymer  EIFS with 2 in EPS and finish,Unit,1.0,1.5,,56.461,5.164,
13,"standard wood studs with single bottom plate and double top plate, 16"" O.C.",Assembly,1.0,0.011,"Wood Rigid Profiles, softwood lumber",2.594,1.272,"Softwood lumber, kiln-dried and planed, 19 mm, 460 kg/m3, 15% moisture content (American Wood Council, Canadian Wood Council)"
14,"vinyl siding, clapboard profile, woodgrain texture, 0.048 "" thick, 8"" width",Unit,1.0,1.0,"Plastic Exterior Siding, vinyl",1.488,14.362,"Horizontal vinyl siding, T: 0.04 inches, L: 12 ft, W: 0.75 ft, 89.27 lbs/ft3 (VSI)"
15,"aluminum flashing, mill finish. 0.013 "" thick",Assembly,1.0,1.3,"Roof Flashings, aluminum",57.84,44.589,"Thermally improved aluminium extrusions (profiles), mill finished (Aluminum Extruders Council (AEC))"
16,"metal decking strips, galvanized, 18 gauge",Unit,0.0766,9.5,"Thin Sheets, galvanized steel decking",86.005,86.418,"Steel roof and floor deck, North America average, 38-76 mm (Steel Deck Institute)"
17,"10 yr finish metal siding, 24 gauge, 0.0239 "" thick with fasteners",Unit,1.0,1.0,"Metal Exterior Siding, steel",77.052,19.698,Average
18,"aluminum closure strips, mill finish. 0.032 "" thick",Unit,0.111,2.19,"Roof Flashings, aluminum",15.105,70.23,"Thermally improved aluminium extrusions (profiles), mill finished (Aluminum Extruders Council (AEC))"
19,"joint sealants. tapes, foam, adhesive ",Assembly,0.00397,0.05,"Construction Sealants, exterior",0.02,0.605,"Resinous components for structural strengthening, sealing and bonding, 1650 kg/m3, Sikadur-30 (Sika Canada)"
20,"Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar",Unit,1.0,1.0,Face Bricks,81.246,22.534,"Clay bricks, 2060 kg/m3, 15.70% moisture content (Shaw Group)"
21,"Lintel angle, structural, unpainted, under 500 lb., shop fabricated",Unit,1.0,4.0,"Ferrous Metal Rigid Profiles, structural steel",25.797,38.542,"Cold roll formed  steel sections, 7800 kg/m3 (Canadian Sheet Steel Building Institute (CSSBI))"
22,"Sheet metal flashing, 0.019"" thick",Assembly,0.1,3.79,"Roof Flashings, metal",14.069,1.326,"Cold roll formed steel panels, 7800 kg/m3 (Canadian Sheet Steel Building Institute (CSSBI))"
23,"standard wood studs with single bottom plate and double top plate, 16"" O.C.",Assembly,1.0,0.011,"Wood Rigid Profiles, softwood lumber",4.449,4.289,"Softwood lumber, kiln-dried and planed, 19 mm, 460 kg/m3, 15% moisture content (American Wood Council, Canadian Wood Council)"
24,"Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout",Unit,1.0,13.0,"Concrete Blocks, 190 mm",32.2,49.677,"Medium density concrete block, solid, 440 x 215 x 100mm (17x8x4in), 1425 kg/m3, 13.25 kg/unit (One Click LCA)"
25,"masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally",Unit,0.008,1.8,"Reinforcement Components, steel bars",0.785,0.837,"Rebar - fabricated, Carbon Leadership Forum benchmark, ASTM A615, ASTM A706, 7850 kg/m3 (Concrete Reinforcing Steel Institute (CRSI))"
26,masonry #5 and #6 reinforcing bars placed vertically,Unit,0.43,15.18,"Reinforcement Components, steel bars",38.911,25.115,"Rebar - fabricated, Carbon Leadership Forum benchmark, ASTM A615, ASTM A706, 7850 kg/m3 (Concrete Reinforcing Steel Institute (CRSI))"
27,"Control joint, PVC",Unit,0.05,0.05,"Construction Sealants, exterior",0.036,0.39,"Resinous components for structural strengthening, sealing and bonding, 1650 kg/m3, Sikadur-30 (Sika Canada)"
28,"Grout, 8"" thick including pumping",Unit,0.188,487.0,"Concrete Grouts, nonmetallic",177.368,157.496,Average
29,"XPS, 25 PSI, 3"" RSI 2.64 modified to 3.75"" RSI 3.33",Unit,1.0,0.09525,"Slab and Board Thermal Insulation, extruded polystyrene",173.407,17.155,Average
30,"fibreglass batts, 3.5 in thick RSI2.29",Unit,1.0,0.0889,"Blanket Thermal Insulation, fiberglass",7.7,8.116,Average
31,"80 ton erection crane, truck mounted",Unit,0.000116,,,0.0,0.0,
32,"C.I.P. forms, wood to 10 inches high, including erecting, bracing, stripping cleaning",Unit,0.24,,,0.0,0.0,
33,"Form aligner for C.I.P. footing forms, material only",Unit,0.056,,,0.0,0.0,
34,"Slab lifting inserts, galvanized, 1"" diameter by 10"" high material only",Unit,8e-05,,,0.0,0.0,
35,"Welded wire fabric sheets 6""x6"" 42 lbs per Ft2, excludes accessories",Unit,0.02,2.05,"Reinforcement Components, welded wire fabric",2.754,6.406,"Rebar - fabricated, Carbon Leadership Forum benchmark, ASTM A615, ASTM A706, 7850 kg/m3 (Concrete Reinforcing Steel Institute (CRSI))"
36,"Structural concrete, 3000 PSI, 6"" thick includes, levelling, excludes additives and treatment",Unit,0.0125,360.0,Structural Concrete,53.666,103.28,Average
37,"Concrete surface treatment, sprayed membrane compound",Unit,0.01,1.0,"Floor Treatment Products, concrete sealer",1.201,1.878,"Concrete waterproofer, 0.162 kg/m2, 980 N/A White (Behr Process LLC)"
38,"Tilt-up panel release agent, 1 gal/700ft2",Unit,0.000285,,,0.0,0.0,
39,"Angle framing structural steel, field fabricated",Unit,0.19,1.23,"Ferrous Metal Rigid Profiles, structural steel",6.916,8.537,"Fabricated hot-rolled structural steel sections, unpainted, 7800 kg/m3 (487 lb/ft3) (CISC)"
40,"XPS, 25 PSI, 2"" RSI 1.76",Unit,1.0,0.05,"Slab and Board Thermal Insulation, extruded polystyrene",82.734,6.69,Average
41,"Precast panel, 4 ft x 8 ft smooth white face finish, 4 inch thick, includes erection on prepared openings",Unit,1.0,0.114,Precast Structural Concrete,229.943,139.394,"Precast concrete panel for Canadian eastern region, Fly ash 1.74% (Canadian Precast Concrete Institute)"
42,"XPS, 25 PSI, 2 sheets of 2"" RSI 1.76 each total 4"" RSI 3.52",Unit,1.0,0.114,"Slab and Board Thermal Insulation, extruded polystyrene",266.981,45.471,Average
43,"fibreglass batts, 6 in thick RSI 3.35",Unit,1.0,0.154,"Blanket Thermal Insulation, fiberglass",18.22,9.765,Average
44,"C.I.P. forms, plywood to 8ft  high, including erecting, bracing, stripping cleaning",Unit,2.0,,,0.0,0.0,
45,"Reinforcing Steel, #3 to #7, includes labour for accessories, but excludes accessories",Unit,0.000376,12.0,"Reinforcement Components, steel bars",12.977,28.483,"Rebar - fabricated, Carbon Leadership Forum benchmark, ASTM A615, ASTM A706, 7850 kg/m3 (Concrete Reinforcing Steel Institute (CRSI))"
46,"Structural concrete, 3000 PSI, 6"" thick includes pumping, levelling, consolidation, excludes additives and treatment",Unit,0.018,360.0,Structural Concrete,220.485,216.785,Average
47,"Concrete finishing, surface treatment, patching, tie break-off",Unit,2.0,,,0.0,0.0,
48,"Steel siding, factory panel, galvanized, 22 gauge, colored 1 side and baked enamal exterior finish, includes 2 in. polystyrene modified to 3"" PS",Unit,1.0,1.0,"Exterior Wall Cladding, insulated metal panel",56.618,97.472,Average
49,"fibreglass batts, 3.5 in thick RSI2.29 modified to 5 inch batt RSI 3.05",Unit,1.0,0.127,"Blanket Thermal Insulation, fiberglass",8.528,10.525,Average
50,"Spandrel glass 3/8"" plate",Unit,1.0,1.0,"Solid Sheets, glass",79.71,137.458,"Argon gas filled insulating glass unit (IGU) with tempered glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
51,Aluminum panel with 2 inches fibreglass,Unit,1.0,2.0,,187.757,298.64,
52,"22 gauge sheet metal galvanized with 2"" fibreglass, polyvinyl exterior finish",Unit,1.0,3.0,,99.614,103.097,
53,"foil face fibreglass batts, 6 "" thick, 15"" wide, RSI 3.52",Unit,1.0,0.152,"Blanket Thermal Insulation, fiberglass",13.367,14.024,Average
