materials_opaque_id,description,type,quantity,per m2,Product Category,Embodied Carbon (A1-A5),Embodied Carbon (A-C),Environmental Product Declaration (EPD)
54,"0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)",Unit,1.0,0.386,"Slab and Board Thermal Insulation, extruded polystyrene",14.608,9.459,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
55,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.5"" sheets: total 5"" RSI 4.4",Unit,1.0,0.127,"Slab and Board Thermal Insulation, extruded polystyrene",152.454,282.183,Average
56,"Isoboard, 1"" thick, RSI .98",Unit,1.0,0.0254,"Slab and Board Thermal Insulation, extruded polystyrene",46.973,43.565,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
57,"XPS, 25 PSI, 2"" RSI 1.76",Unit,1.0,0.05,"Slab and Board Thermal Insulation, extruded polystyrene",221.524,128.215,Average
58,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.25"" sheets RSI 4",Unit,1.0,0.114,"Slab and Board Thermal Insulation, extruded polystyrene",314.85,205.514,Average
59,"XPS, 25 PSI, 2"" RSI 1.76 modified to 3 x 2"" sheets RSI 5.28",Unit,1.0,0.154,"Slab and Board Thermal Insulation, extruded polystyrene",535.45,747.559,Average
60,"fibreglass batts, 6 in thick RSI3.35",Unit,1.0,0.154,"Blanket Thermal Insulation, fiberglass",2.074,17.015,Average
61,"Polyurethane foam lining of spandrel panel, 1 "" RSI 1.14",Unit,1.0,0.0254,"Slab and Board Thermal Insulation, urethane",9.12,7.264,Average
62,"Polyurethane foam lining of spandrel panel, 1 "" RSI 1.14",Unit,1.0,0.0254,"Slab and Board Thermal Insulation, urethane",6.456,8.503,Average
63,"Isoboard, 1.5"" thick, RSI 1.38",Unit,1.0,0.0381,"Slab and Board Thermal Insulation, extruded polystyrene",31.605,11.477,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
64,"Polyurethane Foam 4.5"" thick, RSI 5.15 modifed to 5"" foaming RSI 5.67",Unit,1.0,0.127,"Slab and Board Thermal Insulation, urethane",50.019,44.506,Average
65,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.5"" sheets: total 5"" RSI 4.4",Unit,1.0,0.127,"Slab and Board Thermal Insulation, extruded polystyrene",123.637,583.983,Average
66,"Polyurethane foam lining of spandrel panel, 2 "" RSI 2.2",Unit,1.0,0.0508,"Slab and Board Thermal Insulation, urethane",5.411,18.3,Average
67,"Isoboard sheathing, 2"" thick RSI 1.93",Unit,1.0,0.05,"Slab and Board Thermal Insulation, extruded polystyrene",70.573,28.131,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
68,"Polyurethane Foam 4.5"" thick, RSI 5.15 modified to 5.5"" foaming RSI 6.18",Unit,1.0,0.139,"Slab and Board Thermal Insulation, urethane",24.155,49.128,Average
69,"fibreglass batts, 6 in thick RSI 3.34",Unit,1.0,0.154,"Blanket Thermal Insulation, fiberglass",1.529,8.895,Average
70,"Isoboard sheathing, 3"" thick RSI 2.88   2 sheets 6"" RSI 5.76",Unit,1.0,0.154,"Slab and Board Thermal Insulation, extruded polystyrene",61.619,112.774,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
71,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.5"" sheets: total 5"" RSI 4.4",Unit,1.0,0.127,"Slab and Board Thermal Insulation, extruded polystyrene",325.36,254.895,Average
72,"Polyurethane foam lining of spandrel panel, 3 "" RSI 3.42",Unit,1.0,0.076,"Slab and Board Thermal Insulation, urethane",21.607,48.124,Average
73,"Isoboard 3"" RSI 2.9, modified to 3.75"" sheet RSI 3.63",Unit,1.0,0.095,"Slab and Board Thermal Insulation, extruded polystyrene",28.474,18.556,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
74,"gypsumboard, 0.5 in. fire rated, no finish or taping",Unit,1.0,0.0127,"Solid Sheets, gypsum board, fiber, 13 mm",8.0,5.212,"Lightwieight gypsum boards for wall and ceiling, 12.7 mm (1/2 in), 6.5 kg/m2, 2438-4877 x 1219 mm, 1/2 in. Sheetrock ® Brand Ultralight Panels  (USG)"
75,"Isoboard 3"" RSI 2.9, modified to 4"" sheet RSI 3.85",Unit,1.0,0.1,"Slab and Board Thermal Insulation, extruded polystyrene",4.523,29.213,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
76,"Isoboard 4"" RSI 3.87 modified to 2x2.5"" sheets RSI 4.84",Unit,1.0,0.127,"Slab and Board Thermal Insulation, extruded polystyrene",53.408,98.006,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
77,"Isoboard 4"" RSI 3.87 modfied to 2 x 2.75"" sheets RSI 5.15",Unit,1.0,0.13,"Slab and Board Thermal Insulation, extruded polystyrene",54.818,60.119,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
78,"Polyurethane foam, closed cell, 4"", RSI 4.10 modified to 6""foaming RSI 6.15",Unit,1.0,0.152,"Slab and Board Thermal Insulation, urethane",18.434,35.933,Average
79,"Fibreglass Foil Faced 3 "" RSI 2.29",Unit,1.0,0.076,"Blanket Thermal Insulation, fiberglass",0.904,2.343,"Fiberglass insulation in rolls and batts, foil-faced, R = 1 m2/KW, 39.8 mm, 0.644 kg/unit, Foil-faced EcoBatt®, EcoRoll (Knauff Insulation, Albion plant)"
80,"XPS, 25 PSI, 3"" RSI 2.64",Unit,1.0,0.076,"Slab and Board Thermal Insulation, extruded polystyrene",272.047,280.221,Average
81,"Fibreglass Foil Faced High Density  3 "" RSI 2.64",Unit,1.0,0.076,"Blanket Thermal Insulation, fiberglass",3.492,2.642,"Fiberglass insulation in rolls and batts, foil-faced, R = 1 m2/KW, 39.8 mm, 0.644 kg/unit, Foil-faced EcoBatt®, EcoRoll (Knauff Insulation, Albion plant)"
82,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 sheets 4"" RSI 3.52",Unit,1.0,0.101,"Slab and Board Thermal Insulation, extruded polystyrene",108.02,107.441,Average
83,"Fibreglass Foil Faced 6 "" RSI 3.7",Unit,1.0,0.152,"Blanket Thermal Insulation, fiberglass",14.268,8.154,"Fiberglass insulation in rolls and batts, foil-faced, R = 1 m2/KW, 39.8 mm, 0.644 kg/unit, Foil-faced EcoBatt®, EcoRoll (Knauff Insulation, Albion plant)"
84,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 sheets 4"" RSI 3.52",Unit,1.0,0.101,"Slab and Board Thermal Insulation, extruded polystyrene",314.019,287.012,Average
85,"XPS, 25 PSI, 3"" RSI 2.64 modified to 1x 3"" sheet and 1x 2.25"" sheet RSI 4.63",Unit,1.0,0.133,"Slab and Board Thermal Insulation, extruded polystyrene",630.418,588.993,Average
86,"Polyurethance foam, 6"" RSI 5.28",Unit,1.0,0.152,"Slab and Board Thermal Insulation, urethane",42.219,2.693,Average
87,"asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck",Unit,0.01,1.0,"Roof Underlayment, rubberized asphalt",18.894,2.128,"Bitumen roofing membrane, hot mopped, M/M, 2.13 lbs/ft2 (Soprema)"
88,"plywood underlayment 0.5"" thick",Unit,1.0,0.0127,"Solid Sheets, softwood plywood",10.94,7.68,"Softwood plywood, 477.33 kg/m3 (Canadian Wood Council)"
89,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI modifed to 1x4"" + 1x1.25"" sheets RSI 4.4",Unit,1.0,0.133,"Slab and Board Thermal Insulation, extruded polystyrene",318.332,570.12,Average
90,"Spruce Wood decking, 2 "" thick",Unit,1.0,0.05,"Wood Flooring, engineered factory finished",9.689,5.121,"Planned redwood decking, thickness range: 8 - 22mm, 3.04kg/m2, 380 kg/m3 oven-dry, moisture content < 13% (One Click LCA)"
91,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI",Unit,1.0,0.101,"Slab and Board Thermal Insulation, extruded polystyrene",81.154,55.33,Average
92,"Fibreglassboard, 1-5/16 inches thick RSI 0.92",Unit,1.0,0.007,"Blanket Thermal Insulation, fiberglass",1.878,1.909,"Fiberglass insulation, 44 mm, R = 1 m2K/W, 0.354 kg/m2, PINK Next Gen™ Fiberglas™ Insulation, unfaced (Owens Corning)"
93,"Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge",Unit,1.0,10.5,"Structural Roof Decks, metal",55.625,34.06,"Steel roof and floor deck, North America average, 38-76 mm (Steel Deck Institute)"
94,"60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping",Unit,0.01,1.0,"Single Layer Roof Membranes, ethylene propylene diene monomer (EPDM), 60 mil",16.694,5.051,"TPO Single ply waterproofing roof membrane (mechanically fastened), 60 mils: 1.55 kg/m2 (Single Ply Roofing Industry)"
95,"Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2",Unit,0.01,3.99,"Exterior Metal Roof Panels, insulated, 50 mm",11.342,2.31,"Hot-dip galvanized steel sheets, Steel thickness range: 0.4-3.0 mm (0.015-0.12 in), zinc coating: 20 μm (787.4 µin) (0.28kg/m2 / 0.057 lbs/ft2  sheet steel), 100% recycled content (One Click LCA)"
96,"Asphalt felt, #15",Unit,1.0,1.0,"Roof Underlayment, organic felt, #15 ",9.136,6.55,"Hot-applied rubberized asphalt membrane, waterproofing, 5.56 mm (219 mils), 6.39 kg/m2 (1.3 lb/ft2), Monolithic Membrane 6125 (MM6125) (Hydrotech Membrane Corp (2023))"
97,Plywood underlayment 0.75' thick,Unit,1.0,0.019,"Solid Sheets, softwood plywood",10.796,3.732,"Softwood plywood, 477.33 kg/m3 (Canadian Wood Council)"
98,"Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer",Unit,0.01,1.0,"Fiberglass Siding, 19 mm",23.596,18.009,"Fiberglass asphalt shingle roofing system, 12.7 kg/m2 (Asphalt Roofing Manufacturers Association (ARMA))"
99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)",Unit,1.0,0.241,"Blanket Thermal Insulation, kraft paper faced fiberglass",26.362,19.333,"Fiberglass batt insulation, kraft faced, 1 m2K/W, 35 mm, 12.03 kg/m3, 0.421 kg/m2 (North American Insulation Manufacturers Association (NAIMA))"
100,"Isoboard, 1.5 in thick RSI 1.48",Unit,1.0,0.0381,"Slab and Board Thermal Insulation, extruded polystyrene",16.787,5.456,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
101,"12"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 6.69)",Unit,1.0,0.3,"Blanket Thermal Insulation, kraft paper faced fiberglass",10.648,27.818,"Fiberglass batt insulation, kraft faced, 1 m2K/W, 35 mm, 12.03 kg/m3, 0.421 kg/m2 (North American Insulation Manufacturers Association (NAIMA))"
102,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI modifed to 1x4"" + 1x2"" sheets RSI 5.28",Unit,1.0,0.152,"Slab and Board Thermal Insulation, extruded polystyrene",237.606,643.136,Average
103,"Isoboard, 0.75 in thick RSI .72",Unit,1.0,0.019,"Slab and Board Thermal Insulation, extruded polystyrene",1.461,16.418,"Polyisocyanurate (PIR) roof insulation boards, coated glass faced (CGF), 0.941kg/m2 (2.07 lb/m2), 25 mm (0.984 in) (Atlas Roofing Corporation, Carlisle Construction Materials, Firestone Building Products, GAF, IKO, Johns Manville, Rmax - A Sika Brand, Soprema, Inc. (USA)) "
104,"18"" thick fibreglass blown ceiling (RSI 7.9) ",Unit,1.0,0.457,"Loose Fill Thermal Insulation, fiberglass",23.154,25.901,"Fiberglass insulation blow insulation, R = 1m2K/W, 0.47 kg/m2 (Certainteed)"
105,"16"" thick fibreglass blown ceiling (RSI 6.7)",Unit,1.0,0.406,"Loose Fill Thermal Insulation, fiberglass",22.845,7.648,"Fiberglass insulation blow insulation, R = 1m2K/W, 0.47 kg/m2 (Certainteed)"
106,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI modifed to 2x4"" sheets RSI 7.04",Unit,1.0,0.203,"Slab and Board Thermal Insulation, extruded polystyrene",317.644,405.72,Average
107,"20"" thick fibreglass blown ceiling (RSI 8.63)",Unit,1.0,0.508,"Loose Fill Thermal Insulation, fiberglass",31.87,1.015,"Fiberglass insulation blow insulation, R = 1m2K/W, 0.47 kg/m2 (Certainteed)"
108,gypsum wallboard 0.5 in thick,Unit,1.0,1.0,"Solid Sheets, gypsum board, fiber, 13 mm",3.658,1.294,"Lightwieight gypsum boards for wall and ceiling, 12.7 mm (1/2 in), 6.5 kg/m2, 2438-4877 x 1219 mm, 1/2 in. Sheetrock ® Brand Ultralight Panels  (USG)"
109,"Roof Insulation fastening, 4"" screws",Unit,1.0,0.07,"Mechanical Fasteners for Metal Structures, screws",0.312,0.363,"Fabricated hot-rolled structural steel sections, unpainted, 7800 kg/m3 (487 lb/ft3) (CISC (2022))"
110,"C.I.P. forms elevated slab floor hung from steel beams, including shoring, erection, bracing",Unit,1.0,,,0.0,0.0,
111,"C.I.P. forms elevated slab edge forms, including shoring, erection, bracing",Unit,0.2,,,0.0,0.0,
112,"Reinforcing steel for elevated slabs and ceilings/roofa, grade 60, all assembly and accessories",Unit,0.001275,12.0,"Reinforcement Components, steel bars",16.252,27.173,"Rebar - fabricated, Carbon Leadership Forum benchmark, ASTM A615, ASTM A706, 7850 kg/m3 (Concrete Reinforcing Steel Institute (CRSI))"
113,"Structural concrete, 3000 PSI, complete delivered and pum,ped in place",Unit,0.0231,487.2,Structural Concrete,261.325,344.455,Average
114,"Concrete surface treatment, curing, sprayed membrane compound",Unit,0.01,0.2,"Floor Treatment Products, concrete sealer",4.698,17.7,"Concrete waterproofer, 0.162 kg/m2, 980 N/A White (Behr Process LLC)"
115,"Sprayed fireproofing, vermiculite cement, 0.25""",Unit,1.0,18.9,"Fireproofing Coatings, cementitious",19.058,61.193,"Portland-fly-ash cement, generic, CEM II/A-V, 20% fly ash content (One Click LCA)"
116,"Roof Insulation fastening, 4"" screws modifed to 8"" screws",Assembly,1.0,0.14,"Mechanical Fasteners for Metal Structures, screws",0.675,0.631,"Fabricated hot-rolled structural steel sections, unpainted, 7800 kg/m3 (487 lb/ft3) (CISC (2022))"
117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load",Unit,0.22,8.0,"Framing Products, metal framing",26.346,16.001,"Steel stud framing for drywall/gypsum plasterboard per sq. meter of wall area (incl. air gaps per m3), C-profile: 6 x 3 inch, gauge 20, 10 ft. height x 12 inch (30 cm) spacing"
118,"3/4"" thick CDX plywood subfloor, pneumatic nailed",Unit,1.0,0.019,"Solid Sheets, softwood plywood",17.066,9.629,"Softwood plywood, 477.33 kg/m3 (Canadian Wood Council)"
119,"Steel siding, bevelled with vinyl finish, 10"" width",Unit,1.0,2.0,,27.768,3.584,
