Time,THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Mass Flow [kg/s],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 1:Des Cool Mass Flow [kg/s],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 1:Des Sens Cool Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 1:Des Tot Cool Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Mass Flow [kg/s],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 2:Des Cool Mass Flow [kg/s],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 2:Des Sens Cool Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 2:Des Tot Cool Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Mass Flow [kg/s],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 3:Des Cool Mass Flow [kg/s],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 3:Des Sens Cool Cap [W],THERMAL ZONE 1 NECB SYSTEM 3 PSZ:DesPer 3:Des Tot Cool Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Mass Flow [kg/s],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 1:Des Cool Mass Flow [kg/s],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 1:Des Sens Cool Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 1:Des Tot Cool Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Mass Flow [kg/s],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 2:Des Cool Mass Flow [kg/s],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 2:Des Sens Cool Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 2:Des Tot Cool Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Mass Flow [kg/s],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 3:Des Cool Mass Flow [kg/s],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 3:Des Sens Cool Cap [W],THERMAL ZONE 2 NECB SYSTEM 3 PSZ:DesPer 3:Des Tot Cool Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Mass Flow [kg/s],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 1:Des Cool Mass Flow [kg/s],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 1:Des Sens Cool Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 1:Des Tot Cool Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Mass Flow [kg/s],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 2:Des Cool Mass Flow [kg/s],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 2:Des Sens Cool Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 2:Des Tot Cool Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Mass Flow [kg/s],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 3:Des Cool Mass Flow [kg/s],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 3:Des Sens Cool Cap [W],THERMAL ZONE 3 NECB SYSTEM 3 PSZ:DesPer 3:Des Tot Cool Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Mass Flow [kg/s],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 1:Des Cool Mass Flow [kg/s],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 1:Des Sens Cool Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 1:Des Tot Cool Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Mass Flow [kg/s],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 2:Des Cool Mass Flow [kg/s],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 2:Des Sens Cool Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 2:Des Tot Cool Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Mass Flow [kg/s],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 3:Des Cool Mass Flow [kg/s],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 3:Des Sens Cool Cap [W],THERMAL ZONE 4 NECB SYSTEM 3 PSZ:DesPer 3:Des Tot Cool Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Mass Flow [kg/s],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 1:Des Heat Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 1:Des Cool Mass Flow [kg/s],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 1:Des Sens Cool Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 1:Des Tot Cool Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Mass Flow [kg/s],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 2:Des Heat Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 2:Des Cool Mass Flow [kg/s],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 2:Des Sens Cool Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 2:Des Tot Cool Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Mass Flow [kg/s],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 3:Des Heat Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 3:Des Cool Mass Flow [kg/s],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 3:Des Sens Cool Cap [W],THERMAL ZONE 5 NECB SYSTEM 3 PSZ:DesPer 3:Des Tot Cool Cap [W]
00:15:00,1.106713E-01,1.925806E+03,1.106713E-01,1.099078E+03,2.516366E+03,1.106713E-01,2.170465E+03,1.106713E-01,8.544185E+02,2.827688E+03,7.087066E-01,1.796439E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.387011E+02,4.819807E-02,4.786559E+02,1.095894E+03,4.819807E-02,9.452521E+02,4.819807E-02,3.721049E+02,1.231477E+03,3.366648E-01,8.358712E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,1.925806E+03,1.106713E-01,1.099078E+03,2.516366E+03,1.106713E-01,2.170465E+03,1.106713E-01,8.544185E+02,2.827688E+03,7.111163E-01,1.801043E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.387011E+02,4.819807E-02,4.786559E+02,1.095894E+03,4.819807E-02,9.452521E+02,4.819807E-02,3.721049E+02,1.231477E+03,3.354614E-01,8.335723E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,3.986124E+03,2.290727E-01,2.274925E+03,5.208494E+03,2.290727E-01,4.492533E+03,2.290727E-01,1.768516E+03,5.852883E+03,7.973558E-01,2.439278E+04,2.290727E-01,0.000000E+00,0.000000E+00
00:30:00,1.106713E-01,1.942821E+03,1.106713E-01,1.082063E+03,2.498927E+03,1.106713E-01,2.187480E+03,1.106713E-01,8.374035E+02,2.768295E+03,7.087095E-01,1.796445E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.461113E+02,4.819807E-02,4.712457E+02,1.088299E+03,4.819807E-02,9.526622E+02,4.819807E-02,3.646948E+02,1.205611E+03,3.366662E-01,8.358740E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,1.942821E+03,1.106713E-01,1.082063E+03,2.498927E+03,1.106713E-01,2.187480E+03,1.106713E-01,8.374035E+02,2.768295E+03,7.111193E-01,1.801049E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.461113E+02,4.819807E-02,4.712457E+02,1.088299E+03,4.819807E-02,9.526622E+02,4.819807E-02,3.646948E+02,1.205611E+03,3.354628E-01,8.335750E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.021343E+03,2.290727E-01,2.239706E+03,5.172399E+03,2.290727E-01,4.527751E+03,2.290727E-01,1.733298E+03,5.729948E+03,7.973611E-01,2.439288E+04,2.290727E-01,0.000000E+00,0.000000E+00
00:45:00,1.106713E-01,1.959836E+03,1.106713E-01,1.065048E+03,2.481488E+03,1.106713E-01,2.204495E+03,1.106713E-01,8.203885E+02,2.709275E+03,7.087120E-01,1.796450E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.535214E+02,4.819807E-02,4.638356E+02,1.080705E+03,4.819807E-02,9.600723E+02,4.819807E-02,3.572847E+02,1.179907E+03,3.366674E-01,8.358763E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,1.959836E+03,1.106713E-01,1.065048E+03,2.481488E+03,1.106713E-01,2.204495E+03,1.106713E-01,8.203885E+02,2.709275E+03,7.111218E-01,1.801054E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.535214E+02,4.819807E-02,4.638356E+02,1.080705E+03,4.819807E-02,9.600723E+02,4.819807E-02,3.572847E+02,1.179907E+03,3.354640E-01,8.335773E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.056561E+03,2.290727E-01,2.204488E+03,5.136303E+03,2.290727E-01,4.562970E+03,2.290727E-01,1.698079E+03,5.607787E+03,7.973657E-01,2.439297E+04,2.290727E-01,0.000000E+00,0.000000E+00
01:00:00,1.106713E-01,1.976851E+03,1.106713E-01,1.048033E+03,2.464050E+03,1.106713E-01,2.221510E+03,1.106713E-01,8.033736E+02,2.650627E+03,7.087142E-01,1.796454E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.609315E+02,4.819807E-02,4.564255E+02,1.073110E+03,4.819807E-02,9.674825E+02,4.819807E-02,3.498745E+02,1.154366E+03,3.366685E-01,8.358784E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,1.976851E+03,1.106713E-01,1.048033E+03,2.464050E+03,1.106713E-01,2.221510E+03,1.106713E-01,8.033736E+02,2.650627E+03,7.111240E-01,1.801058E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.609315E+02,4.819807E-02,4.564255E+02,1.073110E+03,4.819807E-02,9.674825E+02,4.819807E-02,3.498745E+02,1.154366E+03,3.354650E-01,8.335793E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.091780E+03,2.290727E-01,2.169269E+03,5.100207E+03,2.290727E-01,4.598188E+03,2.290727E-01,1.662861E+03,5.486394E+03,7.973698E-01,2.439305E+04,2.290727E-01,0.000000E+00,0.000000E+00
01:15:00,1.106713E-01,1.988194E+03,1.106713E-01,1.036690E+03,2.452423E+03,1.106713E-01,2.232854E+03,1.106713E-01,7.920303E+02,2.611733E+03,7.087162E-01,1.796458E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.658716E+02,4.819807E-02,4.514854E+02,1.068047E+03,4.819807E-02,9.724226E+02,4.819807E-02,3.449344E+02,1.137427E+03,3.366695E-01,8.358802E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,1.988194E+03,1.106713E-01,1.036690E+03,2.452423E+03,1.106713E-01,2.232854E+03,1.106713E-01,7.920303E+02,2.611733E+03,7.111260E-01,1.801062E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.658716E+02,4.819807E-02,4.514854E+02,1.068047E+03,4.819807E-02,9.724226E+02,4.819807E-02,3.449344E+02,1.137427E+03,3.354660E-01,8.335811E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.115259E+03,2.290727E-01,2.145790E+03,5.076143E+03,2.290727E-01,4.621667E+03,2.290727E-01,1.639382E+03,5.405889E+03,7.973734E-01,2.439311E+04,2.290727E-01,0.000000E+00,0.000000E+00
01:30:00,1.106713E-01,1.999537E+03,1.106713E-01,1.025347E+03,2.440797E+03,1.106713E-01,2.244197E+03,1.106713E-01,7.806869E+02,2.573001E+03,7.087180E-01,1.796461E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.708117E+02,4.819807E-02,4.465453E+02,1.062983E+03,4.819807E-02,9.773627E+02,4.819807E-02,3.399943E+02,1.120559E+03,3.366703E-01,8.358818E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,1.999537E+03,1.106713E-01,1.025347E+03,2.440797E+03,1.106713E-01,2.244197E+03,1.106713E-01,7.806869E+02,2.573001E+03,7.111278E-01,1.801065E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.708117E+02,4.819807E-02,4.465453E+02,1.062983E+03,4.819807E-02,9.773627E+02,4.819807E-02,3.399943E+02,1.120559E+03,3.354669E-01,8.335828E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.138738E+03,2.290727E-01,2.122311E+03,5.052078E+03,2.290727E-01,4.645146E+03,2.290727E-01,1.615903E+03,5.325720E+03,7.973766E-01,2.439318E+04,2.290727E-01,0.000000E+00,0.000000E+00
01:45:00,1.106713E-01,2.010881E+03,1.106713E-01,1.014003E+03,2.429172E+03,1.106713E-01,2.255540E+03,1.106713E-01,7.693436E+02,2.534431E+03,7.087195E-01,1.796464E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.757518E+02,4.819807E-02,4.416052E+02,1.057921E+03,4.819807E-02,9.823027E+02,4.819807E-02,3.350543E+02,1.103761E+03,3.366711E-01,8.358833E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,2.010881E+03,1.106713E-01,1.014003E+03,2.429172E+03,1.106713E-01,2.255540E+03,1.106713E-01,7.693436E+02,2.534431E+03,7.111293E-01,1.801068E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.757518E+02,4.819807E-02,4.416052E+02,1.057921E+03,4.819807E-02,9.823027E+02,4.819807E-02,3.350543E+02,1.103761E+03,3.354676E-01,8.335842E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.162216E+03,2.290727E-01,2.098833E+03,5.028016E+03,2.290727E-01,4.668625E+03,2.290727E-01,1.592424E+03,5.245885E+03,7.973795E-01,2.439323E+04,2.290727E-01,0.000000E+00,0.000000E+00
02:00:00,1.106713E-01,2.022224E+03,1.106713E-01,1.002660E+03,2.417546E+03,1.106713E-01,2.266884E+03,1.106713E-01,7.580003E+02,2.496021E+03,7.087209E-01,1.796467E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.806919E+02,4.819807E-02,4.366651E+02,1.052857E+03,4.819807E-02,9.872428E+02,4.819807E-02,3.301142E+02,1.087034E+03,3.366717E-01,8.358846E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,2.022224E+03,1.106713E-01,1.002660E+03,2.417546E+03,1.106713E-01,2.266884E+03,1.106713E-01,7.580003E+02,2.496021E+03,7.111307E-01,1.801071E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.806919E+02,4.819807E-02,4.366651E+02,1.052857E+03,4.819807E-02,9.872428E+02,4.819807E-02,3.301142E+02,1.087034E+03,3.354683E-01,8.335855E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.185695E+03,2.290727E-01,2.075354E+03,5.003951E+03,2.290727E-01,4.692104E+03,2.290727E-01,1.568945E+03,5.166384E+03,7.973820E-01,2.439328E+04,2.290727E-01,0.000000E+00,0.000000E+00
02:15:00,1.106713E-01,2.030731E+03,1.106713E-01,9.941526E+02,2.408825E+03,1.106713E-01,2.275391E+03,1.106713E-01,7.494928E+02,2.467319E+03,7.087222E-01,1.796469E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.843970E+02,4.819807E-02,4.329600E+02,1.049059E+03,4.819807E-02,9.909479E+02,4.819807E-02,3.264091E+02,1.074534E+03,3.366723E-01,8.358857E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,2.030731E+03,1.106713E-01,9.941526E+02,2.408825E+03,1.106713E-01,2.275391E+03,1.106713E-01,7.494928E+02,2.467319E+03,7.111320E-01,1.801073E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.843970E+02,4.819807E-02,4.329600E+02,1.049059E+03,4.819807E-02,9.909479E+02,4.819807E-02,3.264091E+02,1.074534E+03,3.354689E-01,8.335866E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.203305E+03,2.290727E-01,2.057744E+03,4.985902E+03,2.290727E-01,4.709713E+03,2.290727E-01,1.551336E+03,5.106975E+03,7.973842E-01,2.439332E+04,2.290727E-01,0.000000E+00,0.000000E+00
02:30:00,1.106713E-01,2.039239E+03,1.106713E-01,9.856451E+02,2.400107E+03,1.106713E-01,2.283899E+03,1.106713E-01,7.409853E+02,2.438707E+03,7.087233E-01,1.796471E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.881020E+02,4.819807E-02,4.292550E+02,1.045262E+03,4.819807E-02,9.946530E+02,4.819807E-02,3.227040E+02,1.062073E+03,3.366729E-01,8.358867E+03,4.819807E-02,0.000000E+00,0.000000E+00,1.106713E-01,2.039239E+03,1.106713E-01,9.856451E+02,2.400107E+03,1.106713E-01,2.283899E+03,1.106713E-01,7.409853E+02,2.438707E+03,7.111331E-01,1.801075E+04,1.106713E-01,0.000000E+00,0.000000E+00,4.819807E-02,8.881020E+02,4.819807E-02,4.292550E+02,1.045262E+03,4.819807E-02,9.946530E+02,4.819807E-02,3.227040E+02,1.062073E+03,3.354694E-01,8.335876E+03,4.819807E-02,0.000000E+00,0.000000E+00,2.290727E-01,4.220914E+03,2.290727E-01,2.040135E+03,4.967856E+03,2.290727E-01,4.727322E+03,2.290727E-01,1.533727E+03,5.047752E+03,7.973863E-01,2.439336E+04,2.290727E-01,0.000000E+00,0.000000E+00
