id,ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_per_person,ventilation_per_person_unit,ventilation_per_area,ventilation_per_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
1,Correctional Facilities,Cell,5,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
2,Correctional Facilities,Day room,5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,,
3,Correctional Facilities,Guard stations,5,cfm/person,0.06,cfm/ft2,15,ppl/1000 ft2,1,,
4,Correctional Facilities,Booking/waiting,7.5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,2,,
5,Educational Facilities,Daycare (through age 4),10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
6,Educational Facilities,Classrooms (ages 5-8),10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
7,Educational Facilities,Classrooms (age 9 plus),10,cfm/person,0.12,cfm/ft2,35,ppl/1000 ft2,1,,
8,Educational Facilities,Lecture classroom,7.5,cfm/person,0.06,cfm/ft2,65,ppl/1000 ft2,1,,
9,Educational Facilities,Lecture hall (fixed seats),7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
10,Educational Facilities,Art classroom,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
11,Educational Facilities,Science laboratories,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,,,
12,Educational Facilities,Wood/metal shop,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
13,Educational Facilities,Computer lab,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
14,Educational Facilities,Media center,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
15,Educational Facilities,Music/theater/dance,10,cfm/person,0.06,cfm/ft2,35,ppl/1000 ft2,1,,
16,Educational Facilities,Multi-use assembly,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,,
17,Food and Beverage Service,Restaurant dining rooms,7.5,cfm/person,0.18,cfm/ft2,70,ppl/1000 ft2,2,,
18,Food and Beverage Service,Cafeteria/fast food dining,7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
19,Food and Beverage Service,"Bars, cocktail lounges",7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
20,General,Conference/meeting,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,,
21,General,Corridors,,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,1,,
22,General,Storage rooms,,cfm/person,0.12,cfm/ft2,,ppl/1000 ft2,1,,
23,"Hotels, Motels, Resorts, Dormitories",Bedroom/living Room,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,,
24,"Hotels, Motels, Resorts, Dormitories",Barracks sleeping areas,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
25,"Hotels, Motels, Resorts, Dormitories",Lobbies/prefunction,7.5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,,
26,"Hotels, Motels, Resorts, Dormitories",Multi-purpose assembly,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,,
27,Office Buildings,Office space,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,,
28,Office Buildings,Reception areas,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
29,Office Buildings,Telephone/data entry,5,cfm/person,0.06,cfm/ft2,60,ppl/1000 ft2,1,,
30,Office Buildings,Main entry lobbies,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,,
31,Miscellaneous Spaces,Bank vaults/safe deposit,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,2,,
32,Miscellaneous Spaces,Computer (not printing),5,cfm/person,0.06,cfm/ft2,4,ppl/1000 ft2,1,,
33,Miscellaneous Spaces,Pharmacy (prep. area),5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
34,Miscellaneous Spaces,Photo studios,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
35,Miscellaneous Spaces,Shipping/receiving,,cfm/person,0.12,cfm/ft2,,ppl/1000 ft2,1,,
36,Miscellaneous Spaces,Transportation waiting,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,,
37,Miscellaneous Spaces,Warehouses,,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,2,,
38,Public Assembly Spaces,Auditorium seating area,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
39,Public Assembly Spaces,Places of religious workshop,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,,
40,Public Assembly Spaces,Courtrooms,5,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,,
41,Public Assembly Spaces,Legislative chambers,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,,
42,Public Assembly Spaces,Libraries,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
43,Public Assembly Spaces,Lobbies,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
44,Public Assembly Spaces,Museums (children’s),7.5,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
45,Public Assembly Spaces,Museums/galleries,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,,
46,Retail,Sales (except as below),7.5,cfm/person,0.12,cfm/ft2,15,ppl/1000 ft2,2,,
47,Retail,Mall common areas,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,,
48,Retail,Barber shop,7.5,cfm/person,0.06,cfm/ft2,25,ppl/1000 ft2,2,,
49,Retail,Beauty and nail salons,20,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
50,Retail,Pet shops (animal areas),7.5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
51,Retail,Supermarket,7.5,cfm/person,0.06,cfm/ft2,8,ppl/1000 ft2,1,,
52,Retail,Coin-operated laundries,7.5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,2,,
53,Sports and Entertainment,Sports arena (play area),,cfm/person,0.3,cfm/ft2,,ppl/1000 ft2,1,,
54,Sports and Entertainment,"Gym, stadium (play area)",,cfm/person,0.3,cfm/ft2,30,ppl/1000 ft2,2,,
55,Sports and Entertainment,Spectator areas,7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,,
56,Sports and Entertainment,Swimming (pool & deck),,cfm/person,0.48,cfm/ft2,,ppl/1000 ft2,2,,
57,Sports and Entertainment,Disco/dance floors,20,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,,
58,Sports and Entertainment,Health club/aerobics room,20,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,2,,
59,Sports and Entertainment,Health club/weight rooms,20,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,2,,
60,Sports and Entertainment,Bowling alley (seating),10,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
61,Sports and Entertainment,Gambling casinos,7.5,cfm/person,0.18,cfm/ft2,120,ppl/1000 ft2,1,,
62,Sports and Entertainment,Game arcades,7.5,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
63,Sports and Entertainment,"Stages, studios",10,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,,
