idf_file,zone_name,necb_space_type
FullServiceRestaurant.idf,attic Thermal Zone,- undefined -
FullServiceRestaurant.idf,Dining Thermal Zone,Dining - family space
FullServiceRestaurant.idf,Kitchen Thermal Zone,Food preparation
Hospital.idf,Basement Thermal Zone,Electrical/Mechanical
Hospital.idf,Corridor_Flr_1 Thermal Zone,Corr. >= 2.4m wide
Hospital.idf,Corridor_Flr_2 Thermal Zone,Corr. >= 2.4m wide
Hospital.idf,Corridor_Flr_5 Thermal Zone,Corr. >= 2.4m wide
Hospital.idf,Corridor_NW_Flr_3 Thermal Zone,Corr. >= 2.4m wide
Hospital.idf,Corridor_NW_Flr_4 Thermal Zone,Corr. >= 2.4m wide
Hospital.idf,Corridor_SE_Flr_3 Thermal Zone,Corr. >= 2.4m wide
Hospital.idf,Corridor_SE_Flr_4 Thermal Zone,Corr. >= 2.4m wide
Hospital.idf,Dining_Flr_5 Thermal Zone,Dining - bar lounge/leisure
Hospital.idf,ER_Exam1_Mult4_Flr_1 Thermal Zone,Hospital - emergency
Hospital.idf,ER_Exam3_Mult4_Flr_1 Thermal Zone,Hospital - emergency
Hospital.idf,ER_NurseStn_Lobby_Flr_1 Thermal Zone,Hospital - nurses' station
Hospital.idf,ER_Trauma1_Flr_1 Thermal Zone,Hospital - emergency
Hospital.idf,ER_Trauma2_Flr_1 Thermal Zone,Hospital - emergency
Hospital.idf,ER_Triage_Mult4_Flr_1 Thermal Zone,Hospital - emergency
Hospital.idf,IC_PatRoom1_Mult5_Flr_2 Thermal Zone,Hospital - patient room
Hospital.idf,IC_PatRoom2_Flr_2 Thermal Zone,Hospital - patient room
Hospital.idf,IC_PatRoom3_Mult6_Flr_2 Thermal Zone,Hospital - patient room
Hospital.idf,ICU_Flr_2 Thermal Zone,Hospital - recovery
Hospital.idf,ICU_NurseStn_Lobby_Flr_2 Thermal Zone,Hospital - nurses' station
Hospital.idf,Kitchen_Flr_5 Thermal Zone,Food preparation
Hospital.idf,Lab_Flr_3 Thermal Zone,Lab - research
Hospital.idf,Lab_Flr_4 Thermal Zone,Lab - research
Hospital.idf,Lobby_Records_Flr_1 Thermal Zone,Office - enclosed
Hospital.idf,NurseStn_Lobby_Flr_3 Thermal Zone,Hospital - nurses' station
Hospital.idf,NurseStn_Lobby_Flr_4 Thermal Zone,Hospital - nurses' station
Hospital.idf,NurseStn_Lobby_Flr_5 Thermal Zone,Hospital - nurses' station
Hospital.idf,Office1_Flr_5 Thermal Zone,Office - enclosed
Hospital.idf,Office1_Mult4_Flr_1 Thermal Zone,Office - enclosed
