idf_file,zone_name,necb_space_type
Hospital.idf,Office2_Mult5_Flr_5 Thermal Zone,Office - enclosed
Hospital.idf,Office3_Flr_5 Thermal Zone,Office - enclosed
Hospital.idf,Office4_Mult6_Flr_5 Thermal Zone,Office - enclosed
Hospital.idf,OR_NurseStn_Lobby_Flr_2 Thermal Zone,Hospital - nurses' station
Hospital.idf,OR1_Flr_2 Thermal Zone,Hospital - operating room
Hospital.idf,OR2_Mult5_Flr_2 Thermal Zone,Hospital - operating room
Hospital.idf,OR3_Flr_2 Thermal Zone,Hospital - operating room
Hospital.idf,OR4_Flr_2 Thermal Zone,Hospital - operating room
Hospital.idf,PatRoom1_Mult10_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom1_Mult10_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom2_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom2_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom3_Mult10_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom3_Mult10_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom4_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom4_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom5_Mult10_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom5_Mult10_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom6_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom6_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom7_Mult10_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom7_Mult10_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom8_Flr_3 Thermal Zone,Hospital - patient room
Hospital.idf,PatRoom8_Flr_4 Thermal Zone,Hospital - patient room
Hospital.idf,PhysTherapy_Flr_3 Thermal Zone,Hospital - physical therapy
Hospital.idf,Radiology_Flr_4 Thermal Zone,Hospital - radiology/imaging
LargeHotel.idf,Banquet_Flr_6 Thermal Zone,Hotel/Motel - dining
LargeHotel.idf,Basement Thermal Zone,Storage area
LargeHotel.idf,Cafe_Flr_1 Thermal Zone,Retail - mall concourse
LargeHotel.idf,Corridor_Flr_3 Thermal Zone,Corr. >= 2.4m wide
LargeHotel.idf,Corridor_Flr_6 Thermal Zone,Corr. >= 2.4m wide
LargeHotel.idf,Dining_Flr_6 Thermal Zone,Hotel/Motel - dining
LargeHotel.idf,Kitchen_Flr_6 Thermal Zone,Food preparation
LargeHotel.idf,Laundry_Flr_1 Thermal Zone,Hospital - laundry/washing
LargeHotel.idf,Lobby_Flr_1 Thermal Zone,Hotel/Motel - lobby
LargeHotel.idf,Mech_Flr_1 Thermal Zone,Electrical/Mechanical
LargeHotel.idf,Retail_1_Flr_1 Thermal Zone,Retail - sales
LargeHotel.idf,Retail_2_Flr_1 Thermal Zone,Retail - sales
LargeHotel.idf,Room_1_Flr_3 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_1_Flr_6 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_2_Flr_3 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_2_Flr_6 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_3_Mult19_Flr_3 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_3_Mult9_Flr_6 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_4_Mult19_Flr_3 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_5_Flr_3 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Room_6_Flr_3 Thermal Zone,Hotel/Motel - rooms
LargeHotel.idf,Storage_Flr_1 Thermal Zone,Storage area
LargeOffice.idf,Basement Thermal Zone,Electrical/Mechanical
LargeOffice.idf,Core_bottom Thermal Zone,Office - open plan
LargeOffice.idf,Core_mid Thermal Zone,Office - open plan
LargeOffice.idf,Core_top Thermal Zone,Office - open plan
LargeOffice.idf,GroundFloor_Plenum Thermal Zone,- undefined -
LargeOffice.idf,MidFloor_Plenum Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_bot_ZN_1 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_bot_ZN_2 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_bot_ZN_3 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_bot_ZN_4 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_mid_ZN_1 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_mid_ZN_2 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_mid_ZN_3 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_mid_ZN_4 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_top_ZN_1 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_top_ZN_2 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_top_ZN_3 Thermal Zone,Office - open plan
LargeOffice.idf,Perimeter_top_ZN_4 Thermal Zone,Office - open plan
LargeOffice.idf,TopFloor_Plenum Thermal Zone,- undefined -
MediumOffice.idf,Core_bottom Thermal Zone,Office - open plan
MediumOffice.idf,Core_mid Thermal Zone,Office - open plan
MediumOffice.idf,Core_top Thermal Zone,Office - open plan
MediumOffice.idf,FirstFloor_Plenum Thermal Zone,- undefined -
MediumOffice.idf,MidFloor_Plenum Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_bot_ZN_1 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_bot_ZN_2 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_bot_ZN_3 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_bot_ZN_4 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_mid_ZN_1 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_mid_ZN_2 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_mid_ZN_3 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_mid_ZN_4 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_top_ZN_1 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_top_ZN_2 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_top_ZN_3 Thermal Zone,Office - open plan
MediumOffice.idf,Perimeter_top_ZN_4 Thermal Zone,Office - open plan
MediumOffice.idf,TopFloor_Plenum Thermal Zone,- undefined -
MidriseApartment.idf,G Corridor Thermal Zone,Corr. < 2.4m wide
MidriseApartment.idf,G N1 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,G N2 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,G NE Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,G NW Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,G S1 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,G S2 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,G SW Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M Corridor Thermal Zone,Corr. < 2.4m wide
MidriseApartment.idf,M N1 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M N2 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M NE Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M NW Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M S1 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M S2 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M SE Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,M SW Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,Office Thermal Zone,Office - enclosed
MidriseApartment.idf,T Corridor Thermal Zone,Corr. < 2.4m wide
MidriseApartment.idf,T N1 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,T N2 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,T NE Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,T NW Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,T S1 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,T S2 Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,T SE Apartment Thermal Zone,Dormitory - living quarters
MidriseApartment.idf,T SW Apartment Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Anesthesia Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Bio Haz Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Cafe Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Clean Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Clean Work Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Dictation Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Dressing Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Electrical Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Elevator Pump Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Operating Room 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Operating Room 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Operating Room 3 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Humid Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 IT Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 IT Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Lobby Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Lobby Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Lobby Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Locker Room Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Locker Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Lounge Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Med Gas Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 MRI Control Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 MRI Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 MRI Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 MRI Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Nourishment Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Nurse Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Nurse Janitor Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Nurse Station Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Nurse Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Office Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 PACU Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Pre-Op Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Pre-Op Room 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Pre-Op Room 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Pre-Op Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Procedure Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Reception Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Reception Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Recovery Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Scheduling Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Scrub Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Soil Hold Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Soil Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Soil Work Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Step Down Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Sterile Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Sterile Storage Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Storage Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Sub-Sterile Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Utility Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Utility Janitor Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Utility Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 1 Vestibule Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Conference Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Conference Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Dictation Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 3 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 4 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 5 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 6 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 7 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 8 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam 9 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam Hall 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam Hall 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam Hall 3 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam Hall 4 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam Hall 5 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Exam Hall 6 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Janitor Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Lounge Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Nurse Station 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Nurse Station 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Office Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Office Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Reception Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Reception Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Reception Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Scheduling 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Scheduling 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Storage 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Storage 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Storage 3 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Utility Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Work Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Work Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 Work Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 2 X-Ray Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Dressing Room Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Elevator Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Humid Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Janitor Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Locker Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Lounge Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Lounge Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Mechanical Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Mechanical Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Office Hall Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Office Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Office Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Physical Therapy 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Physical Therapy 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Physical Therapy Toilet Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Storage 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Storage 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Treatment Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Undeveloped 1 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Undeveloped 2 Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Utility Thermal Zone,Dormitory - living quarters
OutPatient.idf,Floor 3 Work Thermal Zone,Dormitory - living quarters
OutPatient.idf,NE Stair Thermal Zone,Dormitory - living quarters
OutPatient.idf,NW Elevator Thermal Zone,Dormitory - living quarters
OutPatient.idf,NW Stair Thermal Zone,Dormitory - living quarters
OutPatient.idf,SW Stair Thermal Zone,Dormitory - living quarters
PrimarySchool.idf,Bath_ZN_1_FLR_1 Thermal Zone,Washroom
PrimarySchool.idf,Cafeteria_ZN_1_FLR_1 Thermal Zone,Conf./meet./multi-purpose
PrimarySchool.idf,Computer_Class_ZN_1_FLR_1 Thermal Zone,Lab - classrooms
PrimarySchool.idf,Corner_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Corner_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Corner_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Corner_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Corner_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Corner_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Corridor_Pod_1_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
PrimarySchool.idf,Corridor_Pod_2_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
PrimarySchool.idf,Corridor_Pod_3_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
PrimarySchool.idf,Gym_ZN_1_FLR_1 Thermal Zone,Gym - play
PrimarySchool.idf,Kitchen_ZN_1_FLR_1 Thermal Zone,Food preparation
PrimarySchool.idf,Library_Media_Center_ZN_1_FLR_1 Thermal Zone,Library - reading
PrimarySchool.idf,Lobby_ZN_1_FLR_1 Thermal Zone,Lobby - elevator
PrimarySchool.idf,Main_Corridor_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
PrimarySchool.idf,Mech_ZN_1_FLR_1 Thermal Zone,Electrical/Mechanical
PrimarySchool.idf,Mult_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Mult_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Mult_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Mult_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Mult_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Mult_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
PrimarySchool.idf,Offices_ZN_1_FLR_1 Thermal Zone,Office - enclosed
QuickServiceRestaurant.idf,attic Thermal Zone,- undefined -
QuickServiceRestaurant.idf,Dining Thermal Zone,Dining - bar lounge/leisure
QuickServiceRestaurant.idf,Kitchen Thermal Zone,Food preparation
SecondarySchool.idf,Auditorium_ZN_1_FLR_1 Thermal Zone,Audience - auditorium
SecondarySchool.idf,Aux_Gym_ZN_1_FLR_1 Thermal Zone,Gym - play
SecondarySchool.idf,Bathrooms_ZN_1_FLR_1 Thermal Zone,Washroom
SecondarySchool.idf,Bathrooms_ZN_1_FLR_2 Thermal Zone,Washroom
SecondarySchool.idf,Cafeteria_ZN_1_FLR_1 Thermal Zone,Conf./meet./multi-purpose
SecondarySchool.idf,Corner_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_1_Pod_1_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_1_Pod_2_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_1_Pod_3_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_2_Pod_1_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_2_Pod_2_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_2_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corner_Class_2_Pod_3_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Corridor_Pod_1_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Corridor_Pod_1_ZN_1_FLR_2 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Corridor_Pod_2_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Corridor_Pod_2_ZN_1_FLR_2 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Corridor_Pod_3_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Corridor_Pod_3_ZN_1_FLR_2 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Gym_ZN_1_FLR_1 Thermal Zone,Gym - play
SecondarySchool.idf,Kitchen_ZN_1_FLR_1 Thermal Zone,Food preparation
SecondarySchool.idf,LIBRARY_MEDIA_CENTER_ZN_1_FLR_2 Thermal Zone,Library - reading
SecondarySchool.idf,Lobby_ZN_1_FLR_1 Thermal Zone,Lobby - elevator
SecondarySchool.idf,Lobby_ZN_1_FLR_2 Thermal Zone,Lobby - elevator
SecondarySchool.idf,Main_Corridor_ZN_1_FLR_1 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Main_Corridor_ZN_1_FLR_2 Thermal Zone,Corr. >= 2.4m wide
SecondarySchool.idf,Mech_ZN_1_FLR_1 Thermal Zone,Electrical/Mechanical
SecondarySchool.idf,Mech_ZN_1_FLR_2 Thermal Zone,Electrical/Mechanical
SecondarySchool.idf,Mult_Class_1_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_1_Pod_1_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_1_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_1_Pod_2_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_1_Pod_3_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_1_Pod_3_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_2_Pod_1_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_2_Pod_1_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_2_Pod_2_ZN_1_FLR_1 Thermal Zone,Classroom/lecture/training
SecondarySchool.idf,Mult_Class_2_Pod_2_ZN_1_FLR_2 Thermal Zone,Classroom/lecture/training
