energy_code,climate_zone,surface_type,assembly_type,construction_name,cost ($/ft2)
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Typical Mass Wall CZ1 R-2,21.73
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 R-7,21.83
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 R-12,21.94
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 R-17,22.04
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 R-22,22.15
ASHRAE_90_1_2010,1,Exterior_Walls,Mass,Typical Mass Wall CZ1 R-2,25.47
ASHRAE_90_1_2010,1,Exterior_Walls,Mass,Mass Wall CZ1 R-7,26.31
ASHRAE_90_1_2010,1,Exterior_Walls,Mass,Mass Wall CZ1 R-12,27.14
ASHRAE_90_1_2010,1,Exterior_Walls,Mass,Mass Wall CZ1 R-17,27.98
ASHRAE_90_1_2010,1,Exterior_Walls,Mass,Mass Wall CZ1 R-22,28.82
ASHRAE_90_1_2013,1,Exterior_Walls,Mass,Typical Mass Wall CZ1 R-2,30.03
ASHRAE_90_1_2013,1,Exterior_Walls,Mass,Mass Wall CZ1 R-7,31.16
ASHRAE_90_1_2013,1,Exterior_Walls,Mass,Mass Wall CZ1 R-12,32.29
ASHRAE_90_1_2013,1,Exterior_Walls,Mass,Mass Wall CZ1 R-17,33.41
ASHRAE_90_1_2013,1,Exterior_Walls,Mass,Mass Wall CZ1 R-22,34.54
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Typical Mass Wall CZ2 R-7,27.86
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-12,29.30
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-17,30.74
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-22,32.18
ASHRAE_90_1_2007,2,Exterior_Walls,Mass,Mass Wall CZ2 R-27,33.63
ASHRAE_90_1_2010,2,Exterior_Walls,Mass,Typical Mass Wall CZ2 R-7,35.51
ASHRAE_90_1_2010,2,Exterior_Walls,Mass,Mass Wall CZ2 R-12,37.32
ASHRAE_90_1_2010,2,Exterior_Walls,Mass,Mass Wall CZ2 R-17,39.12
ASHRAE_90_1_2010,2,Exterior_Walls,Mass,Mass Wall CZ2 R-22,40.93
ASHRAE_90_1_2010,2,Exterior_Walls,Mass,Mass Wall CZ2 R-27,42.74
ASHRAE_90_1_2013,2,Exterior_Walls,Mass,Typical Mass Wall CZ2 R-7,29.16
ASHRAE_90_1_2013,2,Exterior_Walls,Mass,Mass Wall CZ2 R-12,31.06
ASHRAE_90_1_2013,2,Exterior_Walls,Mass,Mass Wall CZ2 R-17,32.96
ASHRAE_90_1_2013,2,Exterior_Walls,Mass,Mass Wall CZ2 R-22,34.86
ASHRAE_90_1_2013,2,Exterior_Walls,Mass,Mass Wall CZ2 R-27,36.75
ASHRAE_90_1_2007,3,Exterior_Walls,Mass,Typical Mass Wall CZ3 R-8,31.74
ASHRAE_90_1_2007,3,Exterior_Walls,Mass,Mass Wall CZ3 R-13,33.91
ASHRAE_90_1_2007,3,Exterior_Walls,Mass,Mass Wall CZ3 R-18,36.09
ASHRAE_90_1_2007,3,Exterior_Walls,Mass,Mass Wall CZ3 R-23,38.27
ASHRAE_90_1_2007,3,Exterior_Walls,Mass,Mass Wall CZ3 R-28,40.44
ASHRAE_90_1_2010,3,Exterior_Walls,Mass,Typical Mass Wall CZ3 R-8,40.82
ASHRAE_90_1_2010,3,Exterior_Walls,Mass,Mass Wall CZ3 R-13,44.11
ASHRAE_90_1_2010,3,Exterior_Walls,Mass,Mass Wall CZ3 R-18,47.40
ASHRAE_90_1_2010,3,Exterior_Walls,Mass,Mass Wall CZ3 R-23,50.69
ASHRAE_90_1_2010,3,Exterior_Walls,Mass,Mass Wall CZ3 R-28,53.98
ASHRAE_90_1_2013,3,Exterior_Walls,Mass,Typical Mass Wall CZ3 R-8,21.73
ASHRAE_90_1_2013,3,Exterior_Walls,Mass,Mass Wall CZ3 R-13,21.83
ASHRAE_90_1_2013,3,Exterior_Walls,Mass,Mass Wall CZ3 R-18,21.94
